Date,RS
2022-02-28,190.8699951171875
2022-03-01,187.17999267578125
2022-03-02,189.2100067138672
2022-03-03,190.02999877929688
2022-03-04,188.86000061035156
2022-03-07,184.69000244140625
2022-03-08,182.00999450683594
2022-03-09,189.00999450683594
2022-03-10,188.27000427246094
2022-03-11,188.22999572753906
2022-03-14,187.6699981689453
2022-03-15,190.0399932861328
2022-03-16,189.47000122070312
2022-03-17,191.02999877929688
2022-03-18,191.5
2022-03-21,194.7100067138672
2022-03-22,195.27999877929688
2022-03-23,194.33999633789062
2022-03-24,195.2899932861328
2022-03-25,194.92999267578125
2022-03-28,190.9499969482422
2022-03-29,185.25
2022-03-30,184.67999267578125
2022-03-31,183.35000610351562
2022-04-01,184.77000427246094
2022-04-04,182.1999969482422
2022-04-05,179.0
2022-04-06,178.8300018310547
2022-04-07,178.4499969482422
2022-04-08,179.36000061035156
2022-04-11,183.0399932861328
2022-04-12,184.36000061035156
2022-04-13,189.1699981689453
2022-04-14,194.25999450683594
2022-04-18,194.5399932861328
2022-04-19,198.50999450683594
2022-04-20,200.6300048828125
2022-04-21,197.22999572753906
2022-04-22,192.63999938964844
2022-04-25,190.3800048828125
2022-04-26,186.75
2022-04-27,189.24000549316406
2022-04-28,199.1300048828125
2022-04-29,198.25
2022-05-02,197.82000732421875
2022-05-03,204.6199951171875
2022-05-04,211.42999267578125
2022-05-05,197.5500030517578
2022-05-06,197.17999267578125
2022-05-09,192.97999572753906
2022-05-10,189.92999267578125
2022-05-11,187.50999450683594
2022-05-12,187.25
2022-05-13,186.49000549316406
2022-05-16,185.50999450683594
2022-05-17,191.8699951171875
2022-05-18,182.41000366210938
2022-05-19,178.77999877929688
2022-05-20,178.4600067138672
2022-05-23,180.05999755859375
2022-05-24,178.9499969482422
2022-05-25,186.89999389648438
2022-05-26,199.1300048828125
2022-05-27,204.97000122070312
2022-05-31,194.39999389648438
2022-06-01,195.38999938964844
2022-06-02,197.02000427246094
2022-06-03,193.5
2022-06-06,196.44000244140625
2022-06-07,200.61000061035156
2022-06-08,194.44000244140625
2022-06-09,188.14999389648438
2022-06-10,186.80999755859375
2022-06-13,178.72000122070312
2022-06-14,175.85000610351562
2022-06-15,179.77000427246094
2022-06-16,167.33999633789062
2022-06-17,170.10000610351562
2022-06-21,170.4499969482422
2022-06-22,166.02999877929688
2022-06-23,163.47000122070312
2022-06-24,172.7899932861328
2022-06-27,173.94000244140625
2022-06-28,172.85000610351562
2022-06-29,170.8800048828125
2022-06-30,169.86000061035156
2022-07-01,171.07000732421875
2022-07-05,169.74000549316406
2022-07-06,169.63999938964844
2022-07-07,174.32000732421875
2022-07-08,172.57000732421875
2022-07-11,173.24000549316406
2022-07-12,173.1199951171875
2022-07-13,175.60000610351562
2022-07-14,174.69000244140625
2022-07-15,176.4600067138672
2022-07-18,175.33999633789062
2022-07-19,180.47999572753906
2022-07-20,179.61000061035156
2022-07-21,183.6699981689453
2022-07-22,180.72999572753906
2022-07-25,185.1999969482422
2022-07-26,184.1699981689453
2022-07-27,186.72000122070312
2022-07-28,186.3300018310547
2022-07-29,190.25
2022-08-01,191.1699981689453
2022-08-02,186.44000244140625
2022-08-03,181.2899932861328
2022-08-04,185.63999938964844
2022-08-05,188.61000061035156
2022-08-08,187.91000366210938
2022-08-09,190.05999755859375
2022-08-10,193.92999267578125
2022-08-11,194.07000732421875
2022-08-12,197.1999969482422
2022-08-15,196.0500030517578
2022-08-16,197.42999267578125
2022-08-17,194.8000030517578
2022-08-18,195.0800018310547
2022-08-19,191.67999267578125
2022-08-22,188.2899932861328
2022-08-23,190.0399932861328
2022-08-24,189.97999572753906
2022-08-25,196.00999450683594
2022-08-26,194.60000610351562
2022-08-29,195.8000030517578
2022-08-30,189.5500030517578
2022-08-31,187.97999572753906
2022-09-01,183.24000549316406
2022-09-02,183.9199981689453
2022-09-06,184.5
2022-09-07,188.33999633789062
2022-09-08,190.35000610351562
2022-09-09,197.17999267578125
2022-09-12,193.5399932861328
2022-09-13,188.0
2022-09-14,178.10000610351562
2022-09-15,178.1199951171875
2022-09-16,175.4600067138672
2022-09-19,181.5800018310547
2022-09-20,179.42999267578125
2022-09-21,177.8300018310547
2022-09-22,175.1199951171875
2022-09-23,170.99000549316406
2022-09-26,169.02000427246094
2022-09-27,172.61000061035156
2022-09-28,176.64999389648438
2022-09-29,174.3699951171875
2022-09-30,174.41000366210938
2022-10-03,182.08999633789062
2022-10-04,189.61000061035156
2022-10-05,187.97000122070312
2022-10-06,181.8800048828125
2022-10-07,178.27000427246094
2022-10-10,182.88999938964844
2022-10-11,183.17999267578125
2022-10-12,181.38999938964844
2022-10-13,187.0399932861328
2022-10-14,181.74000549316406
2022-10-17,183.47000122070312
2022-10-18,184.6199951171875
