Date,SCCO
2022-02-28,68.63298034667969
2022-03-01,71.04635620117188
2022-03-02,72.11457824707031
2022-03-03,74.40926361083984
2022-03-04,75.76432037353516
2022-03-07,73.4696273803711
2022-03-08,74.01363372802734
2022-03-09,74.05319213867188
2022-03-10,74.47850036621094
2022-03-11,73.26192474365234
2022-03-14,68.77145385742188
2022-03-15,67.6735610961914
2022-03-16,69.7011947631836
2022-03-17,72.28272247314453
2022-03-18,73.49930572509766
2022-03-21,76.22919464111328
2022-03-22,75.7148666381836
2022-03-23,76.72373962402344
2022-03-24,76.26875305175781
2022-03-25,76.81275177001953
2022-03-28,75.42803192138672
2022-03-29,75.59617614746094
2022-03-30,76.00170135498047
2022-03-31,75.07195281982422
2022-04-01,77.31719207763672
2022-04-04,77.1490478515625
2022-04-05,73.41028594970703
2022-04-06,72.09479522705078
2022-04-07,72.62890625
2022-04-08,73.0245361328125
2022-04-11,72.73770141601562
2022-04-12,72.58934020996094
2022-04-13,73.78614044189453
2022-04-14,71.99588775634766
2022-04-18,72.42119598388672
2022-04-19,71.8870849609375
2022-04-20,71.00679779052734
2022-04-21,67.42628479003906
2022-04-22,65.4184341430664
2022-04-25,63.588619232177734
2022-04-26,61.39283752441406
2022-04-27,62.23356246948242
2022-04-28,62.31269073486328
2022-04-29,61.59065628051758
2022-05-02,61.19501876831055
2022-05-03,62.07530975341797
2022-05-04,64.22163391113281
2022-05-05,61.90716552734375
2022-05-06,60.74003601074219
2022-05-09,57.74309539794922
2022-05-10,57.08040237426758
2022-05-11,56.4177131652832
2022-05-12,54.103240966796875
2022-05-13,54.459312438964844
2022-05-16,53.34164047241211
2022-05-17,56.34847640991211
2022-05-18,55.27036666870117
2022-05-19,57.574947357177734
2022-05-20,58.41567611694336
2022-05-23,59.8004035949707
2022-05-24,60.38396453857422
2022-05-25,60.38396453857422
2022-05-26,60.51254653930664
2022-05-27,62.07530975341797
2022-05-31,61.10600280761719
2022-06-01,61.3137092590332
2022-06-02,63.697418212890625
2022-06-03,62.74789047241211
2022-06-06,63.38090896606445
2022-06-07,64.18207550048828
2022-06-08,62.60941696166992
2022-06-09,60.43341827392578
2022-06-10,59.454219818115234
