Date,GFL
2022-02-28,29.25
2022-03-01,29.209999084472656
2022-03-02,29.43000030517578
2022-03-03,28.809999465942383
2022-03-04,28.1200008392334
2022-03-07,26.290000915527344
2022-03-08,27.5
2022-03-09,28.59000015258789
2022-03-10,28.739999771118164
2022-03-11,28.579999923706055
2022-03-14,28.139999389648438
2022-03-15,28.440000534057617
2022-03-16,29.65999984741211
2022-03-17,29.889999389648438
2022-03-18,30.889999389648438
2022-03-21,30.920000076293945
2022-03-22,30.719999313354492
2022-03-23,31.100000381469727
2022-03-24,30.920000076293945
2022-03-25,30.979999542236328
2022-03-28,32.20000076293945
2022-03-29,32.369998931884766
2022-03-30,31.84000015258789
2022-03-31,32.540000915527344
2022-04-01,32.2400016784668
2022-04-04,31.56999969482422
2022-04-05,31.059999465942383
2022-04-06,30.940000534057617
2022-04-07,33.150001525878906
2022-04-08,32.56999969482422
2022-04-11,32.52000045776367
2022-04-12,32.439998626708984
2022-04-13,33.09000015258789
2022-04-14,32.84000015258789
2022-04-18,32.720001220703125
2022-04-19,33.470001220703125
2022-04-20,33.529998779296875
2022-04-21,33.209999084472656
2022-04-22,31.059999465942383
2022-04-25,30.93000030517578
2022-04-26,31.079999923706055
2022-04-27,31.799999237060547
2022-04-28,32.0
2022-04-29,30.1299991607666
2022-05-02,30.059999465942383
2022-05-03,29.719999313354492
2022-05-04,29.489999771118164
2022-05-05,28.860000610351562
2022-05-06,29.59000015258789
2022-05-09,28.09000015258789
2022-05-10,28.299999237060547
2022-05-11,27.219999313354492
2022-05-12,26.729999542236328
2022-05-13,28.0
2022-05-16,28.690000534057617
2022-05-17,28.860000610351562
2022-05-18,27.780000686645508
2022-05-19,28.389999389648438
2022-05-20,29.260000228881836
2022-05-23,29.809999465942383
2022-05-24,29.56999969482422
2022-05-25,29.190000534057617
2022-05-26,29.739999771118164
2022-05-27,30.700000762939453
2022-05-31,30.56999969482422
2022-06-01,30.829999923706055
2022-06-02,31.690000534057617
2022-06-03,31.559999465942383
2022-06-06,32.060001373291016
2022-06-07,31.889999389648438
2022-06-08,30.530000686645508
2022-06-09,29.579999923706055
2022-06-10,28.469999313354492
2022-06-13,27.229999542236328
2022-06-14,26.34000015258789
2022-06-15,26.68000030517578
2022-06-16,24.75
2022-06-17,24.889999389648438
2022-06-21,25.6299991607666
2022-06-22,25.700000762939453
2022-06-23,26.959999084472656
2022-06-24,27.360000610351562
2022-06-27,27.270000457763672
2022-06-28,26.34000015258789
2022-06-29,26.260000228881836
2022-06-30,25.799999237060547
2022-07-01,25.93000030517578
2022-07-05,25.489999771118164
2022-07-06,25.700000762939453
2022-07-07,26.110000610351562
2022-07-08,25.809999465942383
2022-07-11,25.030000686645508
2022-07-12,24.989999771118164
2022-07-13,24.700000762939453
2022-07-14,24.729999542236328
2022-07-15,25.06999969482422
2022-07-18,25.170000076293945
2022-07-19,25.940000534057617
2022-07-20,26.59000015258789
2022-07-21,26.989999771118164
2022-07-22,27.229999542236328
2022-07-25,27.34000015258789
2022-07-26,26.559999465942383
2022-07-27,27.440000534057617
2022-07-28,27.940000534057617
2022-07-29,27.649999618530273
2022-08-01,27.559999465942383
2022-08-02,27.690000534057617
2022-08-03,28.5
2022-08-04,28.479999542236328
2022-08-05,28.59000015258789
2022-08-08,29.0
2022-08-09,28.209999084472656
2022-08-10,28.760000228881836
2022-08-11,28.860000610351562
2022-08-12,29.360000610351562
2022-08-15,29.149999618530273
2022-08-16,29.549999237060547
2022-08-17,29.350000381469727
2022-08-18,29.239999771118164
2022-08-19,28.8799991607666
2022-08-22,28.15999984741211
2022-08-23,28.1200008392334
2022-08-24,28.8799991607666
2022-08-25,29.34000015258789
2022-08-26,28.270000457763672
2022-08-29,28.40999984741211
2022-08-30,28.229999542236328
2022-08-31,28.100000381469727
2022-09-01,29.190000534057617
2022-09-02,28.700000762939453
2022-09-06,28.549999237060547
2022-09-07,28.829999923706055
2022-09-08,28.809999465942383
2022-09-09,30.399999618530273
2022-09-12,30.75
2022-09-13,30.010000228881836
2022-09-14,30.040000915527344
2022-09-15,29.309999465942383
2022-09-16,28.020000457763672
2022-09-19,28.399999618530273
2022-09-20,28.309999465942383
2022-09-21,27.940000534057617
2022-09-22,26.75
2022-09-23,26.200000762939453
2022-09-26,25.75
2022-09-27,25.299999237060547
2022-09-28,26.229999542236328
2022-09-29,25.760000228881836
2022-09-30,25.290000915527344
2022-10-03,25.84000015258789
2022-10-04,27.389999389648438
2022-10-05,27.280000686645508
2022-10-06,26.600000381469727
2022-10-07,24.75
2022-10-10,24.729999542236328
2022-10-11,24.43000030517578
2022-10-12,24.229999542236328
2022-10-13,24.579999923706055
2022-10-14,23.940000534057617
2022-10-17,25.229999542236328
2022-10-18,25.739999771118164
2022-10-19,25.600000381469727
2022-10-20,25.020000457763672
2022-10-21,26.110000610351562
2022-10-24,26.049999237060547
2022-10-25,26.690000534057617
2022-10-26,26.25
2022-10-27,26.270000457763672
2022-10-28,26.6299991607666
2022-10-31,26.989999771118164
2022-11-01,26.540000915527344
2022-11-02,26.020000457763672
2022-11-03,25.440000534057617
2022-11-04,25.0
2022-11-07,25.639999389648438
2022-11-08,25.729999542236328
2022-11-09,25.270000457763672
2022-11-10,27.020000457763672
2022-11-11,28.270000457763672
2022-11-14,26.93000030517578
2022-11-15,27.020000457763672
2022-11-16,27.260000228881836
2022-11-17,26.8700008392334
2022-11-18,27.65999984741211
2022-11-21,27.559999465942383
2022-11-22,28.40999984741211
2022-11-23,28.959999084472656
2022-11-25,28.799999237060547
