Date,EG
2022-02-28,298.2200012207031
2022-03-01,284.0899963378906
2022-03-02,292.6700134277344
2022-03-03,289.1099853515625
2022-03-04,282.4100036621094
2022-03-07,267.3500061035156
2022-03-08,267.3599853515625
2022-03-09,275.4800109863281
2022-03-10,273.7900085449219
2022-03-11,271.4100036621094
2022-03-14,272.010009765625
2022-03-15,278.760009765625
2022-03-16,283.3999938964844
2022-03-17,285.17999267578125
2022-03-18,286.6600036621094
2022-03-21,286.8999938964844
2022-03-22,292.2900085449219
2022-03-23,291.8399963378906
2022-03-24,295.0
2022-03-25,299.010009765625
2022-03-28,297.7699890136719
2022-03-29,302.5799865722656
2022-03-30,304.7200012207031
2022-03-31,301.3800048828125
2022-04-01,307.1000061035156
2022-04-04,297.2900085449219
2022-04-05,298.8800048828125
2022-04-06,297.5400085449219
2022-04-07,296.5400085449219
2022-04-08,297.82000732421875
2022-04-11,296.9599914550781
2022-04-12,289.9200134277344
2022-04-13,291.7699890136719
2022-04-14,290.57000732421875
2022-04-18,290.07000732421875
2022-04-19,291.1300048828125
2022-04-20,297.42999267578125
2022-04-21,293.05999755859375
2022-04-22,286.17999267578125
2022-04-25,284.239990234375
2022-04-26,278.510009765625
2022-04-27,284.79998779296875
2022-04-28,282.6600036621094
2022-04-29,274.7099914550781
2022-05-02,277.42999267578125
2022-05-03,279.5299987792969
2022-05-04,286.20001220703125
2022-05-05,284.1400146484375
2022-05-06,287.32000732421875
2022-05-09,280.55999755859375
2022-05-10,279.2900085449219
2022-05-11,278.55999755859375
2022-05-12,273.989990234375
2022-05-13,280.0199890136719
2022-05-16,282.3800048828125
2022-05-17,289.5299987792969
2022-05-18,280.3900146484375
2022-05-19,276.3399963378906
2022-05-20,270.57000732421875
2022-05-23,274.4200134277344
2022-05-24,273.94000244140625
2022-05-25,274.4200134277344
2022-05-26,279.2099914550781
2022-05-27,284.7900085449219
2022-05-31,282.5
2022-06-01,278.5199890136719
2022-06-02,281.6300048828125
2022-06-03,280.2900085449219
2022-06-06,285.3900146484375
2022-06-07,288.2099914550781
2022-06-08,281.7900085449219
2022-06-09,277.92999267578125
2022-06-10,278.1000061035156
2022-06-13,269.67999267578125
2022-06-14,272.6700134277344
2022-06-15,275.260009765625
2022-06-16,265.0
2022-06-17,269.1199951171875
2022-06-21,270.8900146484375
2022-06-22,271.5799865722656
2022-06-23,272.2300109863281
2022-06-24,283.19000244140625
2022-06-27,283.0299987792969
2022-06-28,280.42999267578125
2022-06-29,278.5400085449219
2022-06-30,280.2799987792969
2022-07-01,283.7799987792969
2022-07-05,277.4200134277344
2022-07-06,281.5
2022-07-07,285.6700134277344
2022-07-08,280.7200012207031
2022-07-11,279.8599853515625
2022-07-12,276.8500061035156
2022-07-13,276.92999267578125
2022-07-14,263.1400146484375
2022-07-15,263.17999267578125
2022-07-18,261.6300048828125
2022-07-19,269.9800109863281
2022-07-20,269.54998779296875
2022-07-21,270.239990234375
2022-07-22,271.94000244140625
2022-07-25,273.80999755859375
2022-07-26,271.82000732421875
2022-07-27,271.1199951171875
2022-07-28,258.260009765625
2022-07-29,261.3500061035156
2022-08-01,252.36000061035156
2022-08-02,249.27999877929688
2022-08-03,253.22000122070312
2022-08-04,251.80999755859375
2022-08-05,255.66000366210938
2022-08-08,257.79998779296875
2022-08-09,260.82000732421875
2022-08-10,264.30999755859375
2022-08-11,271.2200012207031
2022-08-12,275.54998779296875
2022-08-15,275.1400146484375
2022-08-16,277.29998779296875
2022-08-17,278.1700134277344
2022-08-18,282.19000244140625
2022-08-19,281.5
2022-08-22,274.6600036621094
2022-08-23,272.6700134277344
2022-08-24,273.7099914550781
2022-08-25,276.8299865722656
2022-08-26,272.9200134277344
2022-08-29,272.1300048828125
2022-08-30,269.5
2022-08-31,269.04998779296875
2022-09-01,272.3500061035156
2022-09-02,274.010009765625
2022-09-06,274.3999938964844
2022-09-07,281.4200134277344
2022-09-08,285.5299987792969
2022-09-09,282.69000244140625
2022-09-12,282.8299865722656
2022-09-13,279.4800109863281
2022-09-14,280.1499938964844
2022-09-15,285.0199890136719
2022-09-16,283.07000732421875
2022-09-19,284.0199890136719
2022-09-20,271.4599914550781
2022-09-21,260.82000732421875
2022-09-22,257.5
2022-09-23,255.1199951171875
2022-09-26,245.7899932861328
2022-09-27,253.85000610351562
2022-09-28,259.44000244140625
2022-09-29,267.5
2022-09-30,262.44000244140625
2022-10-03,265.8900146484375
2022-10-04,276.94000244140625
2022-10-05,273.7300109863281
2022-10-06,272.30999755859375
2022-10-07,264.42999267578125
2022-10-10,267.5
2022-10-11,267.69000244140625
2022-10-12,260.8399963378906
2022-10-13,273.8800048828125
2022-10-14,270.30999755859375
2022-10-17,273.6499938964844
2022-10-18,278.260009765625
2022-10-19,279.67999267578125
2022-10-20,270.010009765625
2022-10-21,279.8800048828125
2022-10-24,284.3900146484375
