Date,PEG
2022-02-28,64.83000183105469
2022-03-01,64.45999908447266
2022-03-02,65.37999725341797
2022-03-03,66.29000091552734
2022-03-04,67.5999984741211
2022-03-07,67.70999908447266
2022-03-08,66.68000030517578
2022-03-09,65.81999969482422
2022-03-10,65.4000015258789
2022-03-11,65.72000122070312
2022-03-14,66.52999877929688
2022-03-15,67.52999877929688
2022-03-16,67.70999908447266
2022-03-17,67.75
2022-03-18,66.80000305175781
2022-03-21,67.44999694824219
2022-03-22,67.0999984741211
2022-03-23,66.80000305175781
2022-03-24,67.54000091552734
2022-03-25,68.30999755859375
2022-03-28,68.5199966430664
2022-03-29,69.0999984741211
2022-03-30,69.94000244140625
2022-03-31,70.0
2022-04-01,71.05999755859375
2022-04-04,70.29000091552734
2022-04-05,70.55999755859375
2022-04-06,72.08000183105469
2022-04-07,71.61000061035156
2022-04-08,72.08999633789062
2022-04-11,71.7300033569336
2022-04-12,71.91999816894531
2022-04-13,71.55000305175781
2022-04-14,72.80000305175781
2022-04-18,72.43000030517578
2022-04-19,73.08000183105469
2022-04-20,74.7300033569336
2022-04-21,74.66999816894531
2022-04-22,73.87999725341797
2022-04-25,72.63999938964844
2022-04-26,71.26000213623047
2022-04-27,70.44999694824219
2022-04-28,71.1500015258789
2022-04-29,69.66000366210938
2022-05-02,68.8499984741211
2022-05-03,68.5
2022-05-04,69.2699966430664
2022-05-05,68.88999938964844
2022-05-06,69.43000030517578
2022-05-09,69.05999755859375
2022-05-10,68.33000183105469
2022-05-11,68.94999694824219
2022-05-12,68.29000091552734
2022-05-13,68.58000183105469
2022-05-16,68.05999755859375
2022-05-17,68.6500015258789
2022-05-18,67.86000061035156
2022-05-19,67.66999816894531
2022-05-20,67.55000305175781
2022-05-23,68.27999877929688
2022-05-24,68.69999694824219
2022-05-25,68.12999725341797
2022-05-26,67.9800033569336
2022-05-27,69.04000091552734
2022-05-31,68.54000091552734
2022-06-01,68.0999984741211
2022-06-02,68.54000091552734
2022-06-03,68.5
2022-06-06,68.38999938964844
2022-06-07,68.94999694824219
2022-06-08,67.12999725341797
2022-06-09,65.16000366210938
2022-06-10,65.47000122070312
2022-06-13,63.099998474121094
2022-06-14,60.970001220703125
2022-06-15,60.52000045776367
2022-06-16,59.0
2022-06-17,59.15999984741211
2022-06-21,59.65999984741211
2022-06-22,59.81999969482422
2022-06-23,60.43000030517578
2022-06-24,62.5099983215332
2022-06-27,62.83000183105469
2022-06-28,62.630001068115234
2022-06-29,62.61000061035156
2022-06-30,63.279998779296875
2022-07-01,64.66999816894531
2022-07-05,62.560001373291016
2022-07-06,62.97999954223633
2022-07-07,62.79999923706055
2022-07-08,62.459999084472656
2022-07-11,62.47999954223633
2022-07-12,61.7400016784668
2022-07-13,61.0
2022-07-14,60.34000015258789
2022-07-15,60.54999923706055
2022-07-18,60.060001373291016
2022-07-19,60.40999984741211
2022-07-20,59.63999938964844
