Date,BURL
2022-02-28,225.88999938964844
2022-03-01,224.27999877929688
2022-03-02,233.33999633789062
2022-03-03,203.1199951171875
2022-03-04,189.6699981689453
2022-03-07,173.16000366210938
2022-03-08,180.52000427246094
2022-03-09,185.77999877929688
2022-03-10,195.6199951171875
2022-03-11,197.0
2022-03-14,194.97000122070312
2022-03-15,196.33999633789062
2022-03-16,199.6300048828125
2022-03-17,199.10000610351562
2022-03-18,197.1999969482422
2022-03-21,188.6199951171875
2022-03-22,191.2100067138672
2022-03-23,181.9199981689453
2022-03-24,183.6999969482422
2022-03-25,182.8300018310547
2022-03-28,187.0
2022-03-29,198.6300048828125
2022-03-30,190.38999938964844
2022-03-31,182.1699981689453
2022-04-01,181.9499969482422
2022-04-04,187.82000732421875
2022-04-05,185.64999389648438
2022-04-06,190.86000061035156
2022-04-07,194.8000030517578
2022-04-08,194.24000549316406
2022-04-11,207.02000427246094
2022-04-12,207.7100067138672
2022-04-13,213.0
2022-04-14,213.85000610351562
2022-04-18,218.9600067138672
2022-04-19,227.5399932861328
2022-04-20,222.5500030517578
2022-04-21,217.57000732421875
2022-04-22,209.14999389648438
2022-04-25,209.25
2022-04-26,203.16000366210938
2022-04-27,206.32000732421875
2022-04-28,213.5399932861328
2022-04-29,203.55999755859375
2022-05-02,211.67999267578125
2022-05-03,208.6199951171875
2022-05-04,214.32000732421875
2022-05-05,207.91000366210938
2022-05-06,196.6999969482422
2022-05-09,188.6199951171875
2022-05-10,183.0
2022-05-11,173.4600067138672
2022-05-12,172.02999877929688
2022-05-13,172.5
2022-05-16,172.4600067138672
2022-05-17,174.83999633789062
2022-05-18,177.4600067138672
2022-05-19,177.1999969482422
2022-05-20,150.7100067138672
2022-05-23,155.4499969482422
2022-05-24,145.4499969482422
2022-05-25,156.2899932861328
2022-05-26,169.8699951171875
2022-05-27,171.6300048828125
2022-05-31,168.3000030517578
2022-06-01,164.9499969482422
2022-06-02,174.14999389648438
2022-06-03,170.8699951171875
2022-06-06,174.88999938964844
2022-06-07,176.3800048828125
2022-06-08,176.22000122070312
2022-06-09,173.91000366210938
2022-06-10,168.22999572753906
2022-06-13,161.08999633789062
2022-06-14,158.42999267578125
2022-06-15,161.22000122070312
2022-06-16,151.1300048828125
2022-06-17,155.3300018310547
2022-06-21,154.94000244140625
2022-06-22,149.27999877929688
2022-06-23,149.8000030517578
2022-06-24,159.97999572753906
2022-06-27,156.74000549316406
2022-06-28,148.02999877929688
2022-06-29,143.0
2022-06-30,136.22999572753906
2022-07-01,138.0
2022-07-05,147.2100067138672
2022-07-06,147.2899932861328
2022-07-07,154.07000732421875
2022-07-08,152.1999969482422
2022-07-11,146.97000122070312
2022-07-12,146.64999389648438
2022-07-13,144.75
2022-07-14,139.07000732421875
2022-07-15,140.11000061035156
2022-07-18,142.39999389648438
2022-07-19,147.49000549316406
2022-07-20,152.0
2022-07-21,155.47999572753906
2022-07-22,156.38999938964844
2022-07-25,151.77999877929688
2022-07-26,139.94000244140625
2022-07-27,144.3699951171875
2022-07-28,144.1199951171875
2022-07-29,141.1300048828125
2022-08-01,150.1699981689453
2022-08-02,148.0500030517578
2022-08-03,155.22999572753906
2022-08-04,157.89999389648438
2022-08-05,154.9199981689453
2022-08-08,161.77999877929688
2022-08-09,154.0
2022-08-10,156.99000549316406
2022-08-11,164.10000610351562
2022-08-12,163.75
2022-08-15,160.0
2022-08-16,168.11000061035156
2022-08-17,170.1699981689453
2022-08-18,168.99000549316406
2022-08-19,163.30999755859375
2022-08-22,153.97999572753906
2022-08-23,158.8000030517578
2022-08-24,163.72999572753906
2022-08-25,147.00999450683594
2022-08-26,144.80999755859375
2022-08-29,143.27000427246094
2022-08-30,141.33999633789062
2022-08-31,140.19000244140625
2022-09-01,143.80999755859375
2022-09-02,143.4600067138672
2022-09-06,139.72000122070312
2022-09-07,148.1999969482422
2022-09-08,148.77999877929688
2022-09-09,149.74000549316406
2022-09-12,153.3300018310547
2022-09-13,141.25
2022-09-14,137.72999572753906
2022-09-15,139.2100067138672
2022-09-16,141.33999633789062
2022-09-19,138.72000122070312
2022-09-20,133.47000122070312
2022-09-21,127.69000244140625
2022-09-22,122.9000015258789
2022-09-23,121.0
2022-09-26,114.75
2022-09-27,114.95999908447266
2022-09-28,116.83999633789062
2022-09-29,109.77999877929688
2022-09-30,111.88999938964844
2022-10-03,115.6500015258789
2022-10-04,122.87999725341797
2022-10-05,123.47000122070312
2022-10-06,122.27999877929688
2022-10-07,118.95999908447266
2022-10-10,115.73999786376953
2022-10-11,115.83000183105469
2022-10-12,114.48999786376953
2022-10-13,115.25
2022-10-14,110.91999816894531
2022-10-17,116.30999755859375
2022-10-18,118.80000305175781
2022-10-19,115.37000274658203
2022-10-20,115.55999755859375
2022-10-21,119.30000305175781
2022-10-24,125.1500015258789
2022-10-25,140.47000122070312
2022-10-26,138.0399932861328
2022-10-27,141.13999938964844
2022-10-28,139.32000732421875
2022-10-31,142.9600067138672
2022-11-01,140.11000061035156
2022-11-02,131.64999389648438
2022-11-03,138.0
2022-11-04,138.89999389648438
2022-11-07,134.94000244140625
2022-11-08,132.44000244140625
2022-11-09,133.75999450683594
2022-11-10,146.17999267578125
2022-11-11,151.0500030517578
2022-11-14,153.66000366210938
2022-11-15,156.6300048828125
2022-11-16,149.55999755859375
2022-11-17,150.8699951171875
2022-11-18,157.86000061035156
2022-11-21,157.63999938964844
2022-11-22,189.9600067138672
2022-11-23,195.6999969482422
2022-11-25,196.60000610351562
2022-11-28,195.8699951171875
2022-11-29,192.49000549316406
