Date,CI
2022-02-28,237.77999877929688
2022-03-01,237.10000610351562
2022-03-02,240.50999450683594
2022-03-03,237.80999755859375
2022-03-04,241.6300048828125
2022-03-07,237.85000610351562
2022-03-08,229.10000610351562
2022-03-09,231.25999450683594
2022-03-10,229.4600067138672
2022-03-11,226.86000061035156
2022-03-14,226.1999969482422
2022-03-15,233.0800018310547
2022-03-16,237.5
2022-03-17,242.38999938964844
2022-03-18,241.16000366210938
2022-03-21,243.50999450683594
2022-03-22,243.52999877929688
2022-03-23,238.5
2022-03-24,242.10000610351562
2022-03-25,243.5800018310547
2022-03-28,243.66000366210938
2022-03-29,243.33999633789062
2022-03-30,245.8300018310547
2022-03-31,239.61000061035156
2022-04-01,246.25
2022-04-04,242.25999450683594
2022-04-05,245.08999633789062
2022-04-06,249.61000061035156
2022-04-07,255.1300048828125
2022-04-08,257.8999938964844
2022-04-11,254.1199951171875
2022-04-12,254.82000732421875
2022-04-13,258.989990234375
2022-04-14,259.2099914550781
2022-04-18,258.9599914550781
2022-04-19,261.0299987792969
2022-04-20,268.8699951171875
2022-04-21,264.6099853515625
2022-04-22,255.05999755859375
2022-04-25,254.36000061035156
2022-04-26,252.60000610351562
2022-04-27,250.77000427246094
2022-04-28,254.24000549316406
2022-04-29,246.77999877929688
2022-05-02,246.11000061035156
2022-05-03,247.2899932861328
2022-05-04,255.6699981689453
2022-05-05,252.0800018310547
2022-05-06,266.8999938964844
2022-05-09,261.4100036621094
2022-05-10,260.6499938964844
2022-05-11,260.20001220703125
2022-05-12,260.0299987792969
2022-05-13,259.19000244140625
2022-05-16,266.489990234375
2022-05-17,271.3500061035156
2022-05-18,257.57000732421875
2022-05-19,256.8800048828125
2022-05-20,259.489990234375
2022-05-23,263.3699951171875
2022-05-24,264.9599914550781
2022-05-25,265.75
2022-05-26,268.8800048828125
2022-05-27,272.3999938964844
2022-05-31,268.2900085449219
2022-06-01,264.5799865722656
2022-06-02,263.42999267578125
2022-06-03,253.97000122070312
2022-06-06,258.32000732421875
2022-06-07,262.2799987792969
2022-06-08,260.7799987792969
2022-06-09,257.5799865722656
2022-06-10,253.2899932861328
2022-06-13,242.22999572753906
2022-06-14,245.7100067138672
2022-06-15,247.10000610351562
2022-06-16,248.3000030517578
2022-06-17,244.52000427246094
2022-06-21,252.17999267578125
2022-06-22,255.89999389648438
2022-06-23,259.67999267578125
2022-06-24,265.1300048828125
2022-06-27,267.8800048828125
2022-06-28,266.2099914550781
2022-06-29,267.3399963378906
2022-06-30,263.5199890136719
2022-07-01,268.0299987792969
2022-07-05,264.8399963378906
2022-07-06,271.0899963378906
2022-07-07,275.7799987792969
2022-07-08,279.19000244140625
2022-07-11,279.9100036621094
2022-07-12,279.3500061035156
2022-07-13,273.75
2022-07-14,264.9100036621094
2022-07-15,274.1099853515625
2022-07-18,268.3500061035156
2022-07-19,274.6000061035156
2022-07-20,266.7200012207031
2022-07-21,266.3500061035156
2022-07-22,269.20001220703125
2022-07-25,272.6300048828125
2022-07-26,274.8299865722656
2022-07-27,274.7300109863281
2022-07-28,273.2200012207031
2022-07-29,275.3599853515625
2022-08-01,273.4100036621094
2022-08-02,271.44000244140625
2022-08-03,271.739990234375
2022-08-04,280.1000061035156
2022-08-05,281.7699890136719
2022-08-08,281.7699890136719
2022-08-09,285.0400085449219
2022-08-10,287.07000732421875
2022-08-11,286.0
2022-08-12,290.9200134277344
2022-08-15,290.8699951171875
2022-08-16,290.6099853515625
2022-08-17,291.6000061035156
2022-08-18,290.8900146484375
2022-08-19,292.9800109863281
2022-08-22,291.5
2022-08-23,286.3299865722656
2022-08-24,288.760009765625
2022-08-25,291.8500061035156
2022-08-26,284.8699951171875
2022-08-29,287.19000244140625
2022-08-30,285.07000732421875
2022-08-31,283.45001220703125
2022-09-01,288.0400085449219
2022-09-02,287.70001220703125
2022-09-06,285.25
2022-09-07,290.0
2022-09-08,290.7099914550781
2022-09-09,292.8399963378906
2022-09-12,294.1499938964844
2022-09-13,286.82000732421875
2022-09-14,284.0799865722656
2022-09-15,289.9599914550781
2022-09-16,290.3500061035156
2022-09-19,289.32000732421875
2022-09-20,288.0799865722656
2022-09-21,284.95001220703125
2022-09-22,282.8999938964844
2022-09-23,277.7699890136719
2022-09-26,276.79998779296875
2022-09-27,277.6199951171875
2022-09-28,282.54998779296875
2022-09-29,280.55999755859375
2022-09-30,277.4700012207031
2022-10-03,287.2200012207031
2022-10-04,293.0199890136719
2022-10-05,294.0299987792969
2022-10-06,293.0799865722656
2022-10-07,288.3800048828125
2022-10-10,285.7300109863281
2022-10-11,290.95001220703125
2022-10-12,288.3599853515625
2022-10-13,297.6400146484375
2022-10-14,295.29998779296875
2022-10-17,289.9200134277344
2022-10-18,293.739990234375
2022-10-19,293.0799865722656
2022-10-20,294.30999755859375
2022-10-21,301.3399963378906
2022-10-24,306.95001220703125
2022-10-25,310.9200134277344
2022-10-26,314.95001220703125
2022-10-27,316.5799865722656
2022-10-28,324.760009765625
2022-10-31,323.05999755859375
2022-11-01,325.1199951171875
2022-11-02,320.8599853515625
2022-11-03,324.239990234375
2022-11-04,322.1300048828125
2022-11-07,324.3699951171875
2022-11-08,327.739990234375
2022-11-09,324.989990234375
2022-11-10,323.3399963378906
2022-11-11,303.82000732421875
2022-11-14,306.8500061035156
2022-11-15,305.1700134277344
2022-11-16,306.69000244140625
2022-11-17,312.1000061035156
2022-11-18,319.2099914550781
2022-11-21,315.2900085449219
2022-11-22,319.3500061035156
2022-11-23,319.8399963378906
2022-11-25,323.8999938964844
