Date,CVE
2022-02-28,15.699999809265137
2022-03-01,15.4399995803833
2022-03-02,15.859999656677246
2022-03-03,15.390000343322754
2022-03-04,16.059999465942383
2022-03-07,16.360000610351562
2022-03-08,16.56999969482422
2022-03-09,15.850000381469727
2022-03-10,15.960000038146973
2022-03-11,16.1299991607666
2022-03-14,15.039999961853027
2022-03-15,14.949999809265137
2022-03-16,14.899999618530273
2022-03-17,15.460000038146973
2022-03-18,15.329999923706055
2022-03-21,16.040000915527344
2022-03-22,15.979999542236328
2022-03-23,16.170000076293945
2022-03-24,16.06999969482422
2022-03-25,16.809999465942383
2022-03-28,16.350000381469727
2022-03-29,16.719999313354492
2022-03-30,16.68000030517578
2022-03-31,16.68000030517578
2022-04-01,16.940000534057617
2022-04-04,17.309999465942383
2022-04-05,17.079999923706055
2022-04-06,16.450000762939453
2022-04-07,16.790000915527344
2022-04-08,17.559999465942383
2022-04-11,16.469999313354492
2022-04-12,17.06999969482422
2022-04-13,17.5
2022-04-14,17.469999313354492
2022-04-18,18.1200008392334
2022-04-19,17.950000762939453
2022-04-20,18.25
2022-04-21,17.420000076293945
2022-04-22,17.260000228881836
2022-04-25,16.450000762939453
2022-04-26,16.469999313354492
2022-04-27,18.15999984741211
2022-04-28,19.40999984741211
2022-04-29,18.479999542236328
2022-05-02,18.440000534057617
2022-05-03,19.34000015258789
2022-05-04,20.170000076293945
2022-05-05,20.15999984741211
2022-05-06,20.399999618530273
2022-05-09,18.709999084472656
2022-05-10,18.959999084472656
2022-05-11,19.34000015258789
2022-05-12,19.110000610351562
2022-05-13,20.1299991607666
2022-05-16,20.6299991607666
2022-05-17,21.059999465942383
2022-05-18,20.739999771118164
2022-05-19,21.1200008392334
2022-05-20,21.360000610351562
2022-05-23,21.889999389648438
2022-05-24,21.670000076293945
2022-05-25,21.90999984741211
2022-05-26,22.049999237060547
2022-05-27,22.670000076293945
2022-05-31,23.170000076293945
2022-06-01,23.850000381469727
2022-06-02,23.860000610351562
2022-06-03,23.989999771118164
2022-06-06,23.8799991607666
2022-06-07,24.709999084472656
2022-06-08,24.530000686645508
2022-06-09,24.149999618530273
2022-06-10,23.530000686645508
2022-06-13,22.520000457763672
2022-06-14,22.18000030517578
2022-06-15,21.479999542236328
2022-06-16,20.06999969482422
2022-06-17,19.030000686645508
2022-06-21,20.09000015258789
2022-06-22,19.40999984741211
2022-06-23,17.799999237060547
2022-06-24,18.829999923706055
2022-06-27,19.59000015258789
