Date,TM
2022-02-28,182.9499969482422
2022-03-01,181.7100067138672
2022-03-02,179.14999389648438
2022-03-03,176.08999633789062
2022-03-04,170.75
2022-03-07,160.1699981689453
2022-03-08,156.33999633789062
2022-03-09,164.0500030517578
2022-03-10,164.42999267578125
2022-03-11,158.27000427246094
2022-03-14,161.08999633789062
2022-03-15,165.92999267578125
2022-03-16,171.88999938964844
2022-03-17,171.74000549316406
2022-03-18,171.6999969482422
2022-03-21,171.8000030517578
2022-03-22,172.82000732421875
2022-03-23,175.77999877929688
2022-03-24,180.27000427246094
2022-03-25,178.42999267578125
2022-03-28,177.85000610351562
2022-03-29,184.80999755859375
2022-03-30,180.6199951171875
2022-03-31,180.25
2022-04-01,180.3699951171875
2022-04-04,182.5800018310547
2022-04-05,177.66000366210938
2022-04-06,176.52000427246094
2022-04-07,174.49000549316406
2022-04-08,170.77999877929688
2022-04-11,169.63999938964844
2022-04-12,165.72999572753906
2022-04-13,168.44000244140625
2022-04-14,167.25999450683594
2022-04-18,170.27000427246094
2022-04-19,171.4499969482422
2022-04-20,175.4499969482422
2022-04-21,173.6699981689453
2022-04-22,169.52999877929688
2022-04-25,172.16000366210938
2022-04-26,166.82000732421875
2022-04-27,168.0399932861328
2022-04-28,172.97000122070312
2022-04-29,171.0
2022-05-02,170.69000244140625
2022-05-03,172.05999755859375
2022-05-04,174.85000610351562
2022-05-05,169.92999267578125
2022-05-06,173.3000030517578
2022-05-09,168.47000122070312
2022-05-10,166.4499969482422
2022-05-11,157.05999755859375
2022-05-12,158.5399932861328
2022-05-13,161.3300018310547
2022-05-16,159.2100067138672
2022-05-17,159.97999572753906
2022-05-18,155.47999572753906
2022-05-19,155.88999938964844
2022-05-20,158.66000366210938
2022-05-23,161.35000610351562
2022-05-24,160.60000610351562
2022-05-25,161.02999877929688
2022-05-26,165.52999877929688
2022-05-27,166.8300018310547
2022-05-31,166.3699951171875
2022-06-01,168.6999969482422
2022-06-02,170.24000549316406
2022-06-03,164.80999755859375
2022-06-06,165.5800018310547
2022-06-07,166.25
2022-06-08,165.35000610351562
2022-06-09,164.50999450683594
2022-06-10,161.3000030517578
2022-06-13,155.5
2022-06-14,155.16000366210938
2022-06-15,156.75
2022-06-16,154.4600067138672
2022-06-17,153.9499969482422
2022-06-21,159.08999633789062
2022-06-22,159.13999938964844
2022-06-23,157.52000427246094
2022-06-24,159.0800018310547
2022-06-27,156.52999877929688
2022-06-28,157.11000061035156
2022-06-29,155.6699981689453
2022-06-30,154.1699981689453
2022-07-01,155.47000122070312
2022-07-05,154.6699981689453
2022-07-06,152.8300018310547
2022-07-07,157.14999389648438
2022-07-08,156.75999450683594
2022-07-11,155.1699981689453
2022-07-12,155.42999267578125
2022-07-13,155.44000244140625
2022-07-14,153.13999938964844
2022-07-15,156.6999969482422
2022-07-18,156.75
2022-07-19,160.4199981689453
