Date,TSN
2022-02-28,92.66000366210938
2022-03-01,93.83000183105469
2022-03-02,95.04000091552734
2022-03-03,95.33999633789062
2022-03-04,93.51000213623047
2022-03-07,92.55999755859375
2022-03-08,92.31999969482422
2022-03-09,90.63999938964844
2022-03-10,89.94999694824219
2022-03-11,87.63999938964844
2022-03-14,85.5
2022-03-15,85.69999694824219
2022-03-16,87.22000122070312
2022-03-17,88.5999984741211
2022-03-18,87.13999938964844
2022-03-21,86.58000183105469
2022-03-22,86.77999877929688
2022-03-23,85.7300033569336
2022-03-24,86.33000183105469
2022-03-25,86.93000030517578
2022-03-28,86.7699966430664
2022-03-29,88.81999969482422
2022-03-30,88.70999908447266
2022-03-31,89.62999725341797
2022-04-01,91.04000091552734
2022-04-04,89.8499984741211
2022-04-05,90.19000244140625
2022-04-06,90.9000015258789
2022-04-07,91.44000244140625
2022-04-08,92.44000244140625
2022-04-11,93.81999969482422
2022-04-12,93.44000244140625
2022-04-13,94.48999786376953
2022-04-14,95.44999694824219
2022-04-18,95.08000183105469
2022-04-19,97.4800033569336
2022-04-20,98.4000015258789
2022-04-21,97.79000091552734
2022-04-22,94.91999816894531
2022-04-25,94.51000213623047
2022-04-26,92.58000183105469
2022-04-27,93.62000274658203
2022-04-28,95.69000244140625
2022-04-29,93.16000366210938
2022-05-02,92.9000015258789
2022-05-03,90.0999984741211
2022-05-04,92.2300033569336
2022-05-05,90.9000015258789
2022-05-06,90.81999969482422
2022-05-09,92.83999633789062
2022-05-10,92.08999633789062
2022-05-11,90.19999694824219
2022-05-12,89.54000091552734
2022-05-13,90.0
2022-05-16,90.79000091552734
2022-05-17,91.7699966430664
2022-05-18,84.75
2022-05-19,84.12000274658203
2022-05-20,85.27999877929688
2022-05-23,87.33999633789062
2022-05-24,88.75
2022-05-25,89.05999755859375
2022-05-26,89.76000213623047
2022-05-27,91.04000091552734
2022-05-31,89.61000061035156
2022-06-01,88.13999938964844
2022-06-02,88.01000213623047
2022-06-03,87.41000366210938
2022-06-06,87.4800033569336
2022-06-07,88.37999725341797
2022-06-08,87.30999755859375
2022-06-09,85.30999755859375
2022-06-10,84.13999938964844
2022-06-13,83.30999755859375
2022-06-14,83.91999816894531
2022-06-15,84.11000061035156
2022-06-16,82.55000305175781
2022-06-17,83.06999969482422
2022-06-21,84.01000213623047
2022-06-22,83.80999755859375
2022-06-23,83.95999908447266
2022-06-24,85.80000305175781
2022-06-27,85.80999755859375
2022-06-28,85.62000274658203
2022-06-29,86.30000305175781
2022-06-30,86.05999755859375
2022-07-01,85.25
2022-07-05,85.79000091552734
2022-07-06,85.68000030517578
2022-07-07,86.06999969482422
2022-07-08,84.11000061035156
2022-07-11,81.80999755859375
2022-07-12,82.72000122070312
2022-07-13,83.02999877929688
2022-07-14,81.54000091552734
2022-07-15,81.93000030517578
2022-07-18,81.87999725341797
2022-07-19,83.5
2022-07-20,82.3499984741211
