Date,HMC
2022-02-28,30.559999465942383
2022-03-01,29.81999969482422
2022-03-02,29.610000610351562
2022-03-03,28.829999923706055
2022-03-04,28.010000228881836
2022-03-07,26.68000030517578
2022-03-08,26.389999389648438
2022-03-09,27.270000457763672
2022-03-10,27.18000030517578
2022-03-11,26.450000762939453
2022-03-14,26.65999984741211
2022-03-15,27.15999984741211
2022-03-16,28.280000686645508
2022-03-17,28.239999771118164
2022-03-18,28.31999969482422
2022-03-21,28.229999542236328
2022-03-22,28.510000228881836
2022-03-23,28.3700008392334
2022-03-24,28.479999542236328
2022-03-25,28.440000534057617
2022-03-28,28.200000762939453
2022-03-29,29.049999237060547
2022-03-30,28.540000915527344
2022-03-31,28.260000228881836
2022-04-01,28.299999237060547
2022-04-04,28.469999313354492
2022-04-05,27.420000076293945
2022-04-06,26.84000015258789
2022-04-07,25.989999771118164
2022-04-08,26.059999465942383
2022-04-11,26.040000915527344
2022-04-12,25.68000030517578
2022-04-13,25.969999313354492
2022-04-14,25.75
2022-04-18,25.90999984741211
2022-04-19,26.219999313354492
2022-04-20,26.760000228881836
2022-04-21,26.450000762939453
2022-04-22,25.93000030517578
2022-04-25,26.459999084472656
2022-04-26,25.829999923706055
2022-04-27,25.690000534057617
2022-04-28,26.450000762939453
2022-04-29,26.25
2022-05-02,26.260000228881836
2022-05-03,26.579999923706055
2022-05-04,27.1200008392334
2022-05-05,26.350000381469727
2022-05-06,26.68000030517578
2022-05-09,25.700000762939453
2022-05-10,25.6299991607666
2022-05-11,24.729999542236328
2022-05-12,25.09000015258789
2022-05-13,25.6299991607666
2022-05-16,24.639999389648438
2022-05-17,25.200000762939453
2022-05-18,24.540000915527344
2022-05-19,25.010000228881836
2022-05-20,25.020000457763672
2022-05-23,25.260000228881836
2022-05-24,24.950000762939453
2022-05-25,24.56999969482422
2022-05-26,24.959999084472656
2022-05-27,25.149999618530273
2022-05-31,24.899999618530273
2022-06-01,25.440000534057617
2022-06-02,25.84000015258789
2022-06-03,24.959999084472656
2022-06-06,25.229999542236328
2022-06-07,25.59000015258789
2022-06-08,25.190000534057617
2022-06-09,25.280000686645508
2022-06-10,24.700000762939453
2022-06-13,23.979999542236328
2022-06-14,24.469999313354492
2022-06-15,24.920000076293945
2022-06-16,24.309999465942383
2022-06-17,24.350000381469727
2022-06-21,25.020000457763672
2022-06-22,25.1299991607666
2022-06-23,24.84000015258789
2022-06-24,25.040000915527344
2022-06-27,24.440000534057617
2022-06-28,24.780000686645508
2022-06-29,24.459999084472656
