Date,AVB
2022-02-28,238.58999633789062
2022-03-01,234.17999267578125
2022-03-02,240.67999267578125
2022-03-03,243.10000610351562
2022-03-04,247.33999633789062
2022-03-07,244.5800018310547
2022-03-08,239.9499969482422
2022-03-09,244.4600067138672
2022-03-10,244.02000427246094
2022-03-11,241.1199951171875
2022-03-14,239.32000732421875
2022-03-15,240.22000122070312
2022-03-16,243.00999450683594
2022-03-17,245.97000122070312
2022-03-18,245.3800048828125
2022-03-21,244.8300018310547
2022-03-22,243.07000732421875
2022-03-23,241.44000244140625
2022-03-24,243.1999969482422
2022-03-25,247.24000549316406
2022-03-28,249.99000549316406
2022-03-29,258.260009765625
2022-03-30,251.9499969482422
2022-03-31,248.3699951171875
2022-04-01,254.44000244140625
2022-04-04,251.00999450683594
2022-04-05,249.44000244140625
2022-04-06,254.9499969482422
2022-04-07,249.33999633789062
2022-04-08,249.61000061035156
2022-04-11,246.25
2022-04-12,246.47999572753906
2022-04-13,247.6199951171875
2022-04-14,246.61000061035156
2022-04-18,244.0500030517578
2022-04-19,246.9199981689453
2022-04-20,253.5
2022-04-21,256.010009765625
2022-04-22,250.85000610351562
2022-04-25,248.4199981689453
2022-04-26,244.35000610351562
2022-04-27,240.77999877929688
2022-04-28,239.5
2022-04-29,227.47999572753906
2022-05-02,221.14999389648438
2022-05-03,222.44000244140625
2022-05-04,222.47999572753906
2022-05-05,216.72000122070312
2022-05-06,212.42999267578125
2022-05-09,203.72000122070312
2022-05-10,200.08999633789062
2022-05-11,203.47999572753906
2022-05-12,204.08999633789062
2022-05-13,207.2100067138672
2022-05-16,204.85000610351562
2022-05-17,207.83999633789062
2022-05-18,201.55999755859375
2022-05-19,199.36000061035156
2022-05-20,200.9499969482422
2022-05-23,204.19000244140625
2022-05-24,205.00999450683594
2022-05-25,204.94000244140625
2022-05-26,205.4499969482422
2022-05-27,210.91000366210938
2022-05-31,207.9600067138672
2022-06-01,207.57000732421875
2022-06-02,208.97000122070312
2022-06-03,205.02000427246094
2022-06-06,200.8000030517578
2022-06-07,204.85000610351562
2022-06-08,200.49000549316406
2022-06-09,194.8699951171875
2022-06-10,194.44000244140625
2022-06-13,186.75999450683594
2022-06-14,185.19000244140625
2022-06-15,187.5800018310547
2022-06-16,186.38999938964844
2022-06-17,190.99000549316406
2022-06-21,191.39999389648438
2022-06-22,191.88999938964844
2022-06-23,196.49000549316406
2022-06-24,195.14999389648438
2022-06-27,198.77000427246094
2022-06-28,197.05999755859375
2022-06-29,195.0800018310547
2022-06-30,194.25
2022-07-01,196.25
2022-07-05,194.2100067138672
2022-07-06,194.02000427246094
2022-07-07,192.58999633789062
2022-07-08,190.55999755859375
2022-07-11,190.5500030517578
2022-07-12,191.33999633789062
2022-07-13,190.5500030517578
2022-07-14,189.13999938964844
2022-07-15,192.7899932861328
2022-07-18,191.24000549316406
2022-07-19,195.4600067138672
2022-07-20,194.6300048828125
2022-07-21,196.0500030517578
2022-07-22,198.25
2022-07-25,197.5399932861328
2022-07-26,197.5399932861328
2022-07-27,202.08999633789062
2022-07-28,212.24000549316406
2022-07-29,213.94000244140625
2022-08-01,207.77000427246094
2022-08-02,204.5800018310547
2022-08-03,202.0500030517578
2022-08-04,203.8000030517578
2022-08-05,204.91000366210938
2022-08-08,206.44000244140625
2022-08-09,210.4199981689453
2022-08-10,213.72000122070312
2022-08-11,215.0800018310547
2022-08-12,218.16000366210938
2022-08-15,218.3800048828125
2022-08-16,219.24000549316406
2022-08-17,220.22000122070312
2022-08-18,216.52000427246094
2022-08-19,214.97999572753906
2022-08-22,210.3300018310547
2022-08-23,206.6699981689453
2022-08-24,209.97000122070312
2022-08-25,213.38999938964844
2022-08-26,209.32000732421875
2022-08-29,205.67999267578125
2022-08-30,203.11000061035156
2022-08-31,200.91000366210938
2022-09-01,203.9600067138672
2022-09-02,202.50999450683594
2022-09-06,207.1300048828125
2022-09-07,210.4499969482422
2022-09-08,211.8300018310547
2022-09-09,214.4600067138672
2022-09-12,214.22000122070312
2022-09-13,207.85000610351562
2022-09-14,205.0800018310547
2022-09-15,201.32000732421875
2022-09-16,201.97999572753906
2022-09-19,199.6300048828125
2022-09-20,192.8800048828125
2022-09-21,188.97000122070312
2022-09-22,188.47999572753906
2022-09-23,188.82000732421875
2022-09-26,184.19000244140625
2022-09-27,181.8000030517578
2022-09-28,186.41000366210938
2022-09-29,181.5
2022-09-30,184.19000244140625
2022-10-03,186.6199951171875
2022-10-04,188.16000366210938
2022-10-05,182.50999450683594
2022-10-06,177.6300048828125
2022-10-07,172.27999877929688
2022-10-10,170.86000061035156
2022-10-11,174.7100067138672
2022-10-12,171.6699981689453
2022-10-13,175.8699951171875
2022-10-14,169.5800018310547
2022-10-17,175.3800048828125
2022-10-18,177.75999450683594
2022-10-19,173.35000610351562
2022-10-20,172.02999877929688
2022-10-21,174.88999938964844
2022-10-24,173.1999969482422
2022-10-25,178.8000030517578
2022-10-26,174.55999755859375
2022-10-27,172.33999633789062
2022-10-28,175.60000610351562
2022-10-31,175.1199951171875
2022-11-01,175.2899932861328
2022-11-02,171.17999267578125
2022-11-03,170.10000610351562
2022-11-04,167.2899932861328
2022-11-07,162.02000427246094
2022-11-08,161.0500030517578
2022-11-09,158.97999572753906
2022-11-10,171.82000732421875
2022-11-11,167.11000061035156
2022-11-14,166.39999389648438
2022-11-15,168.97000122070312
2022-11-16,166.0800018310547
2022-11-17,165.1300048828125
2022-11-18,169.19000244140625
2022-11-21,168.69000244140625
2022-11-22,168.89999389648438
2022-11-23,168.52000427246094
