Date,MT
2022-02-28,30.940000534057617
2022-03-01,31.5
2022-03-02,32.88999938964844
2022-03-03,32.209999084472656
2022-03-04,29.34000015258789
2022-03-07,27.959999084472656
2022-03-08,28.65999984741211
2022-03-09,30.010000228881836
2022-03-10,30.020000457763672
2022-03-11,29.81999969482422
2022-03-14,30.010000228881836
2022-03-15,30.1299991607666
2022-03-16,32.040000915527344
2022-03-17,31.989999771118164
2022-03-18,31.850000381469727
2022-03-21,33.45000076293945
2022-03-22,33.650001525878906
2022-03-23,33.22999954223633
2022-03-24,34.04999923706055
2022-03-25,34.560001373291016
2022-03-28,33.650001525878906
2022-03-29,33.459999084472656
2022-03-30,32.86000061035156
2022-03-31,32.0099983215332
2022-04-01,32.84000015258789
2022-04-04,32.66999816894531
2022-04-05,30.530000686645508
2022-04-06,30.329999923706055
2022-04-07,30.809999465942383
2022-04-08,30.610000610351562
2022-04-11,31.139999389648438
2022-04-12,31.270000457763672
2022-04-13,32.720001220703125
2022-04-14,33.0099983215332
2022-04-18,33.2599983215332
2022-04-19,33.029998779296875
2022-04-20,32.5099983215332
2022-04-21,32.470001220703125
2022-04-22,31.329999923706055
2022-04-25,29.549999237060547
2022-04-26,28.079999923706055
2022-04-27,29.489999771118164
2022-04-28,29.6200008392334
2022-04-29,29.239999771118164
2022-05-02,28.850000381469727
2022-05-03,29.790000915527344
2022-05-04,29.68000030517578
2022-05-05,27.530000686645508
2022-05-06,27.8700008392334
2022-05-09,27.56999969482422
2022-05-10,27.760000228881836
2022-05-11,27.420000076293945
2022-05-12,26.90999984741211
2022-05-13,27.31999969482422
2022-05-16,28.3799991607666
2022-05-17,29.15999984741211
2022-05-18,28.450000762939453
2022-05-19,28.639999389648438
2022-05-20,29.170000076293945
2022-05-23,30.389999389648438
2022-05-24,30.56999969482422
2022-05-25,30.770000457763672
2022-05-26,31.84000015258789
2022-05-27,33.150001525878906
2022-05-31,32.349998474121094
2022-06-01,31.899999618530273
2022-06-02,32.869998931884766
2022-06-03,32.720001220703125
2022-06-06,32.880001068115234
2022-06-07,33.38999938964844
2022-06-08,31.649999618530273
2022-06-09,29.809999465942383
2022-06-10,28.6200008392334
2022-06-13,27.049999237060547
2022-06-14,27.0
2022-06-15,27.670000076293945
2022-06-16,26.15999984741211
2022-06-17,25.979999542236328
2022-06-21,25.90999984741211
2022-06-22,23.709999084472656
2022-06-23,23.309999465942383
2022-06-24,23.920000076293945
2022-06-27,24.299999237060547
2022-06-28,24.040000915527344
2022-06-29,23.510000228881836
