Date,PWR
2022-02-28,108.94000244140625
2022-03-01,108.37000274658203
2022-03-02,110.23999786376953
2022-03-03,112.37000274658203
2022-03-04,109.16999816894531
2022-03-07,108.01000213623047
2022-03-08,116.83000183105469
2022-03-09,118.72000122070312
2022-03-10,121.05000305175781
2022-03-11,123.31999969482422
2022-03-14,122.5999984741211
2022-03-15,121.66999816894531
2022-03-16,122.83999633789062
2022-03-17,125.66000366210938
2022-03-18,126.55999755859375
2022-03-21,128.22000122070312
2022-03-22,129.74000549316406
2022-03-23,129.2100067138672
2022-03-24,132.57000732421875
2022-03-25,134.3000030517578
2022-03-28,135.5399932861328
2022-03-29,134.4600067138672
2022-03-30,132.16000366210938
2022-03-31,131.61000061035156
2022-04-01,131.6199951171875
2022-04-04,131.44000244140625
2022-04-05,130.10000610351562
2022-04-06,129.41000366210938
2022-04-07,132.36000061035156
2022-04-08,133.99000549316406
2022-04-11,133.02999877929688
2022-04-12,133.9199981689453
2022-04-13,134.74000549316406
2022-04-14,135.13999938964844
2022-04-18,136.3699951171875
2022-04-19,138.91000366210938
2022-04-20,137.83999633789062
2022-04-21,125.2699966430664
2022-04-22,120.54000091552734
2022-04-25,120.66999816894531
2022-04-26,117.06999969482422
2022-04-27,117.80000305175781
2022-04-28,118.83999633789062
2022-04-29,115.9800033569336
2022-05-02,116.2300033569336
2022-05-03,119.01000213623047
2022-05-04,121.27999877929688
2022-05-05,120.98999786376953
2022-05-06,117.58999633789062
2022-05-09,109.83000183105469
2022-05-10,111.81999969482422
2022-05-11,108.76000213623047
2022-05-12,108.93000030517578
2022-05-13,112.56999969482422
2022-05-16,112.19000244140625
2022-05-17,113.66000366210938
2022-05-18,110.62000274658203
2022-05-19,113.52999877929688
2022-05-20,113.0
2022-05-23,116.43000030517578
2022-05-24,115.91000366210938
2022-05-25,118.36000061035156
2022-05-26,120.62999725341797
2022-05-27,123.51000213623047
2022-05-31,119.0
2022-06-01,119.77999877929688
2022-06-02,124.56999969482422
2022-06-03,129.1199951171875
2022-06-06,131.39999389648438
2022-06-07,133.74000549316406
2022-06-08,130.44000244140625
2022-06-09,130.75999450683594
2022-06-10,126.5999984741211
2022-06-13,125.80999755859375
2022-06-14,123.55000305175781
2022-06-15,124.12000274658203
2022-06-16,114.7300033569336
2022-06-17,113.8499984741211
2022-06-21,119.2300033569336
2022-06-22,118.86000061035156
2022-06-23,120.76000213623047
2022-06-24,125.9800033569336
2022-06-27,127.91000366210938
2022-06-28,124.0999984741211
2022-06-29,119.75
2022-06-30,125.33999633789062
2022-07-01,126.13999938964844
2022-07-05,127.25
2022-07-06,126.29000091552734
2022-07-07,132.25
2022-07-08,131.9499969482422
2022-07-11,131.14999389648438
2022-07-12,127.72000122070312
2022-07-13,127.9000015258789
2022-07-14,128.0399932861328
2022-07-15,128.00999450683594
2022-07-18,126.95999908447266
2022-07-19,131.11000061035156
2022-07-20,132.3000030517578
2022-07-21,133.13999938964844
2022-07-22,133.05999755859375
2022-07-25,133.67999267578125
2022-07-26,133.27999877929688
2022-07-27,133.97000122070312
2022-07-28,145.2899932861328
