Date,LII
2022-02-28,266.92999267578125
2022-03-01,267.5199890136719
2022-03-02,274.6499938964844
2022-03-03,273.6700134277344
2022-03-04,269.6400146484375
2022-03-07,259.1099853515625
2022-03-08,252.6300048828125
2022-03-09,261.29998779296875
2022-03-10,255.99000549316406
2022-03-11,256.2799987792969
2022-03-14,263.19000244140625
2022-03-15,268.489990234375
2022-03-16,269.4700012207031
2022-03-17,271.42999267578125
2022-03-18,276.6600036621094
2022-03-21,274.5899963378906
2022-03-22,275.4200134277344
2022-03-23,262.8500061035156
2022-03-24,261.3900146484375
2022-03-25,260.2300109863281
2022-03-28,262.5
2022-03-29,268.2799987792969
2022-03-30,266.9599914550781
2022-03-31,257.8599853515625
2022-04-01,262.2300109863281
2022-04-04,261.67999267578125
2022-04-05,262.1600036621094
2022-04-06,259.2799987792969
2022-04-07,257.7900085449219
2022-04-08,254.89999389648438
2022-04-11,247.22999572753906
2022-04-12,242.6199951171875
2022-04-13,247.07000732421875
2022-04-14,239.9600067138672
2022-04-18,237.82000732421875
2022-04-19,246.47000122070312
2022-04-20,250.77000427246094
2022-04-21,252.27999877929688
2022-04-22,246.83999633789062
2022-04-25,238.94000244140625
2022-04-26,224.07000732421875
2022-04-27,223.6999969482422
2022-04-28,222.99000549316406
2022-04-29,213.19000244140625
2022-05-02,216.58999633789062
2022-05-03,215.74000549316406
2022-05-04,221.85000610351562
2022-05-05,213.52000427246094
2022-05-06,212.74000549316406
2022-05-09,215.8300018310547
2022-05-10,216.25
2022-05-11,209.50999450683594
2022-05-12,217.82000732421875
2022-05-13,221.6300048828125
2022-05-16,215.22000122070312
2022-05-17,215.5800018310547
2022-05-18,202.55999755859375
2022-05-19,206.55999755859375
2022-05-20,207.75
2022-05-23,204.97000122070312
2022-05-24,201.72000122070312
2022-05-25,205.3000030517578
2022-05-26,208.47999572753906
2022-05-27,211.50999450683594
2022-05-31,208.89999389648438
2022-06-01,206.7899932861328
2022-06-02,213.85000610351562
2022-06-03,210.75
2022-06-06,211.60000610351562
2022-06-07,213.7100067138672
2022-06-08,209.9600067138672
2022-06-09,206.25999450683594
2022-06-10,201.39999389648438
2022-06-13,197.4600067138672
2022-06-14,195.49000549316406
2022-06-15,197.3699951171875
2022-06-16,186.27000427246094
2022-06-17,186.4499969482422
2022-06-21,186.88999938964844
2022-06-22,188.2899932861328
2022-06-23,198.16000366210938
2022-06-24,203.63999938964844
2022-06-27,203.32000732421875
2022-06-28,202.4600067138672
2022-06-29,202.58999633789062
2022-06-30,206.58999633789062
2022-07-01,211.97000122070312
2022-07-05,216.86000061035156
2022-07-06,216.88999938964844
2022-07-07,218.14999389648438
2022-07-08,214.49000549316406
2022-07-11,215.97999572753906
2022-07-12,216.22999572753906
2022-07-13,215.85000610351562
2022-07-14,213.22999572753906
2022-07-15,216.22000122070312
2022-07-18,212.22999572753906
2022-07-19,219.8300018310547
2022-07-20,220.9600067138672
2022-07-21,225.38999938964844
2022-07-22,227.66000366210938
2022-07-25,224.35000610351562
2022-07-26,224.42999267578125
2022-07-27,227.05999755859375
2022-07-28,234.57000732421875
2022-07-29,239.52999877929688
2022-08-01,244.3699951171875
2022-08-02,239.30999755859375
2022-08-03,244.05999755859375
2022-08-04,244.5
2022-08-05,244.07000732421875
2022-08-08,246.5800018310547
2022-08-09,243.1199951171875
2022-08-10,249.50999450683594
2022-08-11,251.3300018310547
2022-08-12,261.80999755859375
2022-08-15,267.32000732421875
2022-08-16,266.9599914550781
2022-08-17,267.489990234375
2022-08-18,267.1000061035156
2022-08-19,258.67999267578125
2022-08-22,250.2899932861328
2022-08-23,246.22000122070312
2022-08-24,250.0399932861328
2022-08-25,252.47000122070312
2022-08-26,242.64999389648438
2022-08-29,243.32000732421875
2022-08-30,241.27999877929688
2022-08-31,240.1199951171875
2022-09-01,248.85000610351562
2022-09-02,245.89999389648438
2022-09-06,249.97999572753906
2022-09-07,257.8999938964844
2022-09-08,257.8900146484375
2022-09-09,258.2099914550781
2022-09-12,262.80999755859375
2022-09-13,254.0399932861328
2022-09-14,250.3000030517578
2022-09-15,250.0399932861328
2022-09-16,244.42999267578125
2022-09-19,245.58999633789062
2022-09-20,235.30999755859375
2022-09-21,232.4600067138672
2022-09-22,223.75999450683594
2022-09-23,224.22000122070312
2022-09-26,220.30999755859375
2022-09-27,221.27999877929688
2022-09-28,231.3800048828125
2022-09-29,222.50999450683594
2022-09-30,222.6699981689453
2022-10-03,228.75999450683594
2022-10-04,237.27999877929688
2022-10-05,236.02999877929688
2022-10-06,230.97000122070312
