Date,LUV
2022-02-28,43.79999923706055
2022-03-01,41.95000076293945
2022-03-02,42.31999969482422
2022-03-03,41.66999816894531
2022-03-04,40.68000030517578
2022-03-07,37.189998626708984
2022-03-08,39.15999984741211
2022-03-09,40.65999984741211
2022-03-10,41.029998779296875
2022-03-11,40.2400016784668
2022-03-14,40.099998474121094
2022-03-15,42.060001373291016
2022-03-16,43.119998931884766
2022-03-17,42.779998779296875
2022-03-18,43.2400016784668
2022-03-21,42.779998779296875
2022-03-22,43.060001373291016
2022-03-23,42.869998931884766
2022-03-24,43.91999816894531
2022-03-25,44.380001068115234
2022-03-28,44.41999816894531
2022-03-29,45.33000183105469
2022-03-30,45.56999969482422
2022-03-31,45.79999923706055
2022-04-01,45.90999984741211
2022-04-04,45.93000030517578
2022-04-05,45.209999084472656
2022-04-06,43.72999954223633
2022-04-07,42.38999938964844
2022-04-08,41.2400016784668
2022-04-11,42.619998931884766
2022-04-12,42.81999969482422
2022-04-13,46.04999923706055
2022-04-14,46.7599983215332
2022-04-18,46.2599983215332
2022-04-19,47.349998474121094
2022-04-20,47.33000183105469
2022-04-21,48.380001068115234
2022-04-22,46.849998474121094
2022-04-25,46.43000030517578
2022-04-26,45.02000045776367
2022-04-27,45.939998626708984
2022-04-28,46.900001525878906
2022-04-29,46.720001220703125
2022-05-02,46.529998779296875
2022-05-03,47.25
2022-05-04,48.06999969482422
2022-05-05,47.0
2022-05-06,46.119998931884766
2022-05-09,43.83000183105469
2022-05-10,44.59000015258789
2022-05-11,43.0099983215332
2022-05-12,42.33000183105469
2022-05-13,42.9900016784668
2022-05-16,43.18000030517578
2022-05-17,45.11000061035156
2022-05-18,44.22999954223633
2022-05-19,43.56999969482422
2022-05-20,42.650001525878906
2022-05-23,43.380001068115234
2022-05-24,41.72999954223633
2022-05-25,42.45000076293945
2022-05-26,45.0
2022-05-27,45.79999923706055
2022-05-31,45.86000061035156
2022-06-01,44.150001525878906
2022-06-02,44.56999969482422
2022-06-03,43.84000015258789
2022-06-06,44.41999816894531
2022-06-07,44.880001068115234
2022-06-08,43.369998931884766
2022-06-09,42.040000915527344
2022-06-10,40.13999938964844
2022-06-13,37.619998931884766
2022-06-14,37.220001220703125
2022-06-15,37.22999954223633
2022-06-16,34.97999954223633
