Date,USFD
2022-02-28,39.09000015258789
2022-03-01,38.34000015258789
2022-03-02,39.13999938964844
2022-03-03,37.7400016784668
2022-03-04,36.43000030517578
2022-03-07,32.29999923706055
2022-03-08,30.84000015258789
2022-03-09,34.15999984741211
2022-03-10,34.38999938964844
2022-03-11,34.43000030517578
2022-03-14,34.41999816894531
2022-03-15,35.27000045776367
2022-03-16,36.939998626708984
2022-03-17,36.720001220703125
2022-03-18,37.220001220703125
2022-03-21,36.849998474121094
2022-03-22,36.970001220703125
2022-03-23,36.29999923706055
2022-03-24,36.95000076293945
2022-03-25,37.099998474121094
2022-03-28,37.02000045776367
2022-03-29,38.33000183105469
2022-03-30,38.06999969482422
2022-03-31,37.630001068115234
2022-04-01,37.54999923706055
2022-04-04,37.41999816894531
2022-04-05,36.43000030517578
2022-04-06,35.5
2022-04-07,35.34000015258789
2022-04-08,35.2400016784668
2022-04-11,36.04999923706055
2022-04-12,36.279998779296875
2022-04-13,37.189998626708984
2022-04-14,36.529998779296875
2022-04-18,36.18000030517578
2022-04-19,37.279998779296875
2022-04-20,37.65999984741211
2022-04-21,38.349998474121094
2022-04-22,38.20000076293945
2022-04-25,38.86000061035156
2022-04-26,38.08000183105469
2022-04-27,38.279998779296875
2022-04-28,39.0
2022-04-29,37.619998931884766
2022-05-02,38.029998779296875
2022-05-03,38.5099983215332
2022-05-04,38.869998931884766
2022-05-05,37.189998626708984
2022-05-06,36.560001373291016
2022-05-09,34.619998931884766
2022-05-10,35.86000061035156
2022-05-11,33.959999084472656
2022-05-12,32.72999954223633
2022-05-13,34.4900016784668
2022-05-16,33.7599983215332
2022-05-17,34.779998779296875
2022-05-18,32.599998474121094
2022-05-19,31.920000076293945
2022-05-20,30.6299991607666
2022-05-23,30.760000228881836
2022-05-24,29.690000534057617
2022-05-25,30.920000076293945
2022-05-26,32.959999084472656
2022-05-27,33.209999084472656
2022-05-31,33.119998931884766
2022-06-01,32.5099983215332
2022-06-02,33.0099983215332
