Date,AXP
2022-02-28,194.5399932861328
2022-03-01,178.05999755859375
2022-03-02,180.30999755859375
2022-03-03,179.88999938964844
2022-03-04,172.9499969482422
2022-03-07,159.1300048828125
2022-03-08,160.0500030517578
2022-03-09,168.64999389648438
2022-03-10,169.60000610351562
2022-03-11,167.89999389648438
2022-03-14,172.7899932861328
2022-03-15,176.0399932861328
2022-03-16,180.61000061035156
2022-03-17,186.97000122070312
2022-03-18,190.72000122070312
2022-03-21,189.08999633789062
2022-03-22,191.3300018310547
2022-03-23,186.02000427246094
2022-03-24,188.88999938964844
2022-03-25,190.27999877929688
2022-03-28,189.6999969482422
2022-03-29,190.94000244140625
2022-03-30,189.75999450683594
2022-03-31,187.0
2022-04-01,187.1699981689453
2022-04-04,187.66000366210938
2022-04-05,185.39999389648438
2022-04-06,183.7100067138672
2022-04-07,182.38999938964844
2022-04-08,183.6999969482422
2022-04-11,177.57000732421875
2022-04-12,175.5399932861328
2022-04-13,179.58999633789062
2022-04-14,181.16000366210938
2022-04-18,184.47999572753906
2022-04-19,187.1699981689453
2022-04-20,188.4600067138672
2022-04-21,185.74000549316406
2022-04-22,180.5399932861328
2022-04-25,184.10000610351562
2022-04-26,178.64999389648438
2022-04-27,177.6300048828125
2022-04-28,181.97999572753906
2022-04-29,174.7100067138672
2022-05-02,171.6199951171875
2022-05-03,172.11000061035156
2022-05-04,177.82000732421875
2022-05-05,171.00999450683594
2022-05-06,167.14999389648438
2022-05-09,161.02000427246094
2022-05-10,161.8300018310547
2022-05-11,159.38999938964844
2022-05-12,153.27000427246094
2022-05-13,158.75
2022-05-16,156.42999267578125
2022-05-17,161.85000610351562
2022-05-18,156.10000610351562
2022-05-19,154.0
2022-05-20,153.24000549316406
2022-05-23,159.0399932861328
2022-05-24,155.6300048828125
2022-05-25,160.50999450683594
2022-05-26,165.3699951171875
2022-05-27,169.60000610351562
2022-05-31,168.82000732421875
2022-06-01,165.75999450683594
2022-06-02,169.13999938964844
2022-06-03,166.8300018310547
2022-06-06,167.02000427246094
2022-06-07,168.69000244140625
2022-06-08,165.9600067138672
2022-06-09,160.97999572753906
2022-06-10,154.4199981689453
2022-06-13,146.2899932861328
2022-06-14,144.60000610351562
2022-06-15,146.22000122070312
2022-06-16,137.5
2022-06-17,144.17999267578125
2022-06-21,144.75999450683594
2022-06-22,144.38999938964844
2022-06-23,141.64999389648438
2022-06-24,146.14999389648438
2022-06-27,144.2899932861328
2022-06-28,142.19000244140625
2022-06-29,139.47000122070312
2022-06-30,138.6199951171875
2022-07-01,140.39999389648438
2022-07-05,139.64999389648438
2022-07-06,138.14999389648438
2022-07-07,141.02999877929688
2022-07-08,141.75999450683594
2022-07-11,140.5800018310547
2022-07-12,139.17999267578125
2022-07-13,139.39999389648438
2022-07-14,136.47999572753906
2022-07-15,142.47999572753906
2022-07-18,142.3300018310547
2022-07-19,147.77999877929688
2022-07-20,148.92999267578125
2022-07-21,150.17999267578125
2022-07-22,153.00999450683594
2022-07-25,153.7899932861328
2022-07-26,149.8300018310547
2022-07-27,151.6300048828125
2022-07-28,152.13999938964844
2022-07-29,154.02000427246094
2022-08-01,153.3300018310547
2022-08-02,151.60000610351562
2022-08-03,155.42999267578125
2022-08-04,156.8699951171875
2022-08-05,157.50999450683594
2022-08-08,157.27999877929688
2022-08-09,158.8000030517578
2022-08-10,162.44000244140625
2022-08-11,162.99000549316406
2022-08-12,165.83999633789062
2022-08-15,165.39999389648438
2022-08-16,165.35000610351562
2022-08-17,163.89999389648438
2022-08-18,164.64999389648438
2022-08-19,162.24000549316406
2022-08-22,157.6999969482422
2022-08-23,157.3300018310547
2022-08-24,159.1300048828125
2022-08-25,162.22999572753906
2022-08-26,157.30999755859375
2022-08-29,154.5399932861328
2022-08-30,154.66000366210938
2022-08-31,152.0
2022-09-01,151.11000061035156
2022-09-02,149.7899932861328
2022-09-06,148.60000610351562
2022-09-07,152.25
2022-09-08,153.52000427246094
2022-09-09,158.44000244140625
2022-09-12,162.4499969482422
2022-09-13,155.35000610351562
2022-09-14,156.3000030517578
2022-09-15,156.1300048828125
2022-09-16,153.0800018310547
2022-09-19,155.36000061035156
2022-09-20,153.47999572753906
2022-09-21,148.7100067138672
2022-09-22,143.02999877929688
2022-09-23,140.25999450683594
2022-09-26,137.4499969482422
2022-09-27,137.49000549316406
2022-09-28,140.55999755859375
2022-09-29,137.7899932861328
2022-09-30,134.91000366210938
2022-10-03,140.02000427246094
2022-10-04,145.4600067138672
2022-10-05,144.3699951171875
2022-10-06,142.3800048828125
2022-10-07,139.0
2022-10-10,137.50999450683594
2022-10-11,137.35000610351562
2022-10-12,136.74000549316406
2022-10-13,141.5500030517578
2022-10-14,136.80999755859375
2022-10-17,141.5399932861328
2022-10-18,145.99000549316406
2022-10-19,143.97000122070312
2022-10-20,142.4199981689453
2022-10-21,140.0399932861328
2022-10-24,141.6300048828125
2022-10-25,147.02000427246094
2022-10-26,146.8800048828125
2022-10-27,146.97000122070312
2022-10-28,150.44000244140625
2022-10-31,148.4499969482422
2022-11-01,147.0800018310547
2022-11-02,143.5
2022-11-03,139.30999755859375
2022-11-04,144.72000122070312
2022-11-07,146.97999572753906
2022-11-08,150.1999969482422
2022-11-09,145.86000061035156
2022-11-10,154.75
2022-11-11,154.88999938964844
2022-11-14,154.1300048828125
2022-11-15,153.88999938964844
2022-11-16,152.57000732421875
2022-11-17,150.63999938964844
2022-11-18,152.5
2022-11-21,152.80999755859375
2022-11-22,154.5800018310547
2022-11-23,153.92999267578125
