Date,ED
2022-02-28,85.7699966430664
2022-03-01,85.37999725341797
2022-03-02,86.91000366210938
2022-03-03,88.29000091552734
2022-03-04,89.87999725341797
2022-03-07,90.13999938964844
2022-03-08,88.75
2022-03-09,88.37999725341797
2022-03-10,89.47000122070312
2022-03-11,89.33999633789062
2022-03-14,89.5199966430664
2022-03-15,90.4000015258789
2022-03-16,89.63999938964844
2022-03-17,90.01000213623047
2022-03-18,88.69999694824219
2022-03-21,89.56999969482422
2022-03-22,89.29000091552734
2022-03-23,89.94000244140625
2022-03-24,91.41000366210938
2022-03-25,92.68000030517578
2022-03-28,93.05000305175781
2022-03-29,93.5199966430664
2022-03-30,94.7300033569336
2022-03-31,94.68000030517578
2022-04-01,96.11000061035156
2022-04-04,95.44999694824219
2022-04-05,96.1500015258789
2022-04-06,98.4000015258789
2022-04-07,97.55999755859375
2022-04-08,97.91000366210938
2022-04-11,96.5999984741211
2022-04-12,97.80000305175781
2022-04-13,97.9000015258789
2022-04-14,98.02999877929688
2022-04-18,96.94000244140625
2022-04-19,98.01000213623047
2022-04-20,98.41000366210938
2022-04-21,98.19000244140625
2022-04-22,96.48999786376953
2022-04-25,96.05000305175781
2022-04-26,95.16000366210938
2022-04-27,94.7300033569336
2022-04-28,95.44000244140625
2022-04-29,92.73999786376953
2022-05-02,92.01000213623047
2022-05-03,92.27999877929688
2022-05-04,93.5
2022-05-05,92.66000366210938
2022-05-06,93.9800033569336
2022-05-09,94.37999725341797
2022-05-10,92.6500015258789
2022-05-11,94.27999877929688
2022-05-12,94.3499984741211
2022-05-13,95.4000015258789
2022-05-16,95.04000091552734
2022-05-17,95.5
2022-05-18,95.22000122070312
2022-05-19,94.81999969482422
2022-05-20,95.80999755859375
2022-05-23,97.68000030517578
2022-05-24,100.38999938964844
2022-05-25,100.31999969482422
2022-05-26,99.87000274658203
2022-05-27,100.58000183105469
2022-05-31,99.26000213623047
2022-06-01,98.62999725341797
2022-06-02,98.58000183105469
2022-06-03,97.91000366210938
2022-06-06,98.0999984741211
2022-06-07,98.4800033569336
2022-06-08,97.04000091552734
2022-06-09,94.51000213623047
2022-06-10,95.1500015258789
2022-06-13,91.1500015258789
2022-06-14,88.77999877929688
2022-06-15,88.25
2022-06-16,87.66999816894531
2022-06-17,86.87999725341797
2022-06-21,88.20999908447266
2022-06-22,88.9000015258789
2022-06-23,91.30999755859375
2022-06-24,92.93000030517578
2022-06-27,93.55999755859375
2022-06-28,94.12000274658203
2022-06-29,94.72000122070312
2022-06-30,95.0999984741211
2022-07-01,97.23999786376953
2022-07-05,92.69000244140625
2022-07-06,93.0999984741211
2022-07-07,92.30000305175781
2022-07-08,91.97000122070312
2022-07-11,92.93000030517578
2022-07-12,92.81999969482422
2022-07-13,92.52999877929688
2022-07-14,92.83999633789062
2022-07-15,93.4000015258789
2022-07-18,91.62999725341797
2022-07-19,92.22000122070312
2022-07-20,90.63999938964844
2022-07-21,90.81999969482422
2022-07-22,92.44000244140625
2022-07-25,94.08999633789062
2022-07-26,95.36000061035156
2022-07-27,95.69000244140625
2022-07-28,98.4800033569336
2022-07-29,99.2699966430664
