Date,FI
2022-02-28,97.66999816894531
2022-03-01,97.05999755859375
2022-03-02,98.73999786376953
2022-03-03,98.62999725341797
2022-03-04,97.31999969482422
2022-03-07,94.91999816894531
2022-03-08,94.19999694824219
2022-03-09,96.2699966430664
2022-03-10,95.05000305175781
2022-03-11,94.1500015258789
2022-03-14,93.98999786376953
2022-03-15,95.44999694824219
2022-03-16,98.30000305175781
2022-03-17,100.04000091552734
2022-03-18,100.61000061035156
2022-03-21,99.55999755859375
2022-03-22,100.5
2022-03-23,98.77999877929688
2022-03-24,98.69999694824219
2022-03-25,100.51000213623047
2022-03-28,100.73999786376953
2022-03-29,103.0
2022-03-30,102.13999938964844
2022-03-31,101.4000015258789
2022-04-01,102.98999786376953
2022-04-04,103.18000030517578
2022-04-05,103.33999633789062
2022-04-06,102.66999816894531
2022-04-07,100.79000091552734
2022-04-08,100.55000305175781
2022-04-11,100.5999984741211
2022-04-12,98.97000122070312
2022-04-13,99.08000183105469
2022-04-14,99.66999816894531
2022-04-18,99.88999938964844
2022-04-19,102.44999694824219
2022-04-20,101.48999786376953
2022-04-21,101.44000244140625
2022-04-22,97.36000061035156
2022-04-25,97.94999694824219
2022-04-26,96.0999984741211
2022-04-27,100.93000030517578
2022-04-28,104.73999786376953
2022-04-29,97.91999816894531
2022-05-02,97.12999725341797
2022-05-03,99.44000244140625
2022-05-04,102.54000091552734
2022-05-05,99.55000305175781
2022-05-06,95.70999908447266
2022-05-09,93.62999725341797
2022-05-10,92.77999877929688
2022-05-11,92.58000183105469
2022-05-12,93.55000305175781
2022-05-13,96.16999816894531
2022-05-16,96.25
2022-05-17,97.70999908447266
2022-05-18,94.16999816894531
2022-05-19,94.38999938964844
2022-05-20,95.58999633789062
2022-05-23,98.83000183105469
2022-05-24,96.9000015258789
2022-05-25,97.47000122070312
2022-05-26,99.29000091552734
2022-05-27,101.37000274658203
2022-05-31,100.18000030517578
2022-06-01,99.16000366210938
2022-06-02,100.8499984741211
2022-06-03,99.66999816894531
2022-06-06,100.29000091552734
2022-06-07,101.23999786376953
2022-06-08,100.12999725341797
2022-06-09,95.81999969482422
2022-06-10,94.33999633789062
2022-06-13,89.62000274658203
2022-06-14,89.88999938964844
2022-06-15,91.47000122070312
2022-06-16,88.37999725341797
2022-06-17,89.1500015258789
2022-06-21,89.26000213623047
2022-06-22,89.36000061035156
2022-06-23,89.7300033569336
2022-06-24,94.19000244140625
2022-06-27,93.08999633789062
2022-06-28,90.62000274658203
2022-06-29,90.9000015258789
2022-06-30,88.97000122070312
2022-07-01,92.58000183105469
2022-07-05,94.11000061035156
2022-07-06,93.86000061035156
2022-07-07,93.3499984741211
2022-07-08,93.05999755859375
2022-07-11,92.58999633789062
2022-07-12,92.58999633789062
2022-07-13,91.87000274658203
2022-07-14,91.66000366210938
2022-07-15,94.16000366210938
2022-07-18,93.97000122070312
2022-07-19,97.55999755859375
2022-07-20,97.8499984741211
2022-07-21,99.18000030517578
2022-07-22,99.87000274658203
2022-07-25,98.05000305175781
2022-07-26,102.22000122070312
2022-07-27,104.45999908447266
2022-07-28,105.68000030517578
2022-07-29,105.68000030517578
2022-08-01,106.12999725341797
2022-08-02,106.2300033569336
2022-08-03,108.16999816894531
2022-08-04,106.66000366210938
2022-08-05,106.08000183105469
2022-08-08,104.98999786376953
2022-08-09,105.9000015258789
2022-08-10,106.54000091552734
2022-08-11,107.95999908447266
2022-08-12,109.37000274658203
2022-08-15,110.16000366210938
2022-08-16,110.72000122070312
2022-08-17,108.72000122070312
2022-08-18,110.55000305175781
2022-08-19,109.4800033569336
2022-08-22,106.7699966430664
2022-08-23,106.01000213623047
2022-08-24,106.18000030517578
2022-08-25,107.2699966430664
2022-08-26,103.83000183105469
2022-08-29,103.16999816894531
2022-08-30,101.86000061035156
2022-08-31,101.19000244140625
2022-09-01,103.5
2022-09-02,101.44000244140625
2022-09-06,104.16000366210938
2022-09-07,105.75
2022-09-08,105.77999877929688
2022-09-09,106.45999908447266
2022-09-12,109.05000305175781
2022-09-13,105.91999816894531
2022-09-14,105.9000015258789
2022-09-15,104.58000183105469
2022-09-16,103.61000061035156
2022-09-19,103.6500015258789
2022-09-20,102.16999816894531
2022-09-21,99.58999633789062
2022-09-22,98.55999755859375
2022-09-23,97.94999694824219
2022-09-26,95.9000015258789
2022-09-27,95.13999938964844
2022-09-28,96.16999816894531
2022-09-29,94.8499984741211
2022-09-30,93.56999969482422
2022-10-03,95.41999816894531
2022-10-04,98.7300033569336
2022-10-05,100.55000305175781
2022-10-06,99.08000183105469
2022-10-07,98.69999694824219
2022-10-10,98.48999786376953
2022-10-11,95.44999694824219
2022-10-12,93.69999694824219
2022-10-13,95.6500015258789
2022-10-14,94.13999938964844
2022-10-17,97.37000274658203
2022-10-18,97.16999816894531
2022-10-19,96.2300033569336
2022-10-20,95.01000213623047
2022-10-21,96.73999786376953
2022-10-24,97.3499984741211
2022-10-25,100.08000183105469
2022-10-26,101.76000213623047
2022-10-27,98.80999755859375
2022-10-28,102.5999984741211
2022-10-31,102.73999786376953
2022-11-01,104.0199966430664
2022-11-02,100.55999755859375
2022-11-03,94.56999969482422
2022-11-04,94.31999969482422
2022-11-07,96.38999938964844
2022-11-08,98.4800033569336
2022-11-09,96.18000030517578
2022-11-10,101.0
2022-11-11,100.47000122070312
2022-11-14,100.01000213623047
2022-11-15,100.3499984741211
2022-11-16,99.9800033569336
2022-11-17,98.58999633789062
2022-11-18,99.86000061035156
2022-11-21,99.37999725341797
2022-11-22,100.98999786376953
