Date,BDX
2022-02-28,264.6634216308594
2022-03-01,264.7707214355469
2022-03-02,265.8731689453125
2022-03-03,266.18536376953125
2022-03-04,268.70245361328125
2022-03-07,269.31707763671875
2022-03-08,258.6634216308594
2022-03-09,258.3804931640625
2022-03-10,251.43414306640625
2022-03-11,248.3024444580078
2022-03-14,250.53659057617188
2022-03-15,252.3804931640625
2022-03-16,254.4292755126953
2022-03-17,255.89268493652344
2022-03-18,255.64877319335938
2022-03-21,261.07318115234375
2022-03-22,258.4097595214844
2022-03-23,255.5804901123047
2022-03-24,256.67315673828125
2022-03-25,259.19024658203125
2022-03-28,261.6000061035156
2022-03-29,263.19024658203125
2022-03-30,263.0146484375
2022-03-31,259.51220703125
2022-04-01,262.5
2022-04-04,258.30999755859375
2022-04-05,262.94000244140625
2022-04-06,270.6499938964844
2022-04-07,273.5199890136719
2022-04-08,275.4200134277344
2022-04-11,270.010009765625
2022-04-12,269.17999267578125
2022-04-13,270.94000244140625
2022-04-14,271.67999267578125
2022-04-18,260.1000061035156
2022-04-19,263.489990234375
2022-04-20,267.6499938964844
2022-04-21,264.8900146484375
2022-04-22,255.0399932861328
2022-04-25,258.4599914550781
2022-04-26,254.97999572753906
2022-04-27,252.9499969482422
2022-04-28,253.16000366210938
2022-04-29,247.19000244140625
2022-05-02,245.5800018310547
2022-05-03,248.8300018310547
2022-05-04,253.5399932861328
2022-05-05,259.6400146484375
2022-05-06,257.9700012207031
2022-05-09,252.1999969482422
2022-05-10,250.10000610351562
2022-05-11,248.99000549316406
2022-05-12,249.72000122070312
2022-05-13,248.44000244140625
2022-05-16,252.88999938964844
2022-05-17,256.260009765625
2022-05-18,251.10000610351562
2022-05-19,251.13999938964844
2022-05-20,252.3000030517578
2022-05-23,257.0
2022-05-24,257.45001220703125
2022-05-25,252.16000366210938
2022-05-26,252.5
2022-05-27,256.4599914550781
2022-05-31,255.8000030517578
2022-06-01,251.39999389648438
2022-06-02,253.67999267578125
2022-06-03,252.33999633789062
2022-06-06,258.7200012207031
2022-06-07,257.9200134277344
2022-06-08,254.85000610351562
2022-06-09,248.3699951171875
2022-06-10,249.3300018310547
2022-06-13,241.85000610351562
2022-06-14,236.32000732421875
2022-06-15,236.7899932861328
