Date,BR
2022-02-28,146.2100067138672
2022-03-01,146.3000030517578
2022-03-02,148.17999267578125
2022-03-03,146.3000030517578
2022-03-04,147.44000244140625
2022-03-07,147.27999877929688
2022-03-08,145.0800018310547
2022-03-09,147.07000732421875
2022-03-10,145.66000366210938
2022-03-11,144.60000610351562
2022-03-14,143.30999755859375
2022-03-15,146.27999877929688
2022-03-16,150.8800048828125
2022-03-17,152.2899932861328
2022-03-18,153.58999633789062
2022-03-21,151.9600067138672
2022-03-22,152.72000122070312
2022-03-23,150.55999755859375
2022-03-24,151.9199981689453
2022-03-25,152.77000427246094
2022-03-28,154.4199981689453
2022-03-29,157.47999572753906
2022-03-30,155.83999633789062
2022-03-31,155.7100067138672
2022-04-01,156.30999755859375
2022-04-04,156.61000061035156
2022-04-05,159.50999450683594
2022-04-06,159.60000610351562
2022-04-07,158.86000061035156
2022-04-08,160.83999633789062
2022-04-11,154.8300018310547
2022-04-12,154.07000732421875
2022-04-13,155.47999572753906
2022-04-14,153.52000427246094
2022-04-18,151.6199951171875
2022-04-19,154.63999938964844
2022-04-20,155.4600067138672
2022-04-21,154.47000122070312
2022-04-22,148.3000030517578
2022-04-25,151.0399932861328
2022-04-26,146.44000244140625
2022-04-27,146.82000732421875
2022-04-28,150.22000122070312
2022-04-29,144.1300048828125
2022-05-02,143.25999450683594
2022-05-03,146.44000244140625
2022-05-04,149.35000610351562
2022-05-05,143.07000732421875
2022-05-06,141.83999633789062
2022-05-09,137.7100067138672
2022-05-10,136.77000427246094
2022-05-11,134.92999267578125
2022-05-12,136.41000366210938
2022-05-13,139.33999633789062
2022-05-16,138.9600067138672
2022-05-17,140.47999572753906
2022-05-18,136.60000610351562
2022-05-19,138.02000427246094
2022-05-20,138.97999572753906
2022-05-23,140.38999938964844
2022-05-24,139.69000244140625
2022-05-25,140.52000427246094
2022-05-26,144.44000244140625
2022-05-27,146.8000030517578
2022-05-31,146.22000122070312
2022-06-01,144.72999572753906
2022-06-02,147.6300048828125
2022-06-03,146.2899932861328
2022-06-06,145.36000061035156
