Date,ES
2022-02-28,81.80000305175781
2022-03-01,80.44000244140625
2022-03-02,80.75
2022-03-03,83.47000122070312
2022-03-04,85.94000244140625
2022-03-07,86.66000366210938
2022-03-08,85.08999633789062
2022-03-09,84.19000244140625
2022-03-10,84.36000061035156
2022-03-11,83.80999755859375
2022-03-14,83.22000122070312
2022-03-15,84.16999816894531
2022-03-16,84.02999877929688
2022-03-17,84.26000213623047
2022-03-18,83.43000030517578
2022-03-21,84.5199966430664
2022-03-22,84.19999694824219
2022-03-23,84.68000030517578
2022-03-24,85.41999816894531
2022-03-25,86.66000366210938
2022-03-28,87.02999877929688
2022-03-29,87.77999877929688
2022-03-30,88.63999938964844
2022-03-31,88.19000244140625
2022-04-01,89.83999633789062
2022-04-04,89.12000274658203
2022-04-05,90.08999633789062
2022-04-06,92.25
2022-04-07,92.13999938964844
2022-04-08,92.52999877929688
2022-04-11,91.77999877929688
2022-04-12,92.83999633789062
2022-04-13,92.51000213623047
2022-04-14,92.5999984741211
2022-04-18,91.66999816894531
2022-04-19,92.5
2022-04-20,93.26000213623047
2022-04-21,93.0999984741211
2022-04-22,92.0
2022-04-25,90.69000244140625
2022-04-26,89.72000122070312
2022-04-27,89.51000213623047
2022-04-28,90.19999694824219
2022-04-29,87.4000015258789
2022-05-02,86.18000030517578
2022-05-03,86.72000122070312
2022-05-04,88.56999969482422
2022-05-05,89.81999969482422
2022-05-06,90.4000015258789
2022-05-09,90.54000091552734
2022-05-10,89.12999725341797
2022-05-11,89.29000091552734
2022-05-12,88.91999816894531
2022-05-13,89.33999633789062
2022-05-16,89.2699966430664
2022-05-17,90.05999755859375
2022-05-18,89.18000030517578
2022-05-19,89.44000244140625
2022-05-20,90.37000274658203
2022-05-23,91.29000091552734
2022-05-24,92.63999938964844
2022-05-25,92.1500015258789
2022-05-26,92.19000244140625
2022-05-27,93.30000305175781
2022-05-31,92.31999969482422
2022-06-01,92.12000274658203
2022-06-02,92.41999816894531
2022-06-03,92.30000305175781
2022-06-06,92.27999877929688
2022-06-07,92.83999633789062
2022-06-08,90.62000274658203
2022-06-09,87.81999969482422
2022-06-10,88.02999877929688
2022-06-13,83.9000015258789
2022-06-14,80.73999786376953
2022-06-15,80.58000183105469
2022-06-16,78.80999755859375
2022-06-17,77.9800033569336
2022-06-21,79.55999755859375
2022-06-22,80.58000183105469
2022-06-23,82.0999984741211
2022-06-24,83.3499984741211
2022-06-27,84.08999633789062
2022-06-28,83.41999816894531
2022-06-29,83.4800033569336
2022-06-30,84.47000122070312
2022-07-01,87.1500015258789
2022-07-05,83.37000274658203
2022-07-06,84.1500015258789
2022-07-07,83.58999633789062
2022-07-08,83.31999969482422
2022-07-11,83.72000122070312
2022-07-12,83.37999725341797
2022-07-13,82.80000305175781
2022-07-14,83.4800033569336
2022-07-15,83.66000366210938
2022-07-18,82.44999694824219
2022-07-19,83.25
2022-07-20,82.4800033569336
2022-07-21,83.0199966430664
2022-07-22,84.05999755859375
2022-07-25,84.87999725341797
2022-07-26,85.4000015258789
2022-07-27,85.20999908447266
2022-07-28,88.26000213623047
2022-07-29,88.22000122070312
2022-08-01,89.20999908447266
2022-08-02,90.23999786376953
2022-08-03,90.83000183105469
2022-08-04,91.0
2022-08-05,90.37999725341797
2022-08-08,90.93000030517578
2022-08-09,91.62999725341797
2022-08-10,91.6500015258789
2022-08-11,91.61000061035156
2022-08-12,93.11000061035156
2022-08-15,93.30999755859375
2022-08-16,93.58000183105469
2022-08-17,93.80999755859375
2022-08-18,93.95999908447266
2022-08-19,93.62999725341797
2022-08-22,92.26000213623047
2022-08-23,91.76000213623047
2022-08-24,92.02999877929688
2022-08-25,92.83999633789062
2022-08-26,91.5999984741211
2022-08-29,91.88999938964844
2022-08-30,90.7699966430664
2022-08-31,89.69000244140625
2022-09-01,90.87000274658203
2022-09-02,89.55000305175781
2022-09-06,89.1500015258789
2022-09-07,91.81999969482422
2022-09-08,91.41999816894531
2022-09-09,91.62999725341797
2022-09-12,92.54000091552734
2022-09-13,89.63999938964844
2022-09-14,90.69000244140625
2022-09-15,88.19000244140625
2022-09-16,88.80000305175781
2022-09-19,89.52999877929688
2022-09-20,88.61000061035156
2022-09-21,87.83000183105469
2022-09-22,87.98999786376953
2022-09-23,86.8499984741211
2022-09-26,84.62999725341797
2022-09-27,82.48999786376953
2022-09-28,83.16000366210938
2022-09-29,79.58000183105469
2022-09-30,77.95999908447266
2022-10-03,80.30000305175781
2022-10-04,81.0199966430664
2022-10-05,78.9000015258789
2022-10-06,75.48999786376953
2022-10-07,74.25
2022-10-10,74.97000122070312
2022-10-11,74.43000030517578
2022-10-12,71.7699966430664
2022-10-13,73.76000213623047
2022-10-14,72.55999755859375
2022-10-17,73.87000274658203
2022-10-18,75.86000061035156
2022-10-19,74.5
2022-10-20,71.68000030517578
