Date,PPG
2022-02-28,133.4499969482422
2022-03-01,126.5
2022-03-02,128.77999877929688
2022-03-03,128.0500030517578
2022-03-04,123.94999694824219
2022-03-07,114.5
2022-03-08,117.73999786376953
2022-03-09,122.02999877929688
2022-03-10,121.19000244140625
2022-03-11,120.2300033569336
2022-03-14,121.94999694824219
2022-03-15,123.37000274658203
2022-03-16,127.87000274658203
2022-03-17,128.67999267578125
2022-03-18,130.92999267578125
2022-03-21,128.91000366210938
2022-03-22,130.4600067138672
2022-03-23,128.74000549316406
2022-03-24,129.50999450683594
2022-03-25,129.4600067138672
2022-03-28,129.5500030517578
2022-03-29,135.88999938964844
2022-03-30,132.94000244140625
2022-03-31,131.07000732421875
2022-04-01,134.00999450683594
2022-04-04,133.3699951171875
2022-04-05,132.41000366210938
2022-04-06,134.13999938964844
2022-04-07,134.14999389648438
2022-04-08,132.52999877929688
2022-04-11,131.75
2022-04-12,128.7100067138672
2022-04-13,130.58999633789062
2022-04-14,128.27000427246094
2022-04-18,126.48999786376953
2022-04-19,129.63999938964844
2022-04-20,131.6999969482422
2022-04-21,133.14999389648438
2022-04-22,132.85000610351562
2022-04-25,129.33999633789062
2022-04-26,125.9000015258789
2022-04-27,129.61000061035156
2022-04-28,130.85000610351562
2022-04-29,127.98999786376953
2022-05-02,130.99000549316406
2022-05-03,133.2100067138672
2022-05-04,137.33999633789062
2022-05-05,131.57000732421875
2022-05-06,128.52999877929688
2022-05-09,127.13999938964844
2022-05-10,125.04000091552734
2022-05-11,124.30000305175781
2022-05-12,123.31999969482422
2022-05-13,122.36000061035156
2022-05-16,120.47000122070312
2022-05-17,124.33000183105469
2022-05-18,119.55999755859375
2022-05-19,122.66999816894531
2022-05-20,119.68000030517578
2022-05-23,122.80999755859375
2022-05-24,121.45999908447266
2022-05-25,123.41000366210938
2022-05-26,126.30000305175781
2022-05-27,130.02999877929688
2022-05-31,126.48999786376953
2022-06-01,125.37000274658203
2022-06-02,128.7899932861328
2022-06-03,125.45999908447266
2022-06-06,127.12999725341797
2022-06-07,128.77999877929688
2022-06-08,127.01000213623047
2022-06-09,123.98999786376953
2022-06-10,115.9000015258789
2022-06-13,113.30000305175781
2022-06-14,111.51000213623047
2022-06-15,113.62000274658203
2022-06-16,108.5
2022-06-17,110.0199966430664
2022-06-21,110.5999984741211
2022-06-22,112.73999786376953
2022-06-23,114.36000061035156
2022-06-24,121.01000213623047
2022-06-27,121.30000305175781
2022-06-28,119.2699966430664
2022-06-29,117.20999908447266
2022-06-30,114.33999633789062
2022-07-01,117.86000061035156
2022-07-05,118.76000213623047
2022-07-06,119.4000015258789
2022-07-07,119.0999984741211
2022-07-08,117.87000274658203
2022-07-11,114.16999816894531
2022-07-12,116.02999877929688
2022-07-13,115.70999908447266
2022-07-14,114.83999633789062
2022-07-15,116.80000305175781
2022-07-18,114.91000366210938
2022-07-19,119.7699966430664
2022-07-20,120.0999984741211
2022-07-21,122.94999694824219
2022-07-22,127.7300033569336
2022-07-25,126.87000274658203
2022-07-26,126.22000122070312
2022-07-27,126.93000030517578
2022-07-28,130.36000061035156
2022-07-29,129.2899932861328
2022-08-01,129.30999755859375
2022-08-02,126.6500015258789
2022-08-03,128.24000549316406
2022-08-04,128.1300048828125
2022-08-05,127.36000061035156
2022-08-08,128.2899932861328
2022-08-09,127.19000244140625
2022-08-10,133.5399932861328
2022-08-11,133.33999633789062
2022-08-12,135.5500030517578
2022-08-15,136.38999938964844
2022-08-16,137.2100067138672
2022-08-17,134.19000244140625
2022-08-18,133.47999572753906
2022-08-19,131.94000244140625
2022-08-22,127.2300033569336
2022-08-23,127.6500015258789
2022-08-24,128.00999450683594
2022-08-25,132.16000366210938
2022-08-26,126.04000091552734
2022-08-29,125.94000244140625
2022-08-30,127.77999877929688
2022-08-31,126.9800033569336
2022-09-01,124.54000091552734
2022-09-02,123.76000213623047
2022-09-06,123.69000244140625
2022-09-07,127.83999633789062
2022-09-08,127.76000213623047
2022-09-09,128.11000061035156
2022-09-12,131.5800018310547
2022-09-13,124.48999786376953
2022-09-14,120.16000366210938
2022-09-15,120.44000244140625
2022-09-16,117.4800033569336
2022-09-19,119.2300033569336
2022-09-20,116.66000366210938
2022-09-21,113.30000305175781
2022-09-22,111.91999816894531
2022-09-23,112.31999969482422
2022-09-26,111.16999816894531
2022-09-27,111.05999755859375
2022-09-28,113.30000305175781
2022-09-29,111.61000061035156
2022-09-30,110.69000244140625
2022-10-03,114.19000244140625
2022-10-04,119.1500015258789
2022-10-05,120.2300033569336
2022-10-06,117.7300033569336
2022-10-07,114.37000274658203
2022-10-10,110.75
2022-10-11,110.76000213623047
2022-10-12,109.69000244140625
