Date,VLO
2022-02-28,83.51000213623047
2022-03-01,80.62999725341797
2022-03-02,83.62000274658203
2022-03-03,84.19000244140625
2022-03-04,85.9800033569336
2022-03-07,84.01000213623047
2022-03-08,90.54000091552734
2022-03-09,87.13999938964844
2022-03-10,89.58000183105469
2022-03-11,91.66999816894531
2022-03-14,90.55000305175781
2022-03-15,84.41000366210938
2022-03-16,84.94000244140625
2022-03-17,89.08999633789062
2022-03-18,90.43000030517578
2022-03-21,94.26000213623047
2022-03-22,93.58999633789062
2022-03-23,95.5199966430664
2022-03-24,96.44000244140625
2022-03-25,97.25
2022-03-28,96.37000274658203
2022-03-29,96.68000030517578
2022-03-30,100.5
2022-03-31,101.54000091552734
2022-04-01,101.2699966430664
2022-04-04,100.73999786376953
2022-04-05,101.45999908447266
2022-04-06,103.30000305175781
2022-04-07,103.33000183105469
2022-04-08,103.22000122070312
2022-04-11,100.9000015258789
2022-04-12,100.79000091552734
2022-04-13,103.94000244140625
2022-04-14,104.86000061035156
2022-04-18,110.3499984741211
2022-04-19,107.73999786376953
2022-04-20,108.06999969482422
2022-04-21,104.91000366210938
2022-04-22,103.05000305175781
2022-04-25,100.87999725341797
2022-04-26,105.13999938964844
2022-04-27,109.51000213623047
2022-04-28,115.52999877929688
2022-04-29,111.4800033569336
2022-05-02,116.5999984741211
2022-05-03,121.4000015258789
2022-05-04,128.22999572753906
2022-05-05,125.83000183105469
2022-05-06,129.17999267578125
2022-05-09,118.44999694824219
2022-05-10,120.97000122070312
2022-05-11,120.41999816894531
2022-05-12,120.41000366210938
2022-05-13,124.69999694824219
2022-05-16,127.77999877929688
2022-05-17,128.05999755859375
2022-05-18,124.68000030517578
2022-05-19,124.26000213623047
2022-05-20,122.9800033569336
2022-05-23,123.95999908447266
2022-05-24,124.20999908447266
2022-05-25,127.33999633789062
2022-05-26,128.1199951171875
2022-05-27,131.80999755859375
2022-05-31,129.60000610351562
2022-06-01,132.5500030517578
2022-06-02,133.6199951171875
2022-06-03,135.4199981689453
2022-06-06,138.69000244140625
2022-06-07,145.0800018310547
2022-06-08,143.77000427246094
2022-06-09,143.41000366210938
2022-06-10,140.50999450683594
2022-06-13,131.61000061035156
2022-06-14,133.75
2022-06-15,128.3000030517578
2022-06-16,118.73999786376953
2022-06-17,112.44000244140625
2022-06-21,116.47000122070312
2022-06-22,113.12999725341797
2022-06-23,104.52999877929688
2022-06-24,103.93000030517578
2022-06-27,112.23999786376953
2022-06-28,116.25
2022-06-29,108.8499984741211
2022-06-30,106.27999877929688
2022-07-01,107.9800033569336
2022-07-05,103.58999633789062
2022-07-06,101.70999908447266
2022-07-07,106.33999633789062
2022-07-08,107.02999877929688
2022-07-11,107.79000091552734
2022-07-12,104.86000061035156
2022-07-13,102.38999938964844
2022-07-14,100.77999877929688
2022-07-15,104.58999633789062
2022-07-18,106.30999755859375
2022-07-19,108.73999786376953
2022-07-20,109.27999877929688
2022-07-21,104.1500015258789
2022-07-22,104.0199966430664
2022-07-25,109.31999969482422
2022-07-26,107.62999725341797
2022-07-27,111.5
2022-07-28,109.51000213623047
2022-07-29,110.7699966430664
2022-08-01,110.6500015258789
2022-08-02,112.98999786376953
2022-08-03,107.80999755859375
2022-08-04,104.33000183105469
2022-08-05,104.98999786376953
2022-08-08,106.38999938964844
2022-08-09,110.66999816894531
2022-08-10,111.76000213623047
2022-08-11,114.08999633789062
2022-08-12,115.19000244140625
2022-08-15,111.94999694824219
2022-08-16,113.30999755859375
2022-08-17,117.75
2022-08-18,118.79000091552734
2022-08-19,118.55000305175781
2022-08-22,119.12999725341797
2022-08-23,122.11000061035156
2022-08-24,122.12000274658203
2022-08-25,123.36000061035156
2022-08-26,121.87999725341797
2022-08-29,123.41999816894531
2022-08-30,118.02999877929688
2022-08-31,117.12000274658203
2022-09-01,110.63999938964844
2022-09-02,113.81999969482422
2022-09-06,112.77999877929688
2022-09-07,112.62000274658203
2022-09-08,111.93000030517578
2022-09-09,113.31999969482422
2022-09-12,114.25
2022-09-13,111.33000183105469
2022-09-14,109.58999633789062
2022-09-15,105.16000366210938
2022-09-16,104.45999908447266
2022-09-19,104.66999816894531
2022-09-20,107.41999816894531
2022-09-21,105.52999877929688
2022-09-22,107.58999633789062
2022-09-23,100.56999969482422
2022-09-26,97.88999938964844
2022-09-27,101.16999816894531
2022-09-28,108.80000305175781
2022-09-29,107.23999786376953
2022-09-30,106.8499984741211
2022-10-03,112.30999755859375
2022-10-04,117.58000183105469
2022-10-05,118.08999633789062
2022-10-06,119.22000122070312
2022-10-07,113.77999877929688
2022-10-10,110.86000061035156
2022-10-11,109.69000244140625
2022-10-12,115.19999694824219
2022-10-13,120.86000061035156
2022-10-14,114.12000274658203
2022-10-17,115.5
