Date,CMS
2022-02-28,64.01000213623047
2022-03-01,63.630001068115234
2022-03-02,64.4800033569336
2022-03-03,65.27999877929688
2022-03-04,67.0
2022-03-07,66.9800033569336
2022-03-08,65.91999816894531
2022-03-09,65.22000122070312
2022-03-10,66.05000305175781
2022-03-11,65.95999908447266
2022-03-14,66.16999816894531
2022-03-15,67.25
2022-03-16,66.47000122070312
2022-03-17,66.81999969482422
2022-03-18,66.19999694824219
2022-03-21,66.98999786376953
2022-03-22,67.01000213623047
2022-03-23,67.63999938964844
2022-03-24,68.05000305175781
2022-03-25,68.91999816894531
2022-03-28,69.12000274658203
2022-03-29,69.41000366210938
2022-03-30,69.98999786376953
2022-03-31,69.94000244140625
2022-04-01,71.0999984741211
2022-04-04,70.58999633789062
2022-04-05,71.11000061035156
2022-04-06,73.55999755859375
2022-04-07,72.36000061035156
2022-04-08,72.51000213623047
2022-04-11,72.23999786376953
2022-04-12,72.83000183105469
2022-04-13,71.9000015258789
2022-04-14,71.55000305175781
2022-04-18,71.44000244140625
2022-04-19,72.30999755859375
2022-04-20,73.04000091552734
2022-04-21,72.83999633789062
2022-04-22,71.76000213623047
2022-04-25,70.58999633789062
2022-04-26,70.37999725341797
2022-04-27,70.20999908447266
2022-04-28,70.87000274658203
2022-04-29,68.69000244140625
2022-05-02,67.80000305175781
2022-05-03,67.48999786376953
2022-05-04,68.83999633789062
2022-05-05,67.4800033569336
2022-05-06,67.75
2022-05-09,69.18000030517578
2022-05-10,68.27999877929688
2022-05-11,68.58000183105469
2022-05-12,68.58000183105469
2022-05-13,69.44999694824219
2022-05-16,69.08000183105469
2022-05-17,69.30999755859375
2022-05-18,68.9000015258789
2022-05-19,69.20999908447266
2022-05-20,68.83000183105469
2022-05-23,69.62999725341797
2022-05-24,71.70999908447266
2022-05-25,70.54000091552734
2022-05-26,70.80999755859375
2022-05-27,71.47000122070312
2022-05-31,71.04000091552734
2022-06-01,70.83000183105469
2022-06-02,71.27999877929688
2022-06-03,71.13999938964844
2022-06-06,71.19999694824219
2022-06-07,71.81999969482422
2022-06-08,70.26000213623047
2022-06-09,67.87000274658203
2022-06-10,67.70999908447266
2022-06-13,64.69999694824219
2022-06-14,62.52000045776367
2022-06-15,62.65999984741211
2022-06-16,61.5
2022-06-17,61.15999984741211
2022-06-21,61.93000030517578
2022-06-22,62.72999954223633
2022-06-23,64.12000274658203
2022-06-24,65.19000244140625
2022-06-27,66.19000244140625
2022-06-28,66.55999755859375
2022-06-29,66.5
2022-06-30,67.5
2022-07-01,69.02999877929688
2022-07-05,66.11000061035156
2022-07-06,67.37000274658203
2022-07-07,66.37999725341797
2022-07-08,66.0199966430664
2022-07-11,66.26000213623047
2022-07-12,65.91000366210938
2022-07-13,65.94000244140625
2022-07-14,65.79000091552734
2022-07-15,66.19999694824219
2022-07-18,64.80999755859375
2022-07-19,64.95999908447266
2022-07-20,63.880001068115234
2022-07-21,63.91999816894531
2022-07-22,65.18000030517578
2022-07-25,65.87000274658203
2022-07-26,66.68000030517578
2022-07-27,66.70999908447266
2022-07-28,68.52999877929688
2022-07-29,68.7300033569336
2022-08-01,69.02999877929688
2022-08-02,68.9000015258789
2022-08-03,69.33999633789062
2022-08-04,68.61000061035156
2022-08-05,67.61000061035156
2022-08-08,68.20999908447266
2022-08-09,68.69000244140625
2022-08-10,68.76000213623047
2022-08-11,68.68000030517578
2022-08-12,69.66999816894531
2022-08-15,70.11000061035156
2022-08-16,70.26000213623047
2022-08-17,70.41999816894531
2022-08-18,70.5199966430664
2022-08-19,70.94000244140625
2022-08-22,70.08000183105469
2022-08-23,69.3499984741211
2022-08-24,69.33999633789062
2022-08-25,69.63999938964844
2022-08-26,68.76000213623047
2022-08-29,69.44000244140625
2022-08-30,68.11000061035156
2022-08-31,67.54000091552734
2022-09-01,68.0999984741211
2022-09-02,67.13999938964844
2022-09-06,67.37000274658203
2022-09-07,69.72000122070312
2022-09-08,69.51000213623047
2022-09-09,69.8499984741211
2022-09-12,70.2300033569336
2022-09-13,68.04000091552734
2022-09-14,68.69000244140625
2022-09-15,66.63999938964844
2022-09-16,66.83999633789062
2022-09-19,67.19999694824219
2022-09-20,66.75
2022-09-21,65.9000015258789
2022-09-22,65.77999877929688
2022-09-23,65.26000213623047
2022-09-26,63.52000045776367
2022-09-27,61.75
2022-09-28,62.40999984741211
2022-09-29,59.72999954223633
2022-09-30,58.2400016784668
2022-10-03,59.849998474121094
2022-10-04,60.58000183105469
2022-10-05,58.529998779296875
2022-10-06,56.59000015258789
2022-10-07,55.290000915527344
2022-10-10,55.439998626708984
2022-10-11,55.41999816894531
2022-10-12,53.36000061035156
2022-10-13,54.52000045776367
2022-10-14,54.06999969482422
2022-10-17,55.36000061035156
2022-10-18,56.560001373291016
2022-10-19,55.630001068115234
2022-10-20,53.970001220703125
2022-10-21,54.43000030517578
2022-10-24,54.619998931884766
2022-10-25,55.75
2022-10-26,55.900001525878906
2022-10-27,56.599998474121094
2022-10-28,57.91999816894531
2022-10-31,57.04999923706055
2022-11-01,57.310001373291016
2022-11-02,57.040000915527344
2022-11-03,56.900001525878906
2022-11-04,57.029998779296875
2022-11-07,56.619998931884766
2022-11-08,56.91999816894531
2022-11-09,56.220001220703125
2022-11-10,59.20000076293945
2022-11-11,58.41999816894531
2022-11-14,57.83000183105469
2022-11-15,58.439998626708984
2022-11-16,59.43000030517578
2022-11-17,58.54999923706055
2022-11-18,60.0
2022-11-21,60.11000061035156
2022-11-22,60.220001220703125
2022-11-23,60.83000183105469
