Date,NET
2022-02-28,116.41999816894531
2022-03-01,117.6500015258789
2022-03-02,119.80000305175781
2022-03-03,104.0
2022-03-04,100.91000366210938
2022-03-07,92.16000366210938
2022-03-08,92.1500015258789
2022-03-09,98.4000015258789
2022-03-10,97.52999877929688
2022-03-11,88.72000122070312
2022-03-14,84.16000366210938
2022-03-15,85.94000244140625
2022-03-16,95.16000366210938
2022-03-17,106.30999755859375
2022-03-18,109.83999633789062
2022-03-21,104.44999694824219
2022-03-22,114.86000061035156
2022-03-23,117.58999633789062
2022-03-24,122.38999938964844
2022-03-25,119.62999725341797
2022-03-28,126.27999877929688
2022-03-29,130.02000427246094
2022-03-30,124.4000015258789
2022-03-31,119.69999694824219
2022-04-01,123.5
2022-04-04,126.9000015258789
2022-04-05,120.44000244140625
2022-04-06,109.62999725341797
2022-04-07,112.36000061035156
2022-04-08,109.7699966430664
2022-04-11,109.63999938964844
2022-04-12,113.91999816894531
2022-04-13,121.62999725341797
2022-04-14,113.9800033569336
2022-04-18,108.1500015258789
2022-04-19,111.1500015258789
2022-04-20,103.69999694824219
2022-04-21,98.48999786376953
2022-04-22,95.22000122070312
2022-04-25,98.70999908447266
2022-04-26,90.73999786376953
2022-04-27,90.58999633789062
2022-04-28,95.25
2022-04-29,86.13999938964844
2022-05-02,89.91000366210938
2022-05-03,89.68000030517578
2022-05-04,90.4000015258789
2022-05-05,77.80999755859375
2022-05-06,65.61000061035156
2022-05-09,56.560001373291016
2022-05-10,56.97999954223633
2022-05-11,54.810001373291016
2022-05-12,56.72999954223633
2022-05-13,66.37999725341797
2022-05-16,57.36000061035156
2022-05-17,56.27000045776367
2022-05-18,53.36000061035156
2022-05-19,58.0
2022-05-20,55.689998626708984
2022-05-23,56.75
2022-05-24,50.5
2022-05-25,51.959999084472656
2022-05-26,56.04999923706055
2022-05-27,58.90999984741211
2022-05-31,56.0
2022-06-01,55.11000061035156
2022-06-02,57.900001525878906
2022-06-03,54.540000915527344
2022-06-06,53.90999984741211
2022-06-07,54.72999954223633
2022-06-08,55.060001373291016
2022-06-09,51.599998474121094
2022-06-10,47.36000061035156
2022-06-13,41.59000015258789
2022-06-14,40.790000915527344
2022-06-15,43.560001373291016
2022-06-16,39.70000076293945
2022-06-17,41.209999084472656
2022-06-21,43.619998931884766
2022-06-22,44.34000015258789
2022-06-23,48.20000076293945
2022-06-24,51.84000015258789
2022-06-27,49.25
2022-06-28,45.439998626708984
2022-06-29,45.869998931884766
2022-06-30,43.75
2022-07-01,45.900001525878906
2022-07-05,50.5
2022-07-06,50.349998474121094
2022-07-07,52.7400016784668
2022-07-08,52.08000183105469
2022-07-11,50.689998626708984
2022-07-12,47.369998931884766
2022-07-13,46.779998779296875
2022-07-14,44.61000061035156
2022-07-15,46.599998474121094
2022-07-18,48.83000183105469
2022-07-19,49.540000915527344
2022-07-20,53.0
2022-07-21,55.81999969482422
2022-07-22,51.650001525878906
2022-07-25,49.790000915527344
2022-07-26,45.68000030517578
2022-07-27,48.68000030517578
2022-07-28,48.650001525878906
2022-07-29,50.31999969482422
2022-08-01,51.15999984741211
2022-08-02,53.08000183105469
2022-08-03,58.36000061035156
2022-08-04,58.43000030517578
2022-08-05,74.23999786376953
2022-08-08,73.68000030517578
2022-08-09,71.62999725341797
2022-08-10,78.61000061035156
2022-08-11,74.94999694824219
2022-08-12,77.62999725341797
2022-08-15,78.08000183105469
2022-08-16,77.80000305175781
2022-08-17,74.51000213623047
2022-08-18,73.04000091552734
2022-08-19,68.52999877929688
2022-08-22,65.77999877929688
2022-08-23,65.26000213623047
2022-08-24,66.1500015258789
2022-08-25,68.23999786376953
2022-08-26,64.38999938964844
2022-08-29,64.2300033569336
2022-08-30,63.779998779296875
2022-08-31,62.56999969482422
2022-09-01,59.31999969482422
2022-09-02,58.709999084472656
2022-09-06,58.54999923706055
2022-09-07,61.02000045776367
2022-09-08,62.58000183105469
2022-09-09,65.83000183105469
2022-09-12,66.94000244140625
2022-09-13,59.849998474121094
2022-09-14,61.41999816894531
2022-09-15,60.95000076293945
2022-09-16,58.91999816894531
2022-09-19,61.20000076293945
2022-09-20,61.130001068115234
2022-09-21,61.599998474121094
2022-09-22,56.91999816894531
2022-09-23,54.43000030517578
2022-09-26,53.779998779296875
2022-09-27,56.47999954223633
2022-09-28,57.5
2022-09-29,54.849998474121094
2022-09-30,55.310001373291016
2022-10-03,55.790000915527344
2022-10-04,60.52000045776367
2022-10-05,60.779998779296875
2022-10-06,61.02000045776367
2022-10-07,55.38999938964844
2022-10-10,51.38999938964844
2022-10-11,49.97999954223633
2022-10-12,51.459999084472656
2022-10-13,49.880001068115234
2022-10-14,45.70000076293945
2022-10-17,51.720001220703125
2022-10-18,53.09000015258789
2022-10-19,51.630001068115234
2022-10-20,53.630001068115234
2022-10-21,54.380001068115234
2022-10-24,53.91999816894531
2022-10-25,57.54999923706055
2022-10-26,55.58000183105469
2022-10-27,55.97999954223633
2022-10-28,55.349998474121094
2022-10-31,56.31999969482422
2022-11-01,55.58000183105469
2022-11-02,49.939998626708984
2022-11-03,50.369998931884766
2022-11-04,41.09000015258789
2022-11-07,39.02000045776367
2022-11-08,40.36000061035156
2022-11-09,37.84000015258789
2022-11-10,47.27000045776367
2022-11-11,53.709999084472656
2022-11-14,52.209999084472656
2022-11-15,56.400001525878906
2022-11-16,52.68000030517578
2022-11-17,48.400001525878906
2022-11-18,47.0099983215332
2022-11-21,45.31999969482422
2022-11-22,44.970001220703125
2022-11-23,46.790000915527344
2022-11-25,46.29999923706055
