Date,KMB
2022-02-28,130.14999389648438
2022-03-01,128.6699981689453
2022-03-02,129.82000732421875
2022-03-03,129.5500030517578
2022-03-04,129.1300048828125
2022-03-07,127.94000244140625
2022-03-08,123.19000244140625
2022-03-09,123.55999755859375
2022-03-10,119.79000091552734
2022-03-11,117.52999877929688
2022-03-14,119.12000274658203
2022-03-15,121.05000305175781
2022-03-16,121.41999816894531
2022-03-17,121.33999633789062
2022-03-18,120.8499984741211
2022-03-21,120.7300033569336
2022-03-22,122.38999938964844
2022-03-23,120.61000061035156
2022-03-24,120.08999633789062
2022-03-25,120.27999877929688
2022-03-28,122.43000030517578
2022-03-29,124.05999755859375
2022-03-30,123.8499984741211
2022-03-31,123.16000366210938
2022-04-01,125.02999877929688
2022-04-04,125.0199966430664
2022-04-05,125.12999725341797
2022-04-06,125.97000122070312
2022-04-07,126.69000244140625
2022-04-08,126.08000183105469
2022-04-11,126.52999877929688
2022-04-12,125.94000244140625
2022-04-13,126.38999938964844
2022-04-14,126.41999816894531
2022-04-18,124.95999908447266
2022-04-19,126.87000274658203
2022-04-20,127.5999984741211
2022-04-21,128.10000610351562
2022-04-22,138.50999450683594
2022-04-25,143.47999572753906
2022-04-26,139.17999267578125
2022-04-27,140.47999572753906
2022-04-28,141.99000549316406
2022-04-29,138.8300018310547
2022-05-02,136.02000427246094
2022-05-03,137.3000030517578
2022-05-04,139.13999938964844
2022-05-05,136.67999267578125
2022-05-06,137.60000610351562
2022-05-09,140.33999633789062
2022-05-10,138.9499969482422
2022-05-11,138.91000366210938
2022-05-12,139.61000061035156
2022-05-13,139.16000366210938
2022-05-16,138.92999267578125
2022-05-17,138.66000366210938
2022-05-18,132.50999450683594
2022-05-19,129.0500030517578
2022-05-20,128.33999633789062
2022-05-23,129.41000366210938
2022-05-24,132.14999389648438
2022-05-25,131.3699951171875
2022-05-26,132.41000366210938
2022-05-27,133.42999267578125
2022-05-31,133.02000427246094
2022-06-01,131.39999389648438
2022-06-02,131.7899932861328
2022-06-03,131.44000244140625
2022-06-06,131.8800048828125
2022-06-07,132.10000610351562
2022-06-08,130.80999755859375
2022-06-09,127.45999908447266
2022-06-10,127.76000213623047
2022-06-13,126.91000366210938
2022-06-14,123.30999755859375
2022-06-15,122.41000366210938
2022-06-16,121.6500015258789
2022-06-17,121.79000091552734
2022-06-21,125.08000183105469
2022-06-22,127.56999969482422
2022-06-23,132.0800018310547
2022-06-24,134.4600067138672
2022-06-27,133.58999633789062
2022-06-28,132.5399932861328
2022-06-29,134.25
2022-06-30,135.14999389648438
2022-07-01,136.75999450683594
2022-07-05,136.08999633789062
2022-07-06,136.97999572753906
2022-07-07,135.6999969482422
2022-07-08,134.1999969482422
2022-07-11,134.72000122070312
2022-07-12,135.27999877929688
2022-07-13,136.0500030517578
2022-07-14,135.1300048828125
2022-07-15,134.67999267578125
2022-07-18,132.07000732421875
2022-07-19,132.24000549316406
2022-07-20,131.35000610351562
2022-07-21,130.5500030517578
2022-07-22,132.39999389648438
2022-07-25,133.4199981689453
2022-07-26,133.97000122070312
2022-07-27,132.0500030517578
2022-07-28,133.25999450683594
2022-07-29,131.7899932861328
2022-08-01,135.3699951171875
2022-08-02,133.0
2022-08-03,134.75
2022-08-04,132.75999450683594
2022-08-05,133.3800048828125
2022-08-08,134.2899932861328
2022-08-09,134.4199981689453
2022-08-10,135.66000366210938
2022-08-11,134.6300048828125
2022-08-12,135.47999572753906
2022-08-15,136.4499969482422
2022-08-16,137.38999938964844
2022-08-17,136.8300018310547
2022-08-18,137.10000610351562
2022-08-19,136.9499969482422
2022-08-22,136.2100067138672
2022-08-23,134.24000549316406
2022-08-24,133.69000244140625
2022-08-25,132.88999938964844
2022-08-26,129.52000427246094
2022-08-29,129.5800018310547
2022-08-30,128.8300018310547
2022-08-31,127.5199966430664
2022-09-01,128.52000427246094
2022-09-02,126.4800033569336
2022-09-06,125.70999908447266
2022-09-07,127.44000244140625
2022-09-08,125.5
2022-09-09,126.83999633789062
2022-09-12,126.91000366210938
2022-09-13,123.76000213623047
2022-09-14,121.80999755859375
2022-09-15,121.41999816894531
2022-09-16,122.0199966430664
2022-09-19,122.81999969482422
2022-09-20,121.55999755859375
2022-09-21,120.7300033569336
2022-09-22,120.70999908447266
2022-09-23,120.29000091552734
2022-09-26,118.77999877929688
2022-09-27,117.19000244140625
2022-09-28,117.18000030517578
2022-09-29,114.9800033569336
2022-09-30,112.54000091552734
2022-10-03,114.08000183105469
2022-10-04,116.2300033569336
2022-10-05,114.58000183105469
2022-10-06,112.19000244140625
2022-10-07,109.58999633789062
2022-10-10,110.16000366210938
2022-10-11,111.37000274658203
2022-10-12,112.86000061035156
2022-10-13,114.58000183105469
2022-10-14,113.20999908447266
2022-10-17,114.18000030517578
2022-10-18,115.4800033569336
2022-10-19,114.94000244140625
2022-10-20,112.31999969482422
2022-10-21,113.95999908447266
2022-10-24,115.86000061035156
2022-10-25,119.48999786376953
2022-10-26,120.20999908447266
2022-10-27,121.30000305175781
2022-10-28,124.27999877929688
2022-10-31,124.45999908447266
2022-11-01,124.3499984741211
2022-11-02,122.2699966430664
2022-11-03,122.0199966430664
2022-11-04,122.5199966430664
2022-11-07,124.31999969482422
2022-11-08,124.58000183105469
2022-11-09,123.83000183105469
2022-11-10,127.77999877929688
2022-11-11,127.44999694824219
2022-11-14,127.55999755859375
2022-11-15,128.13999938964844
2022-11-16,129.00999450683594
2022-11-17,128.8699951171875
2022-11-18,131.39999389648438
2022-11-21,133.49000549316406
2022-11-22,134.97999572753906
2022-11-23,134.0
2022-11-25,135.02999877929688
2022-11-28,133.30999755859375
2022-11-29,133.16000366210938
2022-11-30,135.6300048828125
2022-12-01,136.60000610351562
2022-12-02,137.92999267578125
2022-12-05,137.1699981689453
2022-12-06,136.00999450683594
2022-12-07,136.6999969482422
2022-12-08,136.75999450683594
2022-12-09,136.1999969482422
2022-12-12,137.9600067138672
2022-12-13,138.7100067138672
2022-12-14,139.10000610351562
2022-12-15,136.4199981689453
2022-12-16,135.32000732421875
2022-12-19,135.66000366210938
2022-12-20,135.3800048828125
2022-12-21,136.9600067138672
2022-12-22,137.44000244140625
2022-12-23,137.14999389648438
2022-12-27,138.3800048828125
2022-12-28,136.52000427246094
2022-12-29,137.24000549316406
2022-12-30,135.75
2023-01-03,137.11000061035156
2023-01-04,136.80999755859375
2023-01-05,135.5399932861328
2023-01-06,138.4499969482422
2023-01-09,137.02000427246094
2023-01-10,135.86000061035156
2023-01-11,136.30999755859375
2023-01-12,136.24000549316406
2023-01-13,136.8300018310547
2023-01-17,136.86000061035156
2023-01-18,132.83999633789062
2023-01-19,132.16000366210938
2023-01-20,135.1300048828125
2023-01-23,134.22999572753906
2023-01-24,134.6300048828125
2023-01-25,132.05999755859375
2023-01-26,130.27000427246094
2023-01-27,128.9199981689453
2023-01-30,128.99000549316406
