Date,HSBC
2022-02-28,34.540000915527344
2022-03-01,33.15999984741211
2022-03-02,34.04999923706055
2022-03-03,33.25
2022-03-04,31.229999542236328
2022-03-07,30.59000015258789
2022-03-08,31.3700008392334
2022-03-09,32.18000030517578
2022-03-10,31.270000457763672
2022-03-11,31.1200008392334
2022-03-14,31.829999923706055
2022-03-15,31.549999237060547
2022-03-16,32.68000030517578
2022-03-17,33.209999084472656
2022-03-18,33.20000076293945
2022-03-21,33.0
2022-03-22,34.11000061035156
2022-03-23,33.529998779296875
2022-03-24,34.09000015258789
2022-03-25,34.209999084472656
2022-03-28,34.0
2022-03-29,34.439998626708984
2022-03-30,34.47999954223633
2022-03-31,34.220001220703125
2022-04-01,34.63999938964844
2022-04-04,34.4900016784668
2022-04-05,34.349998474121094
2022-04-06,34.220001220703125
2022-04-07,34.369998931884766
2022-04-08,34.529998779296875
2022-04-11,34.619998931884766
2022-04-12,33.5099983215332
2022-04-13,33.959999084472656
2022-04-14,33.939998626708984
2022-04-18,33.88999938964844
2022-04-19,34.36000061035156
2022-04-20,34.970001220703125
2022-04-21,34.5099983215332
2022-04-22,33.439998626708984
2022-04-25,32.380001068115234
2022-04-26,29.84000015258789
2022-04-27,30.440000534057617
2022-04-28,31.0
2022-04-29,31.010000228881836
2022-05-02,30.889999389648438
2022-05-03,32.18000030517578
2022-05-04,32.95000076293945
2022-05-05,31.440000534057617
2022-05-06,31.25
2022-05-09,30.43000030517578
2022-05-10,30.75
2022-05-11,30.280000686645508
2022-05-12,29.549999237060547
2022-05-13,30.709999084472656
2022-05-16,30.780000686645508
2022-05-17,31.40999984741211
2022-05-18,30.56999969482422
2022-05-19,30.520000457763672
2022-05-20,30.75
2022-05-23,31.399999618530273
2022-05-24,32.720001220703125
2022-05-25,32.81999969482422
2022-05-26,33.0099983215332
2022-05-27,33.689998626708984
2022-05-31,33.459999084472656
2022-06-01,33.13999938964844
2022-06-02,33.369998931884766
2022-06-03,32.970001220703125
2022-06-06,33.380001068115234
2022-06-07,33.459999084472656
2022-06-08,32.5
2022-06-09,31.780000686645508
2022-06-10,30.809999465942383
2022-06-13,30.670000076293945
2022-06-14,31.139999389648438
2022-06-15,32.15999984741211
2022-06-16,31.6299991607666
2022-06-17,30.969999313354492
2022-06-21,33.130001068115234
2022-06-22,32.650001525878906
2022-06-23,32.34000015258789
2022-06-24,33.029998779296875
2022-06-27,32.91999816894531
2022-06-28,33.0
2022-06-29,33.38999938964844
2022-06-30,32.66999816894531
2022-07-01,32.68000030517578
2022-07-05,31.610000610351562
2022-07-06,31.149999618530273
2022-07-07,32.060001373291016
2022-07-08,31.579999923706055
2022-07-11,31.399999618530273
2022-07-12,31.350000381469727
2022-07-13,31.3700008392334
2022-07-14,30.360000610351562
2022-07-15,30.649999618530273
2022-07-18,31.010000228881836
2022-07-19,31.56999969482422
