Date,PH
2022-02-28,296.3900146484375
2022-03-01,287.6199951171875
2022-03-02,297.30999755859375
2022-03-03,294.9700012207031
2022-03-04,283.8500061035156
2022-03-07,271.9200134277344
2022-03-08,271.6199951171875
2022-03-09,278.0799865722656
2022-03-10,275.6300048828125
2022-03-11,270.9800109863281
2022-03-14,273.9700012207031
2022-03-15,279.1400146484375
2022-03-16,285.9100036621094
2022-03-17,288.8599853515625
2022-03-18,290.3900146484375
2022-03-21,288.5299987792969
2022-03-22,290.2200012207031
2022-03-23,286.739990234375
2022-03-24,289.1400146484375
2022-03-25,290.42999267578125
2022-03-28,286.67999267578125
2022-03-29,297.7799987792969
2022-03-30,291.6499938964844
2022-03-31,283.760009765625
2022-04-01,282.20001220703125
2022-04-04,284.1400146484375
2022-04-05,274.42999267578125
2022-04-06,273.42999267578125
2022-04-07,276.6300048828125
2022-04-08,274.05999755859375
2022-04-11,270.4200134277344
2022-04-12,270.260009765625
2022-04-13,273.54998779296875
2022-04-14,273.8699951171875
2022-04-18,271.32000732421875
2022-04-19,282.95001220703125
2022-04-20,289.44000244140625
2022-04-21,286.9700012207031
2022-04-22,277.07000732421875
2022-04-25,278.260009765625
2022-04-26,271.3800048828125
2022-04-27,271.70001220703125
2022-04-28,276.3599853515625
2022-04-29,270.82000732421875
2022-05-02,273.05999755859375
2022-05-03,276.42999267578125
2022-05-04,290.5799865722656
2022-05-05,276.1600036621094
2022-05-06,271.5400085449219
2022-05-09,271.19000244140625
2022-05-10,265.739990234375
2022-05-11,264.8900146484375
2022-05-12,260.44000244140625
2022-05-13,265.3500061035156
2022-05-16,265.3999938964844
2022-05-17,272.45001220703125
2022-05-18,263.3500061035156
2022-05-19,262.69000244140625
2022-05-20,258.7699890136719
2022-05-23,261.6300048828125
2022-05-24,262.07000732421875
2022-05-25,262.57000732421875
2022-05-26,268.010009765625
2022-05-27,272.7200012207031
2022-05-31,272.1700134277344
2022-06-01,272.5
2022-06-02,278.82000732421875
2022-06-03,276.8399963378906
2022-06-06,277.79998779296875
2022-06-07,283.760009765625
2022-06-08,283.0199890136719
2022-06-09,276.9599914550781
2022-06-10,263.6099853515625
2022-06-13,253.14999389648438
2022-06-14,252.6300048828125
2022-06-15,254.7899932861328
2022-06-16,240.5399932861328
2022-06-17,236.3699951171875
2022-06-21,241.89999389648438
2022-06-22,243.8699951171875
2022-06-23,239.9600067138672
2022-06-24,253.10000610351562
2022-06-27,251.8699951171875
2022-06-28,250.0
2022-06-29,247.3300018310547
2022-06-30,246.0500030517578
2022-07-01,249.05999755859375
2022-07-05,246.30999755859375
2022-07-06,244.1199951171875
2022-07-07,250.9600067138672
2022-07-08,248.0399932861328
2022-07-11,248.0500030517578
2022-07-12,249.10000610351562
2022-07-13,245.19000244140625
2022-07-14,244.66000366210938
2022-07-15,248.36000061035156
2022-07-18,247.75999450683594
2022-07-19,259.989990234375
2022-07-20,265.19000244140625
2022-07-21,268.29998779296875
2022-07-22,267.8699951171875
2022-07-25,267.54998779296875
2022-07-26,270.32000732421875
2022-07-27,277.04998779296875
2022-07-28,282.95001220703125
2022-07-29,289.0899963378906
2022-08-01,287.29998779296875
2022-08-02,285.5899963378906
2022-08-03,290.05999755859375
2022-08-04,293.4700012207031
2022-08-05,292.82000732421875
2022-08-08,292.54998779296875
2022-08-09,289.75
2022-08-10,299.69000244140625
2022-08-11,302.260009765625
2022-08-12,308.0
2022-08-15,306.4200134277344
2022-08-16,306.1099853515625
2022-08-17,299.19000244140625
2022-08-18,300.739990234375
2022-08-19,295.760009765625
2022-08-22,285.05999755859375
2022-08-23,285.55999755859375
2022-08-24,285.3999938964844
2022-08-25,292.3800048828125
2022-08-26,276.20001220703125
2022-08-29,273.32000732421875
2022-08-30,269.6099853515625
2022-08-31,265.0
2022-09-01,267.6499938964844
2022-09-02,264.8699951171875
2022-09-06,266.5299987792969
2022-09-07,273.010009765625
2022-09-08,274.760009765625
2022-09-09,278.989990234375
2022-09-12,282.54998779296875
2022-09-13,270.2799987792969
2022-09-14,270.7699890136719
2022-09-15,267.5400085449219
2022-09-16,260.1000061035156
2022-09-19,265.1600036621094
2022-09-20,258.9599914550781
2022-09-21,258.6300048828125
2022-09-22,250.42999267578125
2022-09-23,244.6199951171875
2022-09-26,239.97999572753906
2022-09-27,238.2899932861328
2022-09-28,247.85000610351562
2022-09-29,245.55999755859375
2022-09-30,242.30999755859375
2022-10-03,252.25999450683594
2022-10-04,263.0299987792969
2022-10-05,263.19000244140625
2022-10-06,260.92999267578125
2022-10-07,254.19000244140625
2022-10-10,252.8699951171875
2022-10-11,255.0
2022-10-12,253.1699981689453
2022-10-13,259.1600036621094
