Date,NTR
2022-02-28,85.98999786376953
2022-03-01,84.93000030517578
2022-03-02,88.0
2022-03-03,89.68000030517578
2022-03-04,94.98999786376953
2022-03-07,99.38999938964844
2022-03-08,94.80999755859375
2022-03-09,95.02999877929688
2022-03-10,101.9000015258789
2022-03-11,101.4000015258789
2022-03-14,99.05999755859375
2022-03-15,97.43000030517578
2022-03-16,93.81999969482422
2022-03-17,98.23999786376953
2022-03-18,99.6500015258789
2022-03-21,105.22000122070312
2022-03-22,104.55999755859375
2022-03-23,105.5
2022-03-24,106.83999633789062
2022-03-25,108.43000030517578
2022-03-28,106.69000244140625
2022-03-29,101.33000183105469
2022-03-30,102.05999755859375
2022-03-31,103.98999786376953
2022-04-01,103.7699966430664
2022-04-04,102.80000305175781
2022-04-05,101.19999694824219
2022-04-06,101.18000030517578
2022-04-07,104.3499984741211
2022-04-08,106.0199966430664
2022-04-11,107.76000213623047
2022-04-12,108.86000061035156
2022-04-13,109.75
2022-04-14,112.0
2022-04-18,114.5
2022-04-19,113.33999633789062
2022-04-20,113.12000274658203
2022-04-21,107.91000366210938
2022-04-22,103.80999755859375
2022-04-25,99.58000183105469
2022-04-26,98.94000244140625
2022-04-27,101.08999633789062
2022-04-28,101.30000305175781
2022-04-29,98.25
2022-05-02,99.20999908447266
2022-05-03,105.62000274658203
2022-05-04,107.30999755859375
2022-05-05,103.5199966430664
2022-05-06,103.79000091552734
2022-05-09,92.87000274658203
2022-05-10,94.29000091552734
2022-05-11,97.02999877929688
2022-05-12,95.41000366210938
2022-05-13,98.94999694824219
2022-05-16,101.36000061035156
2022-05-17,104.1500015258789
2022-05-18,101.44999694824219
2022-05-19,101.36000061035156
2022-05-20,97.0199966430664
2022-05-23,101.4800033569336
2022-05-24,99.31999969482422
2022-05-25,98.29000091552734
2022-05-26,95.83999633789062
2022-05-27,95.56999969482422
2022-05-31,97.19000244140625
2022-06-01,94.43000030517578
2022-06-02,95.87999725341797
2022-06-03,93.5
2022-06-06,92.25
2022-06-07,89.5199966430664
2022-06-08,88.30000305175781
2022-06-09,89.23999786376953
2022-06-10,86.45999908447266
2022-06-13,84.2699966430664
2022-06-14,87.22000122070312
2022-06-15,87.9800033569336
2022-06-16,85.2300033569336
2022-06-17,83.04000091552734
2022-06-21,86.29000091552734
2022-06-22,86.27999877929688
2022-06-23,78.94999694824219
2022-06-24,80.19000244140625
2022-06-27,83.68000030517578
2022-06-28,84.62000274658203
2022-06-29,82.26000213623047
2022-06-30,79.69000244140625
2022-07-01,79.22000122070312
2022-07-05,74.66999816894531
2022-07-06,74.12000274658203
2022-07-07,76.97000122070312
2022-07-08,76.26000213623047
2022-07-11,75.73999786376953
2022-07-12,74.41999816894531
2022-07-13,75.5999984741211
2022-07-14,71.9000015258789
2022-07-15,73.25
2022-07-18,74.91000366210938
2022-07-19,78.44999694824219
2022-07-20,79.91000366210938
2022-07-21,79.2699966430664
2022-07-22,78.31999969482422
2022-07-25,82.08000183105469
2022-07-26,82.51000213623047
2022-07-27,83.51000213623047
2022-07-28,83.41000366210938
2022-07-29,85.66000366210938
2022-08-01,83.66000366210938
2022-08-02,82.16999816894531
2022-08-03,81.88999938964844
2022-08-04,82.45999908447266
2022-08-05,83.80000305175781
2022-08-08,85.52999877929688
2022-08-09,88.33999633789062
2022-08-10,90.37000274658203
2022-08-11,90.5199966430664
2022-08-12,92.37999725341797
2022-08-15,89.38999938964844
2022-08-16,91.44999694824219
2022-08-17,91.63999938964844
2022-08-18,91.9000015258789
2022-08-19,90.33000183105469
2022-08-22,91.58000183105469
2022-08-23,96.33999633789062
2022-08-24,98.4800033569336
2022-08-25,101.69000244140625
2022-08-26,100.41000366210938
2022-08-29,99.0199966430664
2022-08-30,94.04000091552734
2022-08-31,91.7699966430664
2022-09-01,89.76000213623047
2022-09-02,91.97000122070312
2022-09-06,90.66000366210938
2022-09-07,90.27999877929688
2022-09-08,91.16000366210938
2022-09-09,95.05999755859375
2022-09-12,90.91999816894531
2022-09-13,89.5999984741211
2022-09-14,91.77999877929688
2022-09-15,88.8499984741211
2022-09-16,86.05999755859375
2022-09-19,89.7699966430664
2022-09-20,89.91000366210938
2022-09-21,88.68000030517578
2022-09-22,88.16999816894531
2022-09-23,82.94000244140625
2022-09-26,81.75
2022-09-27,84.63999938964844
2022-09-28,87.05000305175781
2022-09-29,83.58000183105469
2022-09-30,83.37999725341797
2022-10-03,84.70999908447266
2022-10-04,88.19000244140625
2022-10-05,84.12999725341797
2022-10-06,85.4800033569336
2022-10-07,83.73999786376953
2022-10-10,85.08000183105469
2022-10-11,82.51000213623047
2022-10-12,82.75
2022-10-13,86.58000183105469
2022-10-14,77.91999816894531
2022-10-17,79.7300033569336
2022-10-18,81.9000015258789
2022-10-19,81.69999694824219
2022-10-20,82.58999633789062
2022-10-21,82.87999725341797
2022-10-24,79.0199966430664
2022-10-25,83.20999908447266
2022-10-26,82.06999969482422
2022-10-27,83.4000015258789
2022-10-28,82.36000061035156
2022-10-31,84.5
2022-11-01,85.77999877929688
2022-11-02,82.9800033569336
2022-11-03,71.30999755859375
2022-11-04,73.29000091552734
2022-11-07,73.16000366210938
2022-11-08,77.76000213623047
2022-11-09,74.4800033569336
2022-11-10,79.18000030517578
2022-11-11,76.68000030517578
2022-11-14,77.79000091552734
2022-11-15,79.5199966430664
2022-11-16,77.7300033569336
2022-11-17,78.94000244140625
2022-11-18,77.80000305175781
2022-11-21,76.79000091552734
2022-11-22,80.93000030517578
2022-11-23,80.05000305175781
2022-11-25,82.36000061035156
