Date,BNS
2022-02-28,72.33999633789062
2022-03-01,71.27999877929688
2022-03-02,73.80000305175781
2022-03-03,74.01000213623047
2022-03-04,73.26000213623047
2022-03-07,71.93000030517578
2022-03-08,70.18000030517578
2022-03-09,72.31999969482422
2022-03-10,72.11000061035156
2022-03-11,72.01000213623047
2022-03-14,72.12000274658203
2022-03-15,71.91999816894531
2022-03-16,73.13999938964844
2022-03-17,73.5199966430664
2022-03-18,73.76000213623047
2022-03-21,73.7699966430664
2022-03-22,74.58000183105469
2022-03-23,72.37000274658203
2022-03-24,72.77999877929688
2022-03-25,73.80000305175781
2022-03-28,73.44999694824219
2022-03-29,73.7300033569336
2022-03-30,73.30000305175781
2022-03-31,71.72000122070312
2022-04-01,71.19000244140625
2022-04-04,70.9000015258789
2022-04-05,71.41000366210938
2022-04-06,70.19999694824219
2022-04-07,69.5199966430664
2022-04-08,69.6500015258789
2022-04-11,68.80999755859375
2022-04-12,67.83999633789062
2022-04-13,67.83999633789062
2022-04-14,67.51000213623047
2022-04-18,67.08999633789062
2022-04-19,68.04000091552734
2022-04-20,68.91999816894531
2022-04-21,68.7300033569336
2022-04-22,66.9000015258789
2022-04-25,66.73999786376953
2022-04-26,65.16000366210938
2022-04-27,63.939998626708984
2022-04-28,64.20999908447266
2022-04-29,63.31999969482422
2022-05-02,63.439998626708984
2022-05-03,64.51000213623047
2022-05-04,65.48999786376953
2022-05-05,64.29000091552734
2022-05-06,63.720001220703125
2022-05-09,62.56999969482422
2022-05-10,62.13999938964844
2022-05-11,61.9900016784668
2022-05-12,61.65999984741211
2022-05-13,62.75
2022-05-16,63.38999938964844
2022-05-17,64.48999786376953
2022-05-18,62.58000183105469
2022-05-19,62.810001373291016
2022-05-20,62.54999923706055
2022-05-23,63.91999816894531
2022-05-24,63.59000015258789
2022-05-25,65.36000061035156
2022-05-26,66.05000305175781
2022-05-27,67.05999755859375
2022-05-31,67.70999908447266
2022-06-01,67.55000305175781
2022-06-02,68.4000015258789
2022-06-03,67.69000244140625
2022-06-06,67.2699966430664
2022-06-07,68.06999969482422
2022-06-08,67.26000213623047
2022-06-09,65.61000061035156
2022-06-10,64.11000061035156
2022-06-13,62.869998931884766
2022-06-14,62.279998779296875
2022-06-15,62.810001373291016
2022-06-16,61.380001068115234
2022-06-17,60.86000061035156
2022-06-21,62.06999969482422
2022-06-22,60.220001220703125
2022-06-23,58.220001220703125
2022-06-24,58.58000183105469
2022-06-27,59.68000030517578
2022-06-28,59.5
2022-06-29,59.54999923706055
2022-06-30,59.209999084472656
2022-07-01,58.790000915527344
2022-07-05,57.36000061035156
2022-07-06,57.33000183105469
2022-07-07,58.060001373291016
2022-07-08,58.33000183105469
2022-07-11,58.0
2022-07-12,57.56999969482422
2022-07-13,57.130001068115234
2022-07-14,54.75
2022-07-15,55.61000061035156
2022-07-18,56.5099983215332
2022-07-19,58.130001068115234
2022-07-20,58.18000030517578
2022-07-21,58.459999084472656
2022-07-22,58.130001068115234
2022-07-25,58.959999084472656
2022-07-26,58.84000015258789
2022-07-27,59.790000915527344
2022-07-28,60.209999084472656
2022-07-29,60.95000076293945
2022-08-01,60.630001068115234
2022-08-02,60.150001525878906
2022-08-03,60.7599983215332
2022-08-04,60.77000045776367
2022-08-05,60.66999816894531
2022-08-08,60.900001525878906
2022-08-09,60.34000015258789
2022-08-10,62.130001068115234
2022-08-11,62.400001525878906
2022-08-12,62.970001220703125
2022-08-15,62.84000015258789
2022-08-16,63.540000915527344
2022-08-17,63.2400016784668
2022-08-18,63.2400016784668
2022-08-19,62.52000045776367
2022-08-22,61.84000015258789
2022-08-23,59.09000015258789
2022-08-24,57.86000061035156
2022-08-25,58.56999969482422
2022-08-26,57.36000061035156
2022-08-29,57.130001068115234
2022-08-30,56.15999984741211
2022-08-31,55.290000915527344
2022-09-01,54.2599983215332
2022-09-02,54.349998474121094
2022-09-06,53.7599983215332
2022-09-07,54.029998779296875
2022-09-08,55.45000076293945
2022-09-09,56.31999969482422
2022-09-12,56.68000030517578
2022-09-13,54.709999084472656
2022-09-14,54.52000045776367
2022-09-15,53.91999816894531
2022-09-16,53.630001068115234
2022-09-19,54.02000045776367
2022-09-20,53.20000076293945
2022-09-21,52.220001220703125
2022-09-22,51.81999969482422
2022-09-23,50.939998626708984
2022-09-26,49.02000045776367
2022-09-27,48.63999938964844
2022-09-28,49.220001220703125
2022-09-29,48.25
2022-09-30,47.56999969482422
2022-10-03,48.08000183105469
2022-10-04,49.65999984741211
2022-10-05,48.88999938964844
2022-10-06,47.529998779296875
2022-10-07,47.18000030517578
2022-10-10,46.91999816894531
2022-10-11,46.41999816894531
2022-10-12,46.290000915527344
2022-10-13,47.900001525878906
2022-10-14,47.150001525878906
2022-10-17,48.18000030517578
2022-10-18,48.41999816894531
2022-10-19,47.130001068115234
2022-10-20,46.43000030517578
2022-10-21,47.54999923706055
2022-10-24,47.130001068115234
2022-10-25,48.02000045776367
2022-10-26,48.15999984741211
2022-10-27,48.47999954223633
2022-10-28,48.63999938964844
2022-10-31,48.31999969482422
2022-11-01,48.40999984741211
2022-11-02,47.810001373291016
2022-11-03,47.16999816894531
2022-11-04,48.849998474121094
2022-11-07,49.060001373291016
2022-11-08,49.47999954223633
2022-11-09,48.77000045776367
2022-11-10,51.810001373291016
2022-11-11,51.79999923706055
2022-11-14,51.439998626708984
2022-11-15,52.349998474121094
2022-11-16,51.619998931884766
2022-11-17,51.61000061035156
2022-11-18,51.54999923706055
2022-11-21,52.150001525878906
2022-11-22,52.720001220703125
