Date,TLK
2022-02-28,29.709999084472656
2022-03-01,30.040000915527344
2022-03-02,29.81999969482422
2022-03-03,29.899999618530273
2022-03-04,30.459999084472656
2022-03-07,30.84000015258789
2022-03-08,31.3700008392334
2022-03-09,31.469999313354492
2022-03-10,31.65999984741211
2022-03-11,32.189998626708984
2022-03-14,31.989999771118164
2022-03-15,32.45000076293945
2022-03-16,32.66999816894531
2022-03-17,31.639999389648438
2022-03-18,31.989999771118164
2022-03-21,32.15999984741211
2022-03-22,32.02000045776367
2022-03-23,31.940000534057617
2022-03-24,32.06999969482422
2022-03-25,31.959999084472656
2022-03-28,32.150001525878906
2022-03-29,32.099998474121094
2022-03-30,32.310001373291016
2022-03-31,31.950000762939453
2022-04-01,31.829999923706055
2022-04-04,31.43000030517578
2022-04-05,31.350000381469727
2022-04-06,31.200000762939453
2022-04-07,31.3700008392334
2022-04-08,31.649999618530273
2022-04-11,31.59000015258789
2022-04-12,31.860000610351562
2022-04-13,32.66999816894531
2022-04-14,32.869998931884766
2022-04-18,32.86000061035156
2022-04-19,32.90999984741211
2022-04-20,32.45000076293945
2022-04-21,31.860000610351562
2022-04-22,31.420000076293945
2022-04-25,31.860000610351562
2022-04-26,32.5
2022-04-27,32.5
2022-04-28,32.349998474121094
2022-04-29,31.81999969482422
2022-05-02,31.280000686645508
2022-05-03,31.889999389648438
2022-05-04,32.959999084472656
2022-05-05,32.380001068115234
2022-05-06,31.729999542236328
2022-05-09,29.040000915527344
2022-05-10,29.489999771118164
2022-05-11,29.68000030517578
2022-05-12,29.6299991607666
2022-05-13,29.260000228881836
2022-05-16,29.420000076293945
2022-05-17,28.899999618530273
2022-05-18,28.3700008392334
2022-05-19,28.530000686645508
2022-05-20,28.329999923706055
2022-05-23,28.360000610351562
2022-05-24,28.700000762939453
2022-05-25,28.809999465942383
2022-05-26,28.90999984741211
2022-05-27,29.299999237060547
2022-05-31,29.360000610351562
2022-06-01,29.229999542236328
2022-06-02,29.920000076293945
2022-06-03,29.56999969482422
2022-06-06,29.450000762939453
2022-06-07,29.270000457763672
2022-06-08,28.93000030517578
2022-06-09,28.299999237060547
2022-06-10,27.520000457763672
2022-06-13,27.0
2022-06-14,27.270000457763672
2022-06-15,27.59000015258789
2022-06-16,27.200000762939453
2022-06-17,27.389999389648438
2022-06-21,27.479999542236328
2022-06-22,27.31999969482422
2022-06-23,27.799999237060547
2022-06-24,27.59000015258789
2022-06-27,27.59000015258789
2022-06-28,27.209999084472656
2022-06-29,27.399999618530273
2022-06-30,27.040000915527344
2022-07-01,27.25
2022-07-05,27.0
2022-07-06,26.690000534057617
2022-07-07,26.8799991607666
2022-07-08,26.510000228881836
2022-07-11,26.65999984741211
2022-07-12,26.540000915527344
2022-07-13,26.8700008392334
2022-07-14,26.65999984741211
2022-07-15,27.309999465942383
2022-07-18,27.18000030517578
2022-07-19,27.559999465942383
2022-07-20,27.610000610351562
2022-07-21,27.809999465942383
2022-07-22,27.940000534057617
2022-07-25,27.950000762939453
2022-07-26,28.1299991607666
2022-07-27,28.3799991607666
2022-07-28,28.549999237060547
2022-07-29,28.5
2022-08-01,28.739999771118164
2022-08-02,28.600000381469727
2022-08-03,29.8799991607666
2022-08-04,29.93000030517578
2022-08-05,31.200000762939453
2022-08-08,31.34000015258789
2022-08-09,31.030000686645508
2022-08-10,30.649999618530273
2022-08-11,30.940000534057617
2022-08-12,31.309999465942383
2022-08-15,30.709999084472656
2022-08-16,30.799999237060547
2022-08-17,30.700000762939453
2022-08-18,30.799999237060547
2022-08-19,30.65999984741211
2022-08-22,31.110000610351562
2022-08-23,31.079999923706055
2022-08-24,31.6299991607666
2022-08-25,30.40999984741211
2022-08-26,29.93000030517578
2022-08-29,30.260000228881836
2022-08-30,29.649999618530273
2022-08-31,30.06999969482422
2022-09-01,30.1200008392334
2022-09-02,30.299999237060547
2022-09-06,30.299999237060547
2022-09-07,30.100000381469727
2022-09-08,30.309999465942383
2022-09-09,30.440000534057617
2022-09-12,30.459999084472656
2022-09-13,29.579999923706055
2022-09-14,29.889999389648438
2022-09-15,29.799999237060547
2022-09-16,29.200000762939453
2022-09-19,29.790000915527344
2022-09-20,29.489999771118164
2022-09-21,29.030000686645508
2022-09-22,29.299999237060547
2022-09-23,28.709999084472656
2022-09-26,28.90999984741211
2022-09-27,28.84000015258789
2022-09-28,29.549999237060547
2022-09-29,28.850000381469727
2022-09-30,28.850000381469727
2022-10-03,29.200000762939453
2022-10-04,29.360000610351562
2022-10-05,29.06999969482422
2022-10-06,28.75
2022-10-07,28.290000915527344
2022-10-10,28.729999542236328
2022-10-11,27.90999984741211
2022-10-12,27.649999618530273
2022-10-13,27.760000228881836
2022-10-14,27.43000030517578
2022-10-17,27.950000762939453
2022-10-18,27.200000762939453
2022-10-19,26.959999084472656
2022-10-20,27.520000457763672
2022-10-21,27.700000762939453
2022-10-24,28.25
2022-10-25,28.020000457763672
2022-10-26,28.06999969482422
2022-10-27,28.0
2022-10-28,28.1299991607666
2022-10-31,27.81999969482422
2022-11-01,27.8700008392334
2022-11-02,26.540000915527344
2022-11-03,26.06999969482422
2022-11-04,26.829999923706055
2022-11-07,26.979999542236328
2022-11-08,26.84000015258789
2022-11-09,26.34000015258789
2022-11-10,26.81999969482422
2022-11-11,25.979999542236328
2022-11-14,25.84000015258789
2022-11-15,25.829999923706055
2022-11-16,25.639999389648438
2022-11-17,25.649999618530273
2022-11-18,25.780000686645508
2022-11-21,25.68000030517578
2022-11-22,25.489999771118164
2022-11-23,25.260000228881836
