Date,WMB
2022-02-28,31.280000686645508
2022-03-01,31.670000076293945
2022-03-02,32.689998626708984
2022-03-03,32.79999923706055
2022-03-04,33.470001220703125
2022-03-07,33.400001525878906
2022-03-08,32.86000061035156
2022-03-09,32.5
2022-03-10,32.4900016784668
2022-03-11,31.899999618530273
2022-03-14,31.06999969482422
2022-03-15,31.040000915527344
2022-03-16,31.260000228881836
2022-03-17,31.530000686645508
2022-03-18,31.459999084472656
2022-03-21,32.5
2022-03-22,32.119998931884766
2022-03-23,32.709999084472656
2022-03-24,32.93000030517578
2022-03-25,33.880001068115234
2022-03-28,33.29999923706055
2022-03-29,33.439998626708984
2022-03-30,33.650001525878906
2022-03-31,33.40999984741211
2022-04-01,33.83000183105469
2022-04-04,33.72999954223633
2022-04-05,32.97999954223633
2022-04-06,33.400001525878906
2022-04-07,33.650001525878906
2022-04-08,34.41999816894531
2022-04-11,34.400001525878906
2022-04-12,34.790000915527344
2022-04-13,35.04999923706055
2022-04-14,35.52000045776367
2022-04-18,35.310001373291016
2022-04-19,35.40999984741211
2022-04-20,35.91999816894531
2022-04-21,35.68000030517578
2022-04-22,35.099998474121094
2022-04-25,33.900001525878906
2022-04-26,34.310001373291016
2022-04-27,34.31999969482422
2022-04-28,34.83000183105469
2022-04-29,34.290000915527344
2022-05-02,34.400001525878906
2022-05-03,35.310001373291016
2022-05-04,36.88999938964844
2022-05-05,35.90999984741211
2022-05-06,36.66999816894531
2022-05-09,34.7400016784668
2022-05-10,34.18000030517578
2022-05-11,34.459999084472656
2022-05-12,34.619998931884766
2022-05-13,34.790000915527344
2022-05-16,35.439998626708984
2022-05-17,35.900001525878906
2022-05-18,35.22999954223633
2022-05-19,35.02000045776367
2022-05-20,35.380001068115234
2022-05-23,36.02000045776367
2022-05-24,36.209999084472656
2022-05-25,36.689998626708984
2022-05-26,36.91999816894531
2022-05-27,37.459999084472656
2022-05-31,37.060001373291016
2022-06-01,37.43000030517578
2022-06-02,37.7400016784668
2022-06-03,37.5099983215332
2022-06-06,37.40999984741211
2022-06-07,37.81999969482422
2022-06-08,37.4900016784668
2022-06-09,35.59000015258789
2022-06-10,34.88999938964844
2022-06-13,33.119998931884766
2022-06-14,32.34000015258789
2022-06-15,31.75
2022-06-16,30.450000762939453
2022-06-17,29.739999771118164
2022-06-21,30.93000030517578
2022-06-22,30.56999969482422
2022-06-23,30.40999984741211
2022-06-24,30.049999237060547
2022-06-27,30.59000015258789
2022-06-28,31.739999771118164
2022-06-29,31.510000228881836
2022-06-30,31.209999084472656
2022-07-01,31.290000915527344
2022-07-05,30.15999984741211
2022-07-06,29.719999313354492
2022-07-07,31.18000030517578
2022-07-08,31.31999969482422
2022-07-11,31.760000228881836
2022-07-12,30.950000762939453
2022-07-13,31.139999389648438
2022-07-14,31.149999618530273
2022-07-15,31.3799991607666
2022-07-18,31.90999984741211
2022-07-19,32.349998474121094
2022-07-20,32.5
2022-07-21,32.40999984741211
2022-07-22,32.34000015258789
2022-07-25,33.45000076293945
2022-07-26,33.540000915527344
2022-07-27,33.790000915527344
2022-07-28,33.779998779296875
2022-07-29,34.09000015258789
2022-08-01,34.0
2022-08-02,32.86000061035156
2022-08-03,32.630001068115234
2022-08-04,31.90999984741211
2022-08-05,32.220001220703125
2022-08-08,32.45000076293945
2022-08-09,32.83000183105469
2022-08-10,33.02000045776367
2022-08-11,33.939998626708984
2022-08-12,34.15999984741211
2022-08-15,33.630001068115234
2022-08-16,34.31999969482422
2022-08-17,34.29999923706055
2022-08-18,35.2400016784668
2022-08-19,34.93000030517578
2022-08-22,34.689998626708984
2022-08-23,35.119998931884766
2022-08-24,35.58000183105469
2022-08-25,35.599998474121094
2022-08-26,35.029998779296875
2022-08-29,35.2400016784668
2022-08-30,34.31999969482422
2022-08-31,34.029998779296875
2022-09-01,33.58000183105469
2022-09-02,33.720001220703125
2022-09-06,33.16999816894531
2022-09-07,33.290000915527344
2022-09-08,32.0
2022-09-09,32.77000045776367
2022-09-12,33.869998931884766
2022-09-13,32.790000915527344
2022-09-14,33.45000076293945
2022-09-15,32.83000183105469
2022-09-16,31.690000534057617
2022-09-19,32.060001373291016
2022-09-20,31.829999923706055
2022-09-21,31.469999313354492
2022-09-22,31.15999984741211
2022-09-23,29.149999618530273
2022-09-26,28.420000076293945
2022-09-27,28.540000915527344
2022-09-28,29.40999984741211
2022-09-29,28.959999084472656
2022-09-30,28.6299991607666
2022-10-03,29.43000030517578
2022-10-04,30.709999084472656
2022-10-05,30.459999084472656
2022-10-06,30.110000610351562
2022-10-07,29.790000915527344
2022-10-10,29.350000381469727
2022-10-11,29.75
2022-10-12,29.360000610351562
2022-10-13,30.40999984741211
2022-10-14,29.40999984741211
2022-10-17,29.959999084472656
2022-10-18,30.440000534057617
2022-10-19,30.8799991607666
2022-10-20,30.899999618530273
2022-10-21,31.520000457763672
2022-10-24,31.100000381469727
2022-10-25,31.850000381469727
2022-10-26,32.150001525878906
2022-10-27,32.5
2022-10-28,32.66999816894531
2022-10-31,32.72999954223633
2022-11-01,33.439998626708984
2022-11-02,33.040000915527344
2022-11-03,33.150001525878906
2022-11-04,33.540000915527344
2022-11-07,33.84000015258789
2022-11-08,33.959999084472656
2022-11-09,32.66999816894531
2022-11-10,33.619998931884766
2022-11-11,34.08000183105469
2022-11-14,33.77000045776367
2022-11-15,33.900001525878906
2022-11-16,33.77000045776367
2022-11-17,33.099998474121094
2022-11-18,33.400001525878906
2022-11-21,33.150001525878906
2022-11-22,34.209999084472656
2022-11-23,33.83000183105469
