Date,GWW
2022-02-28,477.05999755859375
2022-03-01,466.3699951171875
2022-03-02,480.8399963378906
2022-03-03,481.29998779296875
2022-03-04,488.010009765625
2022-03-07,490.9700012207031
2022-03-08,490.0799865722656
2022-03-09,487.4100036621094
2022-03-10,484.75
2022-03-11,472.260009765625
2022-03-14,483.3999938964844
2022-03-15,497.75
2022-03-16,491.17999267578125
2022-03-17,498.0899963378906
2022-03-18,501.95001220703125
2022-03-21,506.260009765625
2022-03-22,502.7200012207031
2022-03-23,504.82000732421875
2022-03-24,501.239990234375
2022-03-25,506.3500061035156
2022-03-28,513.0999755859375
2022-03-29,518.8699951171875
2022-03-30,520.6400146484375
2022-03-31,515.7899780273438
2022-04-01,517.5499877929688
2022-04-04,519.3300170898438
2022-04-05,518.8499755859375
2022-04-06,526.1199951171875
2022-04-07,521.4199829101562
2022-04-08,518.5499877929688
2022-04-11,518.6599731445312
2022-04-12,523.5
2022-04-13,527.1099853515625
2022-04-14,491.42999267578125
2022-04-18,490.5799865722656
2022-04-19,507.7300109863281
2022-04-20,511.2799987792969
2022-04-21,511.989990234375
2022-04-22,499.3399963378906
2022-04-25,492.19000244140625
2022-04-26,492.1300048828125
2022-04-27,495.7099914550781
2022-04-28,514.9299926757812
2022-04-29,500.0299987792969
2022-05-02,490.82000732421875
2022-05-03,483.989990234375
2022-05-04,505.04998779296875
2022-05-05,483.1400146484375
2022-05-06,477.9200134277344
2022-05-09,476.82000732421875
2022-05-10,469.3299865722656
2022-05-11,459.17999267578125
2022-05-12,469.239990234375
2022-05-13,477.3299865722656
2022-05-16,473.9599914550781
2022-05-17,482.19000244140625
2022-05-18,465.7799987792969
2022-05-19,466.9599914550781
2022-05-20,464.5400085449219
2022-05-23,467.1000061035156
2022-05-24,472.010009765625
2022-05-25,469.260009765625
2022-05-26,477.42999267578125
2022-05-27,490.3900146484375
2022-05-31,487.07000732421875
2022-06-01,494.3900146484375
2022-06-02,498.67999267578125
2022-06-03,496.2799987792969
2022-06-06,498.7300109863281
2022-06-07,507.1700134277344
2022-06-08,498.5
2022-06-09,494.4200134277344
2022-06-10,488.739990234375
2022-06-13,478.19000244140625
2022-06-14,469.8999938964844
2022-06-15,473.05999755859375
2022-06-16,455.69000244140625
2022-06-17,442.0899963378906
2022-06-21,449.8399963378906
2022-06-22,449.55999755859375
2022-06-23,446.0799865722656
2022-06-24,460.95001220703125
2022-06-27,464.1499938964844
2022-06-28,450.6499938964844
2022-06-29,453.95001220703125
2022-06-30,454.42999267578125
2022-07-01,461.30999755859375
2022-07-05,455.1700134277344
2022-07-06,470.1199951171875
2022-07-07,473.82000732421875
2022-07-08,475.1300048828125
2022-07-11,477.7099914550781
2022-07-12,474.1700134277344
2022-07-13,454.3500061035156
2022-07-14,456.3500061035156
2022-07-15,457.3999938964844
2022-07-18,453.260009765625
2022-07-19,465.92999267578125
2022-07-20,471.45001220703125
2022-07-21,473.32000732421875
2022-07-22,473.8800048828125
2022-07-25,482.1199951171875
2022-07-26,479.57000732421875
2022-07-27,487.6099853515625
2022-07-28,501.8800048828125
