Date,MCK
2022-02-28,274.9599914550781
2022-03-01,271.75
2022-03-02,273.79998779296875
2022-03-03,280.1600036621094
2022-03-04,281.82000732421875
2022-03-07,278.4200134277344
2022-03-08,272.75
2022-03-09,276.5299987792969
2022-03-10,280.1199951171875
2022-03-11,281.2300109863281
2022-03-14,284.8500061035156
2022-03-15,290.6300048828125
2022-03-16,291.3599853515625
2022-03-17,294.9200134277344
2022-03-18,299.04998779296875
2022-03-21,299.94000244140625
2022-03-22,299.9200134277344
2022-03-23,300.0199890136719
2022-03-24,303.95001220703125
2022-03-25,310.4800109863281
2022-03-28,308.489990234375
2022-03-29,307.0
2022-03-30,307.0199890136719
2022-03-31,306.1300048828125
2022-04-01,307.0
2022-04-04,305.760009765625
2022-04-05,307.0
2022-04-06,311.57000732421875
2022-04-07,320.1400146484375
2022-04-08,325.8399963378906
2022-04-11,320.6700134277344
2022-04-12,322.5799865722656
2022-04-13,325.6199951171875
2022-04-14,323.25
2022-04-18,326.6499938964844
2022-04-19,324.70001220703125
2022-04-20,331.5400085449219
2022-04-21,331.45001220703125
2022-04-22,318.17999267578125
2022-04-25,317.30999755859375
2022-04-26,316.260009765625
2022-04-27,317.8500061035156
2022-04-28,320.6000061035156
2022-04-29,309.6099853515625
2022-05-02,306.79998779296875
2022-05-03,307.80999755859375
2022-05-04,319.760009765625
2022-05-05,315.2300109863281
2022-05-06,333.989990234375
2022-05-09,326.4700012207031
2022-05-10,329.8299865722656
2022-05-11,332.0899963378906
2022-05-12,322.010009765625
2022-05-13,324.239990234375
2022-05-16,327.8299865722656
2022-05-17,333.1600036621094
2022-05-18,320.6499938964844
2022-05-19,319.1300048828125
2022-05-20,322.8599853515625
2022-05-23,327.6300048828125
2022-05-24,328.79998779296875
2022-05-25,333.4800109863281
2022-05-26,336.4200134277344
2022-05-27,334.9599914550781
2022-05-31,328.69000244140625
2022-06-01,322.2099914550781
2022-06-02,318.5799865722656
2022-06-03,316.3800048828125
2022-06-06,317.6600036621094
2022-06-07,321.6499938964844
2022-06-08,315.0199890136719
2022-06-09,312.0299987792969
2022-06-10,313.3399963378906
2022-06-13,306.989990234375
2022-06-14,306.5199890136719
2022-06-15,307.67999267578125
2022-06-16,304.0199890136719
2022-06-17,300.57000732421875
2022-06-21,309.3800048828125
2022-06-22,311.04998779296875
2022-06-23,314.6600036621094
2022-06-24,321.54998779296875
2022-06-27,326.239990234375
2022-06-28,321.54998779296875
2022-06-29,328.05999755859375
2022-06-30,326.2099914550781
2022-07-01,329.5299987792969
2022-07-05,322.3800048828125
2022-07-06,321.5400085449219
2022-07-07,321.25
2022-07-08,331.20001220703125
2022-07-11,328.80999755859375
2022-07-12,327.3800048828125
2022-07-13,325.17999267578125
2022-07-14,326.489990234375
2022-07-15,330.0
2022-07-18,326.0299987792969
2022-07-19,329.9700012207031
2022-07-20,326.6000061035156
2022-07-21,327.80999755859375
2022-07-22,330.44000244140625
2022-07-25,336.20001220703125
2022-07-26,337.6700134277344
2022-07-27,339.6199951171875
2022-07-28,340.1199951171875
2022-07-29,341.5799865722656
2022-08-01,342.4200134277344
2022-08-02,335.0899963378906
2022-08-03,327.1000061035156
2022-08-04,337.80999755859375
2022-08-05,346.69000244140625
2022-08-08,347.3800048828125
2022-08-09,354.7699890136719
2022-08-10,359.6099853515625
2022-08-11,358.760009765625
2022-08-12,365.20001220703125
2022-08-15,371.45001220703125
2022-08-16,373.8399963378906
2022-08-17,367.3699951171875
2022-08-18,368.55999755859375
2022-08-19,371.010009765625
2022-08-22,368.1199951171875
2022-08-23,364.0199890136719
2022-08-24,363.2200012207031
2022-08-25,366.8900146484375
2022-08-26,356.7900085449219
2022-08-29,363.0199890136719
2022-08-30,364.010009765625
2022-08-31,367.0
2022-09-01,363.8299865722656
2022-09-02,363.82000732421875
2022-09-06,360.79998779296875
2022-09-07,366.9599914550781
2022-09-08,370.1600036621094
2022-09-09,366.2099914550781
2022-09-12,363.7300109863281
2022-09-13,347.8900146484375
2022-09-14,341.3999938964844
2022-09-15,341.0199890136719
2022-09-16,346.25
2022-09-19,348.95001220703125
2022-09-20,345.55999755859375
2022-09-21,345.4700012207031
2022-09-22,346.9599914550781
2022-09-23,343.2699890136719
2022-09-26,342.8800048828125
2022-09-27,341.4700012207031
2022-09-28,348.94000244140625
2022-09-29,342.0
2022-09-30,339.8699951171875
2022-10-03,346.739990234375
2022-10-04,355.3599853515625
2022-10-05,354.3699951171875
2022-10-06,350.8900146484375
2022-10-07,346.67999267578125
2022-10-10,347.32000732421875
2022-10-11,351.54998779296875
2022-10-12,345.3900146484375
2022-10-13,354.4700012207031
2022-10-14,352.6499938964844
2022-10-17,354.489990234375
2022-10-18,360.8800048828125
2022-10-19,360.6600036621094
2022-10-20,359.19000244140625
2022-10-21,370.6400146484375
2022-10-24,379.1099853515625
2022-10-25,382.42999267578125
2022-10-26,385.4100036621094
2022-10-27,388.07000732421875
2022-10-28,394.7200012207031
2022-10-31,389.3699951171875
2022-11-01,382.0400085449219
2022-11-02,389.7900085449219
2022-11-03,397.5799865722656
2022-11-04,396.6499938964844
2022-11-07,395.79998779296875
2022-11-08,390.7699890136719
2022-11-09,386.2200012207031
2022-11-10,370.32000732421875
2022-11-11,356.2099914550781
2022-11-14,361.0799865722656
2022-11-15,353.67999267578125
2022-11-16,363.20001220703125
2022-11-17,366.54998779296875
2022-11-18,369.7300109863281
2022-11-21,368.7900085449219
2022-11-22,377.7300109863281
2022-11-23,380.75
2022-11-25,383.3399963378906
2022-11-28,380.3399963378906
