Date,BAP
2022-02-28,151.25
2022-03-01,150.14999389648438
2022-03-02,152.50999450683594
2022-03-03,156.0
2022-03-04,154.83999633789062
2022-03-07,147.91000366210938
2022-03-08,153.08999633789062
2022-03-09,162.0800018310547
2022-03-10,160.50999450683594
2022-03-11,161.6199951171875
2022-03-14,163.19000244140625
2022-03-15,164.6999969482422
2022-03-16,167.82000732421875
2022-03-17,168.64999389648438
2022-03-18,167.85000610351562
2022-03-21,168.92999267578125
2022-03-22,174.94000244140625
2022-03-23,177.9199981689453
2022-03-24,174.66000366210938
2022-03-25,176.60000610351562
2022-03-28,177.6300048828125
2022-03-29,177.00999450683594
2022-03-30,173.0
2022-03-31,171.8699951171875
2022-04-01,170.5
2022-04-04,169.38999938964844
2022-04-05,167.63999938964844
2022-04-06,162.1199951171875
2022-04-07,159.02999877929688
2022-04-08,146.2899932861328
2022-04-11,148.33999633789062
2022-04-12,144.7899932861328
2022-04-13,144.60000610351562
2022-04-14,144.80999755859375
2022-04-18,142.3000030517578
2022-04-19,146.07000732421875
2022-04-20,151.6699981689453
2022-04-21,153.83999633789062
2022-04-22,147.1300048828125
2022-04-25,139.83999633789062
2022-04-26,136.02999877929688
2022-04-27,138.3800048828125
2022-04-28,138.88999938964844
2022-04-29,138.88999938964844
2022-05-02,138.11000061035156
2022-05-03,140.6300048828125
2022-05-04,142.91000366210938
2022-05-05,132.8000030517578
2022-05-06,132.82000732421875
2022-05-09,125.87000274658203
2022-05-10,126.62999725341797
2022-05-11,124.5
2022-05-12,120.69999694824219
2022-05-13,131.94000244140625
2022-05-16,132.58999633789062
2022-05-17,140.0500030517578
2022-05-18,132.08999633789062
2022-05-19,133.4199981689453
2022-05-20,134.16000366210938
2022-05-23,138.77000427246094
2022-05-24,138.3300018310547
2022-05-25,139.22000122070312
2022-05-26,140.67999267578125
2022-05-27,142.41000366210938
2022-05-31,140.3800048828125
2022-06-01,137.6300048828125
2022-06-02,143.24000549316406
2022-06-03,140.1300048828125
2022-06-06,136.7899932861328
2022-06-07,135.9499969482422
2022-06-08,135.07000732421875
2022-06-09,131.4600067138672
2022-06-10,125.77999877929688
2022-06-13,123.87999725341797
2022-06-14,123.13999938964844
2022-06-15,127.30999755859375
2022-06-16,122.52999877929688
2022-06-17,124.9000015258789
2022-06-21,126.54000091552734
2022-06-22,124.62999725341797
2022-06-23,123.87000274658203
2022-06-24,124.91000366210938
2022-06-27,124.55000305175781
2022-06-28,123.7300033569336
2022-06-29,122.69999694824219
2022-06-30,119.91000366210938
2022-07-01,122.48999786376953
2022-07-05,120.61000061035156
2022-07-06,116.97000122070312
2022-07-07,122.93000030517578
2022-07-08,122.87999725341797
2022-07-11,120.38999938964844
2022-07-12,119.73999786376953
2022-07-13,118.11000061035156
2022-07-14,115.02999877929688
2022-07-15,115.94999694824219
2022-07-18,119.58000183105469
2022-07-19,126.70999908447266
2022-07-20,125.73999786376953
2022-07-21,125.54000091552734
2022-07-22,125.3499984741211
2022-07-25,130.5
2022-07-26,129.50999450683594
2022-07-27,127.81999969482422
2022-07-28,131.08999633789062
2022-07-29,129.39999389648438
2022-08-01,129.97000122070312
2022-08-02,129.05999755859375
2022-08-03,130.5
2022-08-04,129.9199981689453
2022-08-05,131.64999389648438
2022-08-08,138.0800018310547
2022-08-09,136.5399932861328
2022-08-10,141.8000030517578
2022-08-11,141.85000610351562
2022-08-12,138.6300048828125
2022-08-15,136.3000030517578
2022-08-16,138.2899932861328
2022-08-17,137.08999633789062
2022-08-18,135.05999755859375
2022-08-19,132.3699951171875
2022-08-22,131.77000427246094
2022-08-23,132.0399932861328
2022-08-24,130.35000610351562
2022-08-25,133.4600067138672
2022-08-26,130.8800048828125
2022-08-29,129.44000244140625
2022-08-30,128.17999267578125
2022-08-31,128.88999938964844
2022-09-01,126.45999908447266
2022-09-02,126.8499984741211
2022-09-06,126.41999816894531
2022-09-07,127.54000091552734
2022-09-08,129.3800048828125
2022-09-09,130.85000610351562
2022-09-12,131.5800018310547
2022-09-13,127.2300033569336
2022-09-14,127.58000183105469
2022-09-15,127.5999984741211
2022-09-16,129.22999572753906
2022-09-19,130.11000061035156
2022-09-20,131.0399932861328
2022-09-21,131.22999572753906
2022-09-22,129.00999450683594
2022-09-23,122.93000030517578
2022-09-26,118.4000015258789
2022-09-27,119.91000366210938
2022-09-28,125.54000091552734
2022-09-29,122.55000305175781
2022-09-30,122.80000305175781
2022-10-03,126.4000015258789
2022-10-04,133.50999450683594
2022-10-05,130.61000061035156
2022-10-06,129.7100067138672
2022-10-07,130.67999267578125
2022-10-10,127.8499984741211
2022-10-11,127.8499984741211
2022-10-12,129.3800048828125
2022-10-13,130.4199981689453
2022-10-14,127.91000366210938
2022-10-17,130.27999877929688
2022-10-18,133.3000030517578
2022-10-19,132.0800018310547
2022-10-20,132.0800018310547
2022-10-21,133.14999389648438
2022-10-24,134.49000549316406
2022-10-25,137.7899932861328
2022-10-26,140.07000732421875
2022-10-27,143.0800018310547
2022-10-28,143.94000244140625
2022-10-31,146.36000061035156
2022-11-01,152.27000427246094
2022-11-02,144.14999389648438
2022-11-03,144.5
2022-11-04,152.64999389648438
2022-11-07,153.55999755859375
2022-11-08,154.0500030517578
2022-11-09,152.0
2022-11-10,154.97999572753906
2022-11-11,156.97999572753906
2022-11-14,156.3800048828125
2022-11-15,157.0
2022-11-16,155.8300018310547
2022-11-17,151.7100067138672
2022-11-18,151.13999938964844
2022-11-21,150.16000366210938
2022-11-22,153.32000732421875
2022-11-23,153.9199981689453
