Date,CVNA
2022-02-28,150.47000122070312
2022-03-01,145.05999755859375
2022-03-02,138.61000061035156
2022-03-03,123.33000183105469
2022-03-04,103.83999633789062
2022-03-07,104.94000244140625
2022-03-08,105.19999694824219
2022-03-09,116.55000305175781
2022-03-10,113.4800033569336
2022-03-11,113.79000091552734
2022-03-14,105.4800033569336
2022-03-15,120.44000244140625
2022-03-16,129.4499969482422
2022-03-17,134.86000061035156
2022-03-18,142.42999267578125
2022-03-21,136.30999755859375
2022-03-22,141.27999877929688
2022-03-23,141.19000244140625
2022-03-24,148.64999389648438
2022-03-25,128.52000427246094
2022-03-28,129.86000061035156
2022-03-29,138.69000244140625
2022-03-30,125.9800033569336
2022-03-31,119.29000091552734
2022-04-01,119.45999908447266
2022-04-04,132.9600067138672
2022-04-05,121.45999908447266
2022-04-06,113.7300033569336
2022-04-07,111.2300033569336
2022-04-08,107.30999755859375
2022-04-11,106.01000213623047
2022-04-12,100.77999877929688
2022-04-13,105.08999633789062
2022-04-14,101.52999877929688
2022-04-18,96.55000305175781
2022-04-19,101.7699966430664
2022-04-20,92.5
2022-04-21,83.13999938964844
2022-04-22,83.75
2022-04-25,81.20999908447266
2022-04-26,70.48999786376953
2022-04-27,65.73999786376953
2022-04-28,64.37000274658203
2022-04-29,57.959999084472656
2022-05-02,60.470001220703125
2022-05-03,57.33000183105469
2022-05-04,59.650001525878906
2022-05-05,48.91999816894531
2022-05-06,46.47999954223633
2022-05-09,38.77000045776367
2022-05-10,36.68000030517578
2022-05-11,30.0
2022-05-12,37.400001525878906
2022-05-13,38.310001373291016
2022-05-16,38.400001525878906
2022-05-17,41.599998474121094
2022-05-18,35.04999923706055
2022-05-19,32.880001068115234
2022-05-20,33.56999969482422
2022-05-23,30.239999771118164
2022-05-24,26.649999618530273
2022-05-25,30.959999084472656
2022-05-26,31.09000015258789
2022-05-27,33.849998474121094
2022-05-31,29.440000534057617
2022-06-01,26.489999771118164
2022-06-02,30.079999923706055
2022-06-03,26.520000457763672
2022-06-06,24.8799991607666
2022-06-07,25.40999984741211
2022-06-08,25.200000762939453
2022-06-09,23.1299991607666
2022-06-10,22.010000228881836
2022-06-13,21.030000686645508
2022-06-14,20.920000076293945
2022-06-15,24.43000030517578
2022-06-16,21.399999618530273
2022-06-17,24.270000457763672
2022-06-21,24.90999984741211
2022-06-22,25.139999389648438
2022-06-23,28.639999389648438
2022-06-24,31.520000457763672
2022-06-27,30.34000015258789
2022-06-28,24.739999771118164
2022-06-29,23.110000610351562
2022-06-30,22.579999923706055
2022-07-01,21.8700008392334
2022-07-05,27.579999923706055
2022-07-06,26.299999237060547
2022-07-07,26.780000686645508
2022-07-08,25.09000015258789
2022-07-11,22.09000015258789
2022-07-12,22.06999969482422
2022-07-13,20.969999313354492
2022-07-14,20.229999542236328
2022-07-15,21.25
2022-07-18,22.25
2022-07-19,22.850000381469727
2022-07-20,27.3799991607666
2022-07-21,28.209999084472656
2022-07-22,25.3799991607666
2022-07-25,25.200000762939453
2022-07-26,24.18000030517578
2022-07-27,26.360000610351562
2022-07-28,27.18000030517578
2022-07-29,29.149999618530273
2022-08-01,30.170000076293945
2022-08-02,34.04999923706055
2022-08-03,34.900001525878906
2022-08-04,33.540000915527344
2022-08-05,46.97999954223633
2022-08-08,46.459999084472656
2022-08-09,41.43000030517578
2022-08-10,47.310001373291016
2022-08-11,50.130001068115234
2022-08-12,52.099998474121094
2022-08-15,51.0
2022-08-16,54.59000015258789
2022-08-17,49.619998931884766
2022-08-18,47.86000061035156
2022-08-19,42.29999923706055
2022-08-22,35.959999084472656
2022-08-23,34.70000076293945
2022-08-24,36.09000015258789
2022-08-25,38.4900016784668
2022-08-26,35.540000915527344
2022-08-29,34.209999084472656
2022-08-30,33.09000015258789
2022-08-31,32.9900016784668
2022-09-01,32.779998779296875
2022-09-02,31.579999923706055
2022-09-06,31.489999771118164
