Date,ING
2022-02-28,11.640000343322754
2022-03-01,10.3100004196167
2022-03-02,11.029999732971191
2022-03-03,10.890000343322754
2022-03-04,9.720000267028809
2022-03-07,9.029999732971191
2022-03-08,9.520000457763672
2022-03-09,10.399999618530273
2022-03-10,9.890000343322754
2022-03-11,9.350000381469727
2022-03-14,9.829999923706055
2022-03-15,9.979999542236328
2022-03-16,10.600000381469727
2022-03-17,10.5600004196167
2022-03-18,10.5
2022-03-21,10.350000381469727
2022-03-22,10.6899995803833
2022-03-23,10.460000038146973
2022-03-24,10.390000343322754
2022-03-25,10.369999885559082
2022-03-28,10.300000190734863
2022-03-29,11.09000015258789
2022-03-30,10.779999732971191
2022-03-31,10.430000305175781
2022-04-01,10.579999923706055
2022-04-04,10.729999542236328
2022-04-05,10.40999984741211
2022-04-06,10.109999656677246
2022-04-07,10.210000038146973
2022-04-08,10.279999732971191
2022-04-11,10.15999984741211
2022-04-12,10.010000228881836
2022-04-13,10.229999542236328
2022-04-14,10.170000076293945
2022-04-18,10.229999542236328
2022-04-19,10.350000381469727
2022-04-20,10.479999542236328
2022-04-21,10.489999771118164
2022-04-22,10.260000228881836
2022-04-25,10.1899995803833
2022-04-26,9.800000190734863
2022-04-27,9.390000343322754
2022-04-28,9.520000457763672
2022-04-29,9.34000015258789
2022-05-02,9.510000228881836
2022-05-03,9.75
2022-05-04,9.890000343322754
2022-05-05,9.569999694824219
2022-05-06,9.149999618530273
2022-05-09,9.15999984741211
2022-05-10,9.4399995803833
2022-05-11,9.279999732971191
2022-05-12,9.40999984741211
2022-05-13,9.699999809265137
2022-05-16,9.699999809265137
2022-05-17,10.079999923706055
2022-05-18,9.869999885559082
2022-05-19,10.029999732971191
2022-05-20,9.979999542236328
2022-05-23,10.40999984741211
2022-05-24,10.619999885559082
2022-05-25,10.609999656677246
2022-05-26,10.800000190734863
2022-05-27,11.0
2022-05-31,11.319999694824219
2022-06-01,11.109999656677246
2022-06-02,11.3100004196167
2022-06-03,11.050000190734863
2022-06-06,11.1899995803833
2022-06-07,11.239999771118164
2022-06-08,11.130000114440918
2022-06-09,10.739999771118164
2022-06-10,10.260000228881836
2022-06-13,9.739999771118164
2022-06-14,10.029999732971191
2022-06-15,10.300000190734863
2022-06-16,10.119999885559082
2022-06-17,10.119999885559082
2022-06-21,10.619999885559082
2022-06-22,10.609999656677246
2022-06-23,10.170000076293945
2022-06-24,10.359999656677246
2022-06-27,10.430000305175781
2022-06-28,10.289999961853027
2022-06-29,10.170000076293945
2022-06-30,9.920000076293945
2022-07-01,9.9399995803833
2022-07-05,9.569999694824219
2022-07-06,9.300000190734863
2022-07-07,9.399999618530273
2022-07-08,9.579999923706055
2022-07-11,9.350000381469727
2022-07-12,9.210000038146973
2022-07-13,9.130000114440918
2022-07-14,8.670000076293945
2022-07-15,8.739999771118164
2022-07-18,8.9399995803833
2022-07-19,9.4399995803833
2022-07-20,9.260000228881836
2022-07-21,9.380000114440918
2022-07-22,9.210000038146973
2022-07-25,9.539999961853027
2022-07-26,9.3100004196167
2022-07-27,9.5
2022-07-28,9.569999694824219
2022-07-29,9.729999542236328
2022-08-01,9.630000114440918
2022-08-02,9.550000190734863
2022-08-03,9.739999771118164
2022-08-04,9.5
2022-08-05,9.739999771118164
2022-08-08,9.819999694824219
2022-08-09,9.75
2022-08-10,9.869999885559082
2022-08-11,9.970000267028809
2022-08-12,9.869999885559082
2022-08-15,9.699999809265137
2022-08-16,9.739999771118164
2022-08-17,9.479999542236328
2022-08-18,9.430000305175781
2022-08-19,9.15999984741211
2022-08-22,8.84000015258789
2022-08-23,8.989999771118164
2022-08-24,9.029999732971191
2022-08-25,9.039999961853027
2022-08-26,8.680000305175781
2022-08-29,8.699999809265137
2022-08-30,8.859999656677246
2022-08-31,8.779999732971191
2022-09-01,8.619999885559082
2022-09-02,8.600000381469727
2022-09-06,8.5600004196167
2022-09-07,8.649999618530273
2022-09-08,8.890000343322754
2022-09-09,9.170000076293945
2022-09-12,9.680000305175781
2022-09-13,9.470000267028809
2022-09-14,9.579999923706055
2022-09-15,9.859999656677246
2022-09-16,9.800000190734863
2022-09-19,9.850000381469727
2022-09-20,9.710000038146973
2022-09-21,9.479999542236328
2022-09-22,9.5
2022-09-23,8.9399995803833
2022-09-26,8.6899995803833
2022-09-27,8.479999542236328
2022-09-28,8.390000343322754
2022-09-29,8.390000343322754
2022-09-30,8.5
2022-10-03,8.710000038146973
2022-10-04,9.5
2022-10-05,9.130000114440918
2022-10-06,8.869999885559082
2022-10-07,8.729999542236328
2022-10-10,8.59000015258789
2022-10-11,8.420000076293945
2022-10-12,8.5
2022-10-13,8.920000076293945
2022-10-14,8.920000076293945
2022-10-17,9.170000076293945
2022-10-18,9.329999923706055
2022-10-19,9.25
2022-10-20,9.239999771118164
2022-10-21,9.5600004196167
2022-10-24,9.75
2022-10-25,9.84000015258789
2022-10-26,9.859999656677246
2022-10-27,9.8100004196167
2022-10-28,9.899999618530273
2022-10-31,9.819999694824219
2022-11-01,9.960000038146973
2022-11-02,9.640000343322754
2022-11-03,10.430000305175781
2022-11-04,10.84000015258789
2022-11-07,11.069999694824219
2022-11-08,11.029999732971191
2022-11-09,10.859999656677246
2022-11-10,11.140000343322754
2022-11-11,11.520000457763672
2022-11-14,11.470000267028809
2022-11-15,11.539999961853027
2022-11-16,11.59000015258789
2022-11-17,11.680000305175781
2022-11-18,11.75
2022-11-21,11.640000343322754
2022-11-22,11.880000114440918
2022-11-23,11.850000381469727
2022-11-25,12.039999961853027
