Date,DRI
2022-02-28,145.22000122070312
2022-03-01,139.88999938964844
2022-03-02,140.47000122070312
2022-03-03,133.13999938964844
2022-03-04,132.0399932861328
2022-03-07,117.79000091552734
2022-03-08,122.70999908447266
2022-03-09,128.55999755859375
2022-03-10,130.3699951171875
2022-03-11,129.0
2022-03-14,124.19000244140625
2022-03-15,124.37999725341797
2022-03-16,129.67999267578125
2022-03-17,130.44000244140625
2022-03-18,133.6300048828125
2022-03-21,131.17999267578125
2022-03-22,132.0
2022-03-23,130.94000244140625
2022-03-24,132.39999389648438
2022-03-25,129.8000030517578
2022-03-28,130.32000732421875
2022-03-29,134.36000061035156
2022-03-30,131.66000366210938
2022-03-31,132.9499969482422
2022-04-01,130.07000732421875
2022-04-04,131.2899932861328
2022-04-05,129.52000427246094
2022-04-06,128.49000549316406
2022-04-07,126.0
2022-04-08,126.43000030517578
2022-04-11,126.54000091552734
2022-04-12,130.5399932861328
2022-04-13,131.5800018310547
2022-04-14,131.4499969482422
2022-04-18,132.63999938964844
2022-04-19,135.39999389648438
2022-04-20,136.5800018310547
2022-04-21,138.02999877929688
2022-04-22,134.0500030517578
2022-04-25,138.1300048828125
2022-04-26,131.5
2022-04-27,130.7100067138672
2022-04-28,133.89999389648438
2022-04-29,131.72999572753906
2022-05-02,132.8000030517578
2022-05-03,130.64999389648438
2022-05-04,131.47999572753906
2022-05-05,127.51000213623047
2022-05-06,130.10000610351562
2022-05-09,125.11000061035156
2022-05-10,126.9000015258789
2022-05-11,121.51000213623047
2022-05-12,124.18000030517578
2022-05-13,128.07000732421875
2022-05-16,126.37999725341797
2022-05-17,129.00999450683594
2022-05-18,119.4800033569336
2022-05-19,116.66999816894531
2022-05-20,116.25
2022-05-23,116.41000366210938
2022-05-24,114.7699966430664
2022-05-25,120.12000274658203
2022-05-26,125.08999633789062
2022-05-27,126.04000091552734
2022-05-31,125.0
2022-06-01,123.93000030517578
2022-06-02,126.87999725341797
2022-06-03,125.77999877929688
2022-06-06,125.91999816894531
2022-06-07,124.91000366210938
2022-06-08,124.37999725341797
