Date,TRI
2022-02-28,101.05000305175781
2022-03-01,102.0
2022-03-02,103.86000061035156
2022-03-03,104.22000122070312
2022-03-04,106.30000305175781
2022-03-07,105.05999755859375
2022-03-08,102.43000030517578
2022-03-09,104.55999755859375
2022-03-10,103.29000091552734
2022-03-11,103.55000305175781
2022-03-14,102.52999877929688
2022-03-15,102.87000274658203
2022-03-16,104.16000366210938
2022-03-17,107.02999877929688
2022-03-18,108.5
2022-03-21,107.75
2022-03-22,106.75
2022-03-23,105.63999938964844
2022-03-24,106.08000183105469
2022-03-25,105.94000244140625
2022-03-28,107.41999816894531
2022-03-29,108.0
2022-03-30,109.0999984741211
2022-03-31,108.8499984741211
2022-04-01,108.0199966430664
2022-04-04,108.6500015258789
2022-04-05,109.05999755859375
2022-04-06,108.0999984741211
2022-04-07,108.73999786376953
2022-04-08,108.79000091552734
2022-04-11,107.61000061035156
2022-04-12,106.12999725341797
2022-04-13,108.87999725341797
2022-04-14,106.5
2022-04-18,105.43000030517578
2022-04-19,106.41999816894531
2022-04-20,106.91999816894531
2022-04-21,104.7300033569336
2022-04-22,102.38999938964844
2022-04-25,103.76000213623047
2022-04-26,100.58000183105469
2022-04-27,101.87999725341797
2022-04-28,102.93000030517578
2022-04-29,99.95999908447266
2022-05-02,99.62999725341797
2022-05-03,99.06999969482422
2022-05-04,97.56999969482422
2022-05-05,94.66000366210938
2022-05-06,94.38999938964844
2022-05-09,94.19999694824219
2022-05-10,93.70999908447266
2022-05-11,92.58000183105469
2022-05-12,92.97000122070312
2022-05-13,94.8499984741211
2022-05-16,95.81999969482422
2022-05-17,96.66999816894531
2022-05-18,94.77999877929688
2022-05-19,95.61000061035156
2022-05-20,96.7699966430664
2022-05-23,97.3499984741211
2022-05-24,96.55999755859375
2022-05-25,95.31999969482422
2022-05-26,97.30000305175781
2022-05-27,98.75
2022-05-31,99.04000091552734
2022-06-01,98.19999694824219
2022-06-02,100.70999908447266
2022-06-03,99.86000061035156
2022-06-06,100.02999877929688
