Date,INVH
2022-02-28,37.79999923706055
2022-03-01,37.45000076293945
2022-03-02,38.900001525878906
2022-03-03,38.650001525878906
2022-03-04,39.20000076293945
2022-03-07,38.2599983215332
2022-03-08,38.619998931884766
2022-03-09,39.369998931884766
2022-03-10,39.40999984741211
2022-03-11,39.45000076293945
2022-03-14,39.099998474121094
2022-03-15,39.5
2022-03-16,39.79999923706055
2022-03-17,40.70000076293945
2022-03-18,40.689998626708984
2022-03-21,40.560001373291016
2022-03-22,40.38999938964844
2022-03-23,39.65999984741211
2022-03-24,40.09000015258789
2022-03-25,40.470001220703125
2022-03-28,40.470001220703125
2022-03-29,41.47999954223633
2022-03-30,40.90999984741211
2022-03-31,40.18000030517578
2022-04-01,41.040000915527344
2022-04-04,40.36000061035156
2022-04-05,40.22999954223633
2022-04-06,40.880001068115234
2022-04-07,40.7599983215332
2022-04-08,41.2599983215332
2022-04-11,41.04999923706055
2022-04-12,41.41999816894531
2022-04-13,41.83000183105469
2022-04-14,41.95000076293945
2022-04-18,41.689998626708984
2022-04-19,43.040000915527344
2022-04-20,43.90999984741211
2022-04-21,43.7599983215332
2022-04-22,43.08000183105469
2022-04-25,42.810001373291016
2022-04-26,42.0099983215332
2022-04-27,41.709999084472656
2022-04-28,41.20000076293945
2022-04-29,39.81999969482422
2022-05-02,38.38999938964844
2022-05-03,38.47999954223633
2022-05-04,38.75
2022-05-05,38.119998931884766
2022-05-06,37.9900016784668
2022-05-09,35.81999969482422
2022-05-10,35.849998474121094
2022-05-11,35.83000183105469
2022-05-12,35.869998931884766
2022-05-13,36.91999816894531
2022-05-16,36.459999084472656
2022-05-17,36.849998474121094
2022-05-18,35.68000030517578
2022-05-19,35.75
2022-05-20,36.209999084472656
2022-05-23,36.720001220703125
2022-05-24,37.599998474121094
2022-05-25,37.599998474121094
2022-05-26,37.36000061035156
2022-05-27,38.540000915527344
2022-05-31,37.720001220703125
2022-06-01,38.040000915527344
2022-06-02,38.79999923706055
2022-06-03,38.290000915527344
2022-06-06,37.58000183105469
2022-06-07,38.20000076293945
2022-06-08,37.36000061035156
2022-06-09,36.65999984741211
2022-06-10,36.09000015258789
2022-06-13,33.95000076293945
2022-06-14,33.630001068115234
2022-06-15,34.2400016784668
2022-06-16,33.779998779296875
2022-06-17,33.7599983215332
2022-06-21,34.029998779296875
2022-06-22,34.04999923706055
2022-06-23,35.08000183105469
2022-06-24,35.5099983215332
2022-06-27,35.540000915527344
2022-06-28,35.779998779296875
2022-06-29,35.63999938964844
2022-06-30,35.58000183105469
2022-07-01,35.7400016784668
2022-07-05,36.09000015258789
2022-07-06,36.380001068115234
2022-07-07,36.59000015258789
2022-07-08,36.470001220703125
2022-07-11,36.5
2022-07-12,34.90999984741211
2022-07-13,35.310001373291016
2022-07-14,35.08000183105469
2022-07-15,35.81999969482422
2022-07-18,35.58000183105469
2022-07-19,35.66999816894531
2022-07-20,35.709999084472656
2022-07-21,36.220001220703125
2022-07-22,36.45000076293945
2022-07-25,36.459999084472656
2022-07-26,36.61000061035156
2022-07-27,36.970001220703125
2022-07-28,38.619998931884766
2022-07-29,39.029998779296875
2022-08-01,38.5099983215332
2022-08-02,37.97999954223633
2022-08-03,37.66999816894531
2022-08-04,37.91999816894531
2022-08-05,37.880001068115234
2022-08-08,37.91999816894531
2022-08-09,38.45000076293945
2022-08-10,38.939998626708984
2022-08-11,38.88999938964844
2022-08-12,39.59000015258789
2022-08-15,39.779998779296875
2022-08-16,39.810001373291016
2022-08-17,39.72999954223633
2022-08-18,38.79999923706055
2022-08-19,38.779998779296875
2022-08-22,38.2599983215332
2022-08-23,37.4900016784668
2022-08-24,37.68000030517578
2022-08-25,38.22999954223633
2022-08-26,37.279998779296875
2022-08-29,36.720001220703125
2022-08-30,36.02000045776367
2022-08-31,36.279998779296875
2022-09-01,36.54999923706055
2022-09-02,36.470001220703125
2022-09-06,38.18000030517578
2022-09-07,38.880001068115234
2022-09-08,38.869998931884766
2022-09-09,39.54999923706055
2022-09-12,40.11000061035156
2022-09-13,38.90999984741211
2022-09-14,38.209999084472656
2022-09-15,37.20000076293945
2022-09-16,36.86000061035156
2022-09-19,36.72999954223633
2022-09-20,35.70000076293945
2022-09-21,34.869998931884766
2022-09-22,35.0
2022-09-23,35.029998779296875
2022-09-26,34.33000183105469
2022-09-27,33.900001525878906
2022-09-28,34.4900016784668
2022-09-29,33.880001068115234
2022-09-30,33.77000045776367
2022-10-03,34.93000030517578
2022-10-04,35.040000915527344
2022-10-05,34.2599983215332
2022-10-06,33.70000076293945
2022-10-07,32.349998474121094
2022-10-10,32.13999938964844
2022-10-11,32.970001220703125
2022-10-12,32.20000076293945
2022-10-13,32.4900016784668
2022-10-14,31.600000381469727
2022-10-17,32.86000061035156
2022-10-18,33.290000915527344
2022-10-19,32.5
2022-10-20,32.540000915527344
2022-10-21,33.099998474121094
2022-10-24,32.880001068115234
2022-10-25,33.959999084472656
2022-10-26,33.650001525878906
2022-10-27,31.049999237060547
2022-10-28,32.0099983215332
2022-10-31,31.690000534057617
2022-11-01,31.649999618530273
2022-11-02,31.459999084472656
2022-11-03,31.360000610351562
2022-11-04,31.030000686645508
2022-11-07,29.709999084472656
2022-11-08,30.110000610351562
2022-11-09,29.809999465942383
2022-11-10,32.290000915527344
2022-11-11,31.979999542236328
2022-11-14,31.299999237060547
2022-11-15,31.670000076293945
2022-11-16,31.18000030517578
2022-11-17,30.780000686645508
2022-11-18,31.270000457763672
2022-11-21,31.25
2022-11-22,31.579999923706055
2022-11-23,31.600000381469727
