Date,ITUB
2022-02-28,4.829999923706055
2022-03-01,4.739999771118164
2022-03-02,4.860000133514404
2022-03-03,4.929999828338623
2022-03-04,4.840000152587891
2022-03-07,4.670000076293945
2022-03-08,4.699999809265137
2022-03-09,4.949999809265137
2022-03-10,4.96999979019165
2022-03-11,4.849999904632568
2022-03-14,4.849999904632568
2022-03-15,4.840000152587891
2022-03-16,4.96999979019165
2022-03-17,5.139999866485596
2022-03-18,5.21999979019165
2022-03-21,5.420000076293945
2022-03-22,5.519999980926514
2022-03-23,5.579999923706055
2022-03-24,5.639999866485596
2022-03-25,5.71999979019165
2022-03-28,5.679999828338623
2022-03-29,5.800000190734863
2022-03-30,5.78000020980835
2022-03-31,5.710000038146973
2022-04-01,5.849999904632568
2022-04-04,5.860000133514404
2022-04-05,5.659999847412109
2022-04-06,5.610000133514404
2022-04-07,5.579999923706055
2022-04-08,5.579999923706055
2022-04-11,5.630000114440918
2022-04-12,5.510000228881836
2022-04-13,5.559999942779541
2022-04-14,5.539999961853027
2022-04-18,5.610000133514404
2022-04-19,5.53000020980835
2022-04-20,5.599999904632568
2022-04-21,5.420000076293945
2022-04-22,5.269999980926514
2022-04-25,5.179999828338623
2022-04-26,4.909999847412109
2022-04-27,4.880000114440918
2022-04-28,4.880000114440918
2022-04-29,4.789999961853027
2022-05-02,4.639999866485596
2022-05-03,4.760000228881836
2022-05-04,4.78000020980835
2022-05-05,4.599999904632568
2022-05-06,4.650000095367432
2022-05-09,4.46999979019165
2022-05-10,4.510000228881836
2022-05-11,4.619999885559082
2022-05-12,4.730000019073486
2022-05-13,4.849999904632568
2022-05-16,4.929999828338623
2022-05-17,5.039999961853027
2022-05-18,4.949999809265137
2022-05-19,5.010000228881836
2022-05-20,5.090000152587891
2022-05-23,5.300000190734863
2022-05-24,5.389999866485596
2022-05-25,5.289999961853027
2022-05-26,5.409999847412109
2022-05-27,5.460000038146973
2022-05-31,5.480000019073486
2022-06-01,5.340000152587891
2022-06-02,5.369999885559082
2022-06-03,5.329999923706055
2022-06-06,5.28000020980835
2022-06-07,5.230000019073486
2022-06-08,5.099999904632568
2022-06-09,4.949999809265137
2022-06-10,4.769999980926514
2022-06-13,4.570000171661377
2022-06-14,4.539999961853027
2022-06-15,4.639999866485596
2022-06-16,4.429999828338623
2022-06-17,4.489999771118164
2022-06-21,4.650000095367432
2022-06-22,4.570000171661377
