Date,SU
2022-02-28,30.530000686645508
2022-03-01,30.760000228881836
2022-03-02,31.290000915527344
2022-03-03,30.940000534057617
2022-03-04,31.469999313354492
2022-03-07,32.86000061035156
2022-03-08,32.189998626708984
2022-03-09,31.290000915527344
2022-03-10,31.690000534057617
2022-03-11,31.760000228881836
2022-03-14,30.729999542236328
2022-03-15,29.709999084472656
2022-03-16,29.920000076293945
2022-03-17,31.170000076293945
2022-03-18,31.1200008392334
2022-03-21,32.459999084472656
2022-03-22,32.43000030517578
2022-03-23,32.95000076293945
2022-03-24,32.900001525878906
2022-03-25,34.04999923706055
2022-03-28,32.75
2022-03-29,32.59000015258789
2022-03-30,33.099998474121094
2022-03-31,32.59000015258789
2022-04-01,32.77000045776367
2022-04-04,33.43000030517578
2022-04-05,32.9900016784668
2022-04-06,32.38999938964844
2022-04-07,32.650001525878906
2022-04-08,32.81999969482422
2022-04-11,32.029998779296875
2022-04-12,32.720001220703125
2022-04-13,33.47999954223633
2022-04-14,33.7599983215332
2022-04-18,34.2599983215332
2022-04-19,34.060001373291016
2022-04-20,34.52000045776367
2022-04-21,33.29999923706055
2022-04-22,32.29999923706055
2022-04-25,31.260000228881836
2022-04-26,31.68000030517578
2022-04-27,32.880001068115234
2022-04-28,36.88999938964844
2022-04-29,35.939998626708984
2022-05-02,36.04999923706055
2022-05-03,37.06999969482422
2022-05-04,37.38999938964844
2022-05-05,36.90999984741211
2022-05-06,37.04999923706055
2022-05-09,34.810001373291016
2022-05-10,34.34000015258789
2022-05-11,35.599998474121094
2022-05-12,35.279998779296875
2022-05-13,36.34000015258789
2022-05-16,37.5099983215332
2022-05-17,38.349998474121094
2022-05-18,37.7400016784668
2022-05-19,37.939998626708984
2022-05-20,38.08000183105469
2022-05-23,39.41999816894531
2022-05-24,38.7599983215332
2022-05-25,39.400001525878906
2022-05-26,39.58000183105469
2022-05-27,40.61000061035156
2022-05-31,40.380001068115234
2022-06-01,40.939998626708984
2022-06-02,40.41999816894531
2022-06-03,40.869998931884766
2022-06-06,41.310001373291016
2022-06-07,41.970001220703125
2022-06-08,42.4900016784668
2022-06-09,41.779998779296875
2022-06-10,41.310001373291016
2022-06-13,39.56999969482422
2022-06-14,39.369998931884766
2022-06-15,38.79999923706055
2022-06-16,36.86000061035156
2022-06-17,34.31999969482422
2022-06-21,37.25
2022-06-22,35.220001220703125
2022-06-23,32.90999984741211
2022-06-24,34.540000915527344
2022-06-27,35.65999984741211
2022-06-28,36.599998474121094
2022-06-29,35.310001373291016
2022-06-30,35.06999969482422
2022-07-01,35.56999969482422
2022-07-05,33.22999954223633
2022-07-06,32.540000915527344
2022-07-07,33.349998474121094
2022-07-08,32.7400016784668
2022-07-11,31.940000534057617
2022-07-12,30.510000228881836
2022-07-13,30.579999923706055
2022-07-14,29.530000686645508
2022-07-15,30.190000534057617
2022-07-18,30.6200008392334
2022-07-19,31.8700008392334
2022-07-20,31.889999389648438
2022-07-21,31.3700008392334
2022-07-22,30.81999969482422
2022-07-25,31.860000610351562
2022-07-26,31.420000076293945
2022-07-27,32.349998474121094
2022-07-28,32.689998626708984
2022-07-29,33.939998626708984
2022-08-01,33.38999938964844
2022-08-02,33.34000015258789
2022-08-03,32.16999816894531
2022-08-04,30.729999542236328
2022-08-05,30.280000686645508
2022-08-08,30.389999389648438
2022-08-09,30.43000030517578
2022-08-10,30.850000381469727
2022-08-11,31.850000381469727
2022-08-12,32.75
2022-08-15,31.989999771118164
2022-08-16,31.81999969482422
2022-08-17,32.34000015258789
2022-08-18,33.029998779296875
2022-08-19,32.619998931884766
2022-08-22,32.849998474121094
2022-08-23,34.31999969482422
2022-08-24,34.61000061035156
2022-08-25,34.90999984741211
2022-08-26,34.310001373291016
2022-08-29,34.83000183105469
2022-08-30,32.95000076293945
2022-08-31,32.31999969482422
2022-09-01,31.09000015258789
2022-09-02,31.809999465942383
2022-09-06,31.059999465942383
2022-09-07,30.469999313354492
2022-09-08,30.75
2022-09-09,31.649999618530273
2022-09-12,32.43000030517578
2022-09-13,31.579999923706055
2022-09-14,32.189998626708984
2022-09-15,31.139999389648438
2022-09-16,30.739999771118164
2022-09-19,31.209999084472656
2022-09-20,31.18000030517578
2022-09-21,30.350000381469727
2022-09-22,30.18000030517578
2022-09-23,27.200000762939453
2022-09-26,26.649999618530273
2022-09-27,27.020000457763672
2022-09-28,28.459999084472656
2022-09-29,28.31999969482422
2022-09-30,28.149999618530273
