Date,BSBR
2022-02-28,5.869999885559082
2022-03-01,5.739999771118164
2022-03-02,6.010000228881836
2022-03-03,6.170000076293945
2022-03-04,5.989999771118164
2022-03-07,5.769999980926514
2022-03-08,5.829999923706055
2022-03-09,6.440000057220459
2022-03-10,6.360000133514404
2022-03-11,6.340000152587891
2022-03-14,6.550000190734863
2022-03-15,6.420000076293945
2022-03-16,6.650000095367432
2022-03-17,6.829999923706055
2022-03-18,6.940000057220459
2022-03-21,7.190000057220459
2022-03-22,7.309999942779541
2022-03-23,7.420000076293945
2022-03-24,7.389999866485596
2022-03-25,7.75
2022-03-28,7.590000152587891
2022-03-29,7.710000038146973
2022-03-30,7.690000057220459
2022-03-31,7.699999809265137
2022-04-01,7.900000095367432
2022-04-04,7.869999885559082
2022-04-05,7.630000114440918
2022-04-06,7.519999980926514
2022-04-07,7.639999866485596
2022-04-08,7.599999904632568
2022-04-11,7.690000057220459
2022-04-12,7.559999942779541
2022-04-13,7.570000171661377
2022-04-14,7.449999809265137
2022-04-18,7.610000133514404
2022-04-19,7.590000152587891
2022-04-20,7.639999866485596
2022-04-21,7.420000076293945
2022-04-22,7.139999866485596
2022-04-25,6.960000038146973
2022-04-26,6.420000076293945
2022-04-27,6.360000133514404
2022-04-28,6.360000133514404
2022-04-29,6.369999885559082
2022-05-02,6.210000038146973
2022-05-03,6.400000095367432
2022-05-04,6.610000133514404
2022-05-05,6.369999885559082
2022-05-06,6.46999979019165
2022-05-09,6.409999847412109
2022-05-10,6.389999866485596
2022-05-11,6.340000152587891
2022-05-12,6.389999866485596
2022-05-13,6.53000020980835
2022-05-16,6.650000095367432
2022-05-17,6.840000152587891
2022-05-18,6.630000114440918
2022-05-19,6.699999809265137
2022-05-20,6.78000020980835
2022-05-23,7.099999904632568
2022-05-24,7.130000114440918
2022-05-25,6.929999828338623
2022-05-26,7.03000020980835
2022-05-27,7.119999885559082
2022-05-31,7.110000133514404
2022-06-01,6.869999885559082
2022-06-02,6.849999904632568
2022-06-03,6.730000019073486
2022-06-06,6.710000038146973
2022-06-07,6.510000228881836
2022-06-08,6.420000076293945
2022-06-09,6.340000152587891
2022-06-10,6.21999979019165
2022-06-13,5.889999866485596
2022-06-14,5.869999885559082
2022-06-15,6.010000228881836
2022-06-16,5.78000020980835
2022-06-17,5.789999961853027
2022-06-21,5.960000038146973
2022-06-22,5.829999923706055
2022-06-23,5.650000095367432
2022-06-24,5.579999923706055
2022-06-27,5.670000076293945
2022-06-28,5.599999904632568
2022-06-29,5.590000152587891
2022-06-30,5.489999771118164
2022-07-01,5.480000019073486
2022-07-05,5.360000133514404
2022-07-06,5.239999771118164
2022-07-07,5.340000152587891
2022-07-08,5.400000095367432
2022-07-11,5.190000057220459
2022-07-12,5.090000152587891
2022-07-13,5.039999961853027
2022-07-14,4.920000076293945
2022-07-15,5.03000020980835
2022-07-18,5.099999904632568
2022-07-19,5.269999980926514
2022-07-20,5.199999809265137
2022-07-21,5.159999847412109
2022-07-22,5.0
2022-07-25,5.21999979019165
2022-07-26,5.21999979019165
2022-07-27,5.28000020980835
