Date,ARE
2022-02-28,189.39999389648438
2022-03-01,187.80999755859375
2022-03-02,189.63999938964844
2022-03-03,192.1999969482422
2022-03-04,194.66000366210938
2022-03-07,189.44000244140625
2022-03-08,190.8000030517578
2022-03-09,192.2100067138672
2022-03-10,191.3800048828125
2022-03-11,188.42999267578125
2022-03-14,188.42999267578125
2022-03-15,190.75999450683594
2022-03-16,191.6199951171875
2022-03-17,194.02000427246094
2022-03-18,195.63999938964844
2022-03-21,193.5399932861328
2022-03-22,193.25999450683594
2022-03-23,190.25999450683594
2022-03-24,191.8699951171875
2022-03-25,195.0
2022-03-28,196.6999969482422
2022-03-29,202.63999938964844
2022-03-30,202.0800018310547
2022-03-31,201.25
2022-04-01,205.97000122070312
2022-04-04,203.10000610351562
2022-04-05,202.74000549316406
2022-04-06,206.25
2022-04-07,203.55999755859375
2022-04-08,202.88999938964844
2022-04-11,198.5500030517578
2022-04-12,197.44000244140625
2022-04-13,198.3000030517578
2022-04-14,196.17999267578125
2022-04-18,194.14999389648438
2022-04-19,197.5500030517578
2022-04-20,200.99000549316406
2022-04-21,199.66000366210938
2022-04-22,195.77999877929688
2022-04-25,193.0
2022-04-26,190.60000610351562
2022-04-27,187.3800048828125
2022-04-28,190.44000244140625
2022-04-29,182.16000366210938
2022-05-02,178.14999389648438
2022-05-03,180.50999450683594
2022-05-04,184.30999755859375
2022-05-05,179.17999267578125
2022-05-06,176.67999267578125
2022-05-09,167.27000427246094
2022-05-10,163.16000366210938
2022-05-11,161.72000122070312
2022-05-12,161.9600067138672
2022-05-13,166.4499969482422
2022-05-16,164.9499969482422
2022-05-17,165.5399932861328
2022-05-18,158.0
2022-05-19,157.82000732421875
2022-05-20,159.7100067138672
2022-05-23,160.7100067138672
2022-05-24,160.25
2022-05-25,160.27999877929688
2022-05-26,163.3000030517578
2022-05-27,168.58999633789062
2022-05-31,165.9499969482422
2022-06-01,163.80999755859375
2022-06-02,166.64999389648438
2022-06-03,163.3699951171875
2022-06-06,162.57000732421875
2022-06-07,164.32000732421875
2022-06-08,156.0800018310547
2022-06-09,150.47000122070312
2022-06-10,146.2899932861328
2022-06-13,136.7100067138672
2022-06-14,135.3699951171875
2022-06-15,135.72999572753906
2022-06-16,130.5399932861328
2022-06-17,131.77999877929688
2022-06-21,131.6199951171875
2022-06-22,133.38999938964844
2022-06-23,137.9499969482422
2022-06-24,143.52999877929688
2022-06-27,145.66000366210938
2022-06-28,144.5
2022-06-29,144.5399932861328
2022-06-30,145.02999877929688
2022-07-01,148.1300048828125
2022-07-05,149.32000732421875
2022-07-06,150.02000427246094
2022-07-07,149.61000061035156
2022-07-08,146.35000610351562
2022-07-11,143.47000122070312
2022-07-12,143.2100067138672
2022-07-13,140.67999267578125
2022-07-14,137.41000366210938
2022-07-15,142.80999755859375
2022-07-18,141.86000061035156
2022-07-19,146.55999755859375
2022-07-20,147.8000030517578
2022-07-21,148.19000244140625
2022-07-22,150.22000122070312
2022-07-25,150.2899932861328
2022-07-26,156.49000549316406
2022-07-27,158.27000427246094
2022-07-28,163.1999969482422
2022-07-29,165.77999877929688
2022-08-01,164.32000732421875
2022-08-02,159.6699981689453
2022-08-03,159.3699951171875
2022-08-04,159.91000366210938
2022-08-05,159.77999877929688
2022-08-08,162.52000427246094
2022-08-09,162.0500030517578
2022-08-10,166.55999755859375
2022-08-11,166.97000122070312
2022-08-12,170.08999633789062
2022-08-15,170.0399932861328
2022-08-16,171.5800018310547
2022-08-17,170.72999572753906
2022-08-18,165.86000061035156
