Date,SHW
2022-02-28,263.1300048828125
2022-03-01,255.52999877929688
2022-03-02,260.2200012207031
2022-03-03,258.0400085449219
2022-03-04,258.489990234375
2022-03-07,242.9499969482422
2022-03-08,239.85000610351562
2022-03-09,241.7100067138672
2022-03-10,237.5500030517578
2022-03-11,233.58999633789062
2022-03-14,237.6300048828125
2022-03-15,242.44000244140625
2022-03-16,244.3800048828125
2022-03-17,247.52000427246094
2022-03-18,251.52999877929688
2022-03-21,245.82000732421875
2022-03-22,250.1699981689453
2022-03-23,247.63999938964844
2022-03-24,249.92999267578125
2022-03-25,245.2100067138672
2022-03-28,250.5800018310547
2022-03-29,259.3500061035156
2022-03-30,253.00999450683594
2022-03-31,249.6199951171875
2022-04-01,255.2100067138672
2022-04-04,259.0400085449219
2022-04-05,257.9700012207031
2022-04-06,262.6300048828125
2022-04-07,263.8299865722656
2022-04-08,263.760009765625
2022-04-11,261.1000061035156
2022-04-12,256.95001220703125
2022-04-13,258.3999938964844
2022-04-14,252.89999389648438
2022-04-18,246.1699981689453
2022-04-19,252.25
2022-04-20,253.08999633789062
2022-04-21,251.61000061035156
2022-04-22,244.9199981689453
2022-04-25,248.02000427246094
2022-04-26,271.3699951171875
2022-04-27,279.3800048828125
2022-04-28,281.30999755859375
2022-04-29,274.9599914550781
2022-05-02,268.7799987792969
2022-05-03,269.3699951171875
2022-05-04,282.5299987792969
2022-05-05,276.95001220703125
2022-05-06,273.3800048828125
2022-05-09,276.9700012207031
2022-05-10,266.3699951171875
2022-05-11,264.6700134277344
2022-05-12,274.5400085449219
2022-05-13,273.3299865722656
2022-05-16,271.3699951171875
2022-05-17,269.260009765625
2022-05-18,259.6600036621094
2022-05-19,259.3699951171875
2022-05-20,257.95001220703125
2022-05-23,259.2699890136719
2022-05-24,257.6499938964844
2022-05-25,265.1199951171875
2022-05-26,271.9700012207031
2022-05-27,276.3500061035156
2022-05-31,268.0400085449219
2022-06-01,265.260009765625
2022-06-02,269.489990234375
2022-06-03,268.8800048828125
2022-06-06,275.0299987792969
2022-06-07,277.2300109863281
2022-06-08,268.0799865722656
2022-06-09,261.989990234375
2022-06-10,247.4199981689453
2022-06-13,237.86000061035156
2022-06-14,229.47999572753906
2022-06-15,228.99000549316406
2022-06-16,218.9499969482422
2022-06-17,222.7899932861328
2022-06-21,220.14999389648438
2022-06-22,221.1999969482422
2022-06-23,224.88999938964844
2022-06-24,231.25
2022-06-27,227.16000366210938
2022-06-28,223.30999755859375
2022-06-29,225.41000366210938
2022-06-30,223.91000366210938
2022-07-01,235.22999572753906
2022-07-05,242.22999572753906
2022-07-06,242.74000549316406
2022-07-07,239.49000549316406
2022-07-08,238.2899932861328
2022-07-11,241.9600067138672
2022-07-12,246.55999755859375
2022-07-13,245.72000122070312
2022-07-14,244.44000244140625
2022-07-15,245.57000732421875
2022-07-18,243.25
2022-07-19,247.47999572753906
2022-07-20,249.52999877929688
2022-07-21,256.5899963378906
2022-07-22,259.010009765625
2022-07-25,259.010009765625
2022-07-26,254.2899932861328
2022-07-27,231.97000122070312
2022-07-28,243.0399932861328
2022-07-29,241.94000244140625
2022-08-01,243.08999633789062
2022-08-02,243.61000061035156
2022-08-03,239.32000732421875
2022-08-04,243.08999633789062
2022-08-05,237.0800018310547
2022-08-08,240.49000549316406
2022-08-09,232.36000061035156
2022-08-10,243.74000549316406
2022-08-11,243.99000549316406
2022-08-12,251.61000061035156
2022-08-15,257.3399963378906
2022-08-16,256.2699890136719
2022-08-17,251.47000122070312
2022-08-18,248.97000122070312
2022-08-19,244.5800018310547
2022-08-22,241.44000244140625
2022-08-23,238.0800018310547
2022-08-24,239.52999877929688
2022-08-25,244.52999877929688
2022-08-26,235.6999969482422
2022-08-29,234.00999450683594
2022-08-30,235.0
2022-08-31,232.10000610351562
2022-09-01,232.3300018310547
2022-09-02,231.80999755859375
2022-09-06,228.3800048828125
2022-09-07,238.64999389648438
2022-09-08,240.77999877929688
2022-09-09,240.35000610351562
2022-09-12,242.97000122070312
2022-09-13,230.86000061035156
2022-09-14,225.85000610351562
2022-09-15,223.8699951171875
2022-09-16,221.55999755859375
2022-09-19,223.17999267578125
2022-09-20,218.8300018310547
2022-09-21,213.83999633789062
2022-09-22,208.0500030517578
2022-09-23,211.22000122070312
2022-09-26,209.0
2022-09-27,208.55999755859375
2022-09-28,213.07000732421875
2022-09-29,207.83999633789062
2022-09-30,204.75
2022-10-03,214.3800048828125
