Date,GIB
2022-02-28,81.95999908447266
2022-03-01,81.0199966430664
2022-03-02,82.5999984741211
2022-03-03,82.5999984741211
2022-03-04,80.81999969482422
2022-03-07,79.66000366210938
2022-03-08,78.20999908447266
2022-03-09,80.9000015258789
2022-03-10,81.30000305175781
2022-03-11,80.62000274658203
2022-03-14,80.01000213623047
2022-03-15,79.58999633789062
2022-03-16,81.52999877929688
2022-03-17,82.81999969482422
2022-03-18,82.62999725341797
2022-03-21,82.33000183105469
2022-03-22,81.56999969482422
2022-03-23,79.81999969482422
2022-03-24,81.0199966430664
2022-03-25,80.44000244140625
2022-03-28,80.63999938964844
2022-03-29,81.02999877929688
2022-03-30,81.01000213623047
2022-03-31,79.83000183105469
2022-04-01,79.30999755859375
2022-04-04,80.73999786376953
2022-04-05,82.81999969482422
2022-04-06,81.88999938964844
2022-04-07,81.56999969482422
2022-04-08,81.22000122070312
2022-04-11,80.5999984741211
2022-04-12,80.58000183105469
2022-04-13,81.30999755859375
2022-04-14,80.37999725341797
2022-04-18,79.83000183105469
2022-04-19,81.23999786376953
2022-04-20,81.69999694824219
2022-04-21,82.56999969482422
2022-04-22,80.13999938964844
2022-04-25,80.95999908447266
2022-04-26,79.4800033569336
2022-04-27,80.37999725341797
2022-04-28,81.26000213623047
2022-04-29,79.7300033569336
2022-05-02,79.80999755859375
2022-05-03,81.70999908447266
2022-05-04,82.37999725341797
2022-05-05,79.38999938964844
2022-05-06,79.5
2022-05-09,78.81999969482422
2022-05-10,78.33999633789062
2022-05-11,77.83000183105469
2022-05-12,77.80999755859375
2022-05-13,80.86000061035156
2022-05-16,81.61000061035156
2022-05-17,81.83999633789062
2022-05-18,80.72000122070312
2022-05-19,82.70999908447266
2022-05-20,83.44000244140625
2022-05-23,84.41000366210938
2022-05-24,83.11000061035156
2022-05-25,82.95999908447266
2022-05-26,82.91999816894531
2022-05-27,85.3499984741211
2022-05-31,85.43000030517578
2022-06-01,84.7699966430664
2022-06-02,85.45999908447266
2022-06-03,84.3499984741211
2022-06-06,85.4000015258789
2022-06-07,84.77999877929688
2022-06-08,83.55000305175781
2022-06-09,81.81999969482422
2022-06-10,78.83000183105469
2022-06-13,76.16000366210938
2022-06-14,75.05000305175781
2022-06-15,76.08999633789062
2022-06-16,74.1500015258789
2022-06-17,75.16999816894531
2022-06-21,76.27999877929688
2022-06-22,75.95999908447266
2022-06-23,77.88999938964844
2022-06-24,80.43000030517578
2022-06-27,80.30999755859375
2022-06-28,79.70999908447266
2022-06-29,79.33000183105469
2022-06-30,79.66000366210938
2022-07-01,80.0999984741211
2022-07-05,79.05000305175781
2022-07-06,81.16000366210938
2022-07-07,81.68000030517578
2022-07-08,82.04000091552734
2022-07-11,80.2300033569336
2022-07-12,81.33000183105469
2022-07-13,82.20999908447266
2022-07-14,82.02999877929688
2022-07-15,81.75
2022-07-18,82.9000015258789
2022-07-19,83.72000122070312
2022-07-20,84.62000274658203
2022-07-21,85.55000305175781
2022-07-22,84.30999755859375
