Date,ESS
2022-02-28,317.1700134277344
2022-03-01,315.82000732421875
2022-03-02,326.8500061035156
2022-03-03,330.19000244140625
2022-03-04,340.1499938964844
2022-03-07,343.1499938964844
2022-03-08,336.8399963378906
2022-03-09,342.3699951171875
2022-03-10,342.7300109863281
2022-03-11,336.0199890136719
2022-03-14,334.0
2022-03-15,335.2699890136719
2022-03-16,342.4100036621094
2022-03-17,342.739990234375
2022-03-18,341.6000061035156
2022-03-21,338.19000244140625
2022-03-22,335.6499938964844
2022-03-23,335.2300109863281
2022-03-24,336.0799865722656
2022-03-25,341.5
2022-03-28,344.8900146484375
2022-03-29,356.739990234375
2022-03-30,348.7200012207031
2022-03-31,345.4800109863281
2022-04-01,353.489990234375
2022-04-04,349.8900146484375
2022-04-05,348.9599914550781
2022-04-06,355.30999755859375
2022-04-07,351.70001220703125
2022-04-08,351.44000244140625
2022-04-11,344.54998779296875
2022-04-12,346.7900085449219
2022-04-13,347.30999755859375
2022-04-14,345.510009765625
2022-04-18,343.510009765625
2022-04-19,347.67999267578125
2022-04-20,355.9800109863281
2022-04-21,359.30999755859375
2022-04-22,351.5299987792969
2022-04-25,348.0899963378906
2022-04-26,344.739990234375
2022-04-27,341.9599914550781
2022-04-28,345.1099853515625
2022-04-29,329.2699890136719
2022-05-02,319.3599853515625
2022-05-03,322.1000061035156
2022-05-04,323.3699951171875
2022-05-05,316.54998779296875
2022-05-06,313.42999267578125
2022-05-09,295.9700012207031
2022-05-10,286.4800109863281
2022-05-11,288.7300109863281
2022-05-12,292.2200012207031
2022-05-13,296.2799987792969
2022-05-16,291.8900146484375
2022-05-17,296.0
2022-05-18,288.0299987792969
2022-05-19,281.6000061035156
2022-05-20,282.07000732421875
2022-05-23,287.2200012207031
2022-05-24,282.8299865722656
2022-05-25,282.55999755859375
2022-05-26,283.1300048828125
2022-05-27,288.69000244140625
2022-05-31,283.8500061035156
2022-06-01,282.6000061035156
2022-06-02,287.8299865722656
2022-06-03,283.94000244140625
2022-06-06,276.54998779296875
2022-06-07,283.0899963378906
2022-06-08,277.3599853515625
2022-06-09,270.8999938964844
2022-06-10,270.9100036621094
2022-06-13,258.07000732421875
2022-06-14,256.2099914550781
2022-06-15,257.2300109863281
2022-06-16,253.94000244140625
2022-06-17,256.0799865722656
2022-06-21,255.47000122070312
2022-06-22,255.92999267578125
2022-06-23,259.44000244140625
2022-06-24,261.7099914550781
2022-06-27,266.25
