Date,CP
2022-02-28,70.27999877929688
2022-03-01,68.97000122070312
2022-03-02,72.69999694824219
2022-03-03,74.1500015258789
2022-03-04,77.83999633789062
2022-03-07,77.9000015258789
2022-03-08,76.0
2022-03-09,77.1500015258789
2022-03-10,77.79000091552734
2022-03-11,77.62999725341797
2022-03-14,76.55999755859375
2022-03-15,76.94999694824219
2022-03-16,79.43000030517578
2022-03-17,79.91000366210938
2022-03-18,79.97000122070312
2022-03-21,80.41999816894531
2022-03-22,81.86000061035156
2022-03-23,81.66999816894531
2022-03-24,82.05999755859375
2022-03-25,82.93000030517578
2022-03-28,82.83999633789062
2022-03-29,82.55000305175781
2022-03-30,83.58000183105469
2022-03-31,82.54000091552734
2022-04-01,78.19999694824219
2022-04-04,78.7699966430664
2022-04-05,77.94999694824219
2022-04-06,77.33999633789062
2022-04-07,76.31999969482422
2022-04-08,75.06999969482422
2022-04-11,74.80000305175781
2022-04-12,74.8499984741211
2022-04-13,75.5999984741211
2022-04-14,76.37999725341797
2022-04-18,76.2300033569336
2022-04-19,77.66999816894531
2022-04-20,78.27999877929688
2022-04-21,77.58000183105469
2022-04-22,74.76000213623047
2022-04-25,74.58999633789062
2022-04-26,72.62000274658203
2022-04-27,72.73999786376953
2022-04-28,75.56999969482422
2022-04-29,73.22000122070312
2022-05-02,71.86000061035156
2022-05-03,72.41999816894531
2022-05-04,75.08000183105469
2022-05-05,72.87000274658203
2022-05-06,72.37999725341797
2022-05-09,69.16999816894531
2022-05-10,68.11000061035156
2022-05-11,68.69999694824219
2022-05-12,68.0999984741211
2022-05-13,69.30999755859375
2022-05-16,69.79000091552734
2022-05-17,71.48999786376953
2022-05-18,69.87999725341797
2022-05-19,68.66999816894531
2022-05-20,68.83000183105469
2022-05-23,69.48999786376953
2022-05-24,68.58000183105469
2022-05-25,68.38999938964844
2022-05-26,69.98999786376953
2022-05-27,71.23999786376953
2022-05-31,71.44000244140625
2022-06-01,73.05000305175781
2022-06-02,76.36000061035156
2022-06-03,75.18000030517578
2022-06-06,75.69000244140625
2022-06-07,76.41000366210938
2022-06-08,74.30000305175781
2022-06-09,73.05000305175781
2022-06-10,69.76000213623047
2022-06-13,68.29000091552734
2022-06-14,68.5
2022-06-15,69.0
2022-06-16,67.68000030517578
2022-06-17,67.44999694824219
2022-06-21,69.4800033569336
2022-06-22,70.33000183105469
2022-06-23,68.45999908447266
2022-06-24,70.58000183105469
2022-06-27,70.63999938964844
2022-06-28,70.0999984741211
2022-06-29,70.97000122070312
2022-06-30,69.83999633789062
2022-07-01,71.5
2022-07-05,70.6500015258789
2022-07-06,71.6500015258789
2022-07-07,72.08000183105469
2022-07-08,72.18000030517578
2022-07-11,71.88999938964844
2022-07-12,70.61000061035156
2022-07-13,70.33999633789062
2022-07-14,69.94000244140625
2022-07-15,71.01000213623047
2022-07-18,71.41000366210938
2022-07-19,73.94999694824219
2022-07-20,72.83000183105469
2022-07-21,74.05000305175781
2022-07-22,74.0
2022-07-25,75.05999755859375
2022-07-26,74.58999633789062
2022-07-27,76.95999908447266
2022-07-28,77.5999984741211
2022-07-29,78.87000274658203
2022-08-01,77.8499984741211
2022-08-02,77.58000183105469
2022-08-03,77.70999908447266
2022-08-04,79.36000061035156
2022-08-05,80.0199966430664
2022-08-08,79.58999633789062
2022-08-09,79.29000091552734
2022-08-10,81.5199966430664
2022-08-11,80.69999694824219
2022-08-12,81.25
2022-08-15,80.66000366210938
2022-08-16,82.2300033569336
2022-08-17,82.5999984741211
2022-08-18,82.0199966430664
2022-08-19,81.66999816894531
2022-08-22,80.70999908447266
2022-08-23,80.27999877929688
2022-08-24,80.55999755859375
2022-08-25,81.37999725341797
2022-08-26,79.43000030517578
2022-08-29,78.45999908447266
2022-08-30,75.20999908447266
2022-08-31,74.86000061035156
2022-09-01,73.95999908447266
2022-09-02,74.05999755859375
2022-09-06,73.5
2022-09-07,75.23999786376953
2022-09-08,76.2699966430664
2022-09-09,78.29000091552734
2022-09-12,79.80999755859375
2022-09-13,77.58999633789062
2022-09-14,77.16999816894531
2022-09-15,75.7699966430664
2022-09-16,73.19999694824219
2022-09-19,74.20999908447266
2022-09-20,73.05000305175781
2022-09-21,71.81999969482422
2022-09-22,71.16000366210938
2022-09-23,70.0199966430664
2022-09-26,68.62000274658203
2022-09-27,68.20999908447266
2022-09-28,69.06999969482422
