Date,BTI
2022-02-28,44.2400016784668
2022-03-01,43.54999923706055
2022-03-02,44.2599983215332
2022-03-03,42.849998474121094
2022-03-04,41.43000030517578
2022-03-07,39.4900016784668
2022-03-08,39.5099983215332
2022-03-09,40.810001373291016
2022-03-10,41.04999923706055
2022-03-11,39.86000061035156
2022-03-14,39.540000915527344
2022-03-15,40.40999984741211
2022-03-16,40.689998626708984
2022-03-17,41.290000915527344
2022-03-18,41.86000061035156
2022-03-21,41.849998474121094
2022-03-22,42.40999984741211
2022-03-23,42.150001525878906
2022-03-24,43.16999816894531
2022-03-25,43.869998931884766
2022-03-28,43.189998626708984
2022-03-29,42.43000030517578
2022-03-30,42.650001525878906
2022-03-31,42.15999984741211
2022-04-01,42.779998779296875
2022-04-04,42.650001525878906
2022-04-05,42.02000045776367
2022-04-06,43.2599983215332
2022-04-07,42.70000076293945
2022-04-08,42.869998931884766
2022-04-11,42.810001373291016
2022-04-12,42.810001373291016
2022-04-13,43.09000015258789
2022-04-14,42.86000061035156
2022-04-18,42.709999084472656
2022-04-19,42.90999984741211
2022-04-20,43.560001373291016
2022-04-21,43.52000045776367
2022-04-22,42.95000076293945
2022-04-25,42.29999923706055
2022-04-26,41.52000045776367
2022-04-27,41.90999984741211
2022-04-28,41.84000015258789
2022-04-29,41.779998779296875
2022-05-02,41.20000076293945
2022-05-03,41.66999816894531
2022-05-04,42.130001068115234
2022-05-05,41.2599983215332
2022-05-06,41.150001525878906
2022-05-09,40.720001220703125
2022-05-10,40.90999984741211
2022-05-11,41.06999969482422
2022-05-12,40.95000076293945
2022-05-13,42.36000061035156
2022-05-16,42.75
2022-05-17,43.630001068115234
2022-05-18,42.66999816894531
2022-05-19,42.849998474121094
2022-05-20,43.11000061035156
2022-05-23,43.7599983215332
2022-05-24,44.2599983215332
2022-05-25,45.08000183105469
2022-05-26,44.790000915527344
2022-05-27,44.79999923706055
2022-05-31,44.2400016784668
2022-06-01,44.540000915527344
2022-06-02,44.65999984741211
2022-06-03,44.13999938964844
2022-06-06,44.220001220703125
2022-06-07,45.209999084472656
2022-06-08,44.099998474121094
2022-06-09,43.060001373291016
2022-06-10,43.369998931884766
2022-06-13,41.900001525878906
2022-06-14,42.02000045776367
2022-06-15,43.029998779296875
2022-06-16,42.5
2022-06-17,41.900001525878906
2022-06-21,43.2599983215332
2022-06-22,42.689998626708984
2022-06-23,42.529998779296875
2022-06-24,43.95000076293945
2022-06-27,44.08000183105469
2022-06-28,44.15999984741211
2022-06-29,43.83000183105469
2022-06-30,42.90999984741211
2022-07-01,43.279998779296875
2022-07-05,41.2599983215332
2022-07-06,41.459999084472656
2022-07-07,40.54999923706055
2022-07-08,40.4900016784668
2022-07-11,40.16999816894531
2022-07-12,40.5
2022-07-13,40.279998779296875
2022-07-14,39.81999969482422
2022-07-15,41.27000045776367
2022-07-18,41.400001525878906
2022-07-19,42.18000030517578
2022-07-20,41.02000045776367
2022-07-21,41.369998931884766
2022-07-22,41.09000015258789
2022-07-25,41.93000030517578
2022-07-26,42.0
2022-07-27,42.150001525878906
2022-07-28,41.0
2022-07-29,39.16999816894531
2022-08-01,39.58000183105469
2022-08-02,39.63999938964844
2022-08-03,39.59000015258789
2022-08-04,39.08000183105469
2022-08-05,39.290000915527344
2022-08-08,39.599998474121094
2022-08-09,39.90999984741211
2022-08-10,40.18000030517578
2022-08-11,40.43000030517578
2022-08-12,40.41999816894531
2022-08-15,40.77000045776367
2022-08-16,41.380001068115234
2022-08-17,41.31999969482422
2022-08-18,41.15999984741211
2022-08-19,41.150001525878906
2022-08-22,41.220001220703125
2022-08-23,40.900001525878906
2022-08-24,40.790000915527344
2022-08-25,41.040000915527344
2022-08-26,40.72999954223633
2022-08-29,40.61000061035156
2022-08-30,40.15999984741211
2022-08-31,40.04999923706055
2022-09-01,39.84000015258789
2022-09-02,39.65999984741211
2022-09-06,39.75
2022-09-07,39.869998931884766
2022-09-08,40.02000045776367
2022-09-09,40.66999816894531
2022-09-12,41.0099983215332
2022-09-13,39.650001525878906
2022-09-14,39.40999984741211
2022-09-15,39.36000061035156
2022-09-16,39.4900016784668
2022-09-19,39.65999984741211
2022-09-20,39.709999084472656
2022-09-21,38.83000183105469
2022-09-22,39.06999969482422
2022-09-23,36.790000915527344
2022-09-26,36.27000045776367
2022-09-27,36.08000183105469
2022-09-28,36.66999816894531
2022-09-29,35.97999954223633
2022-09-30,35.5
2022-10-03,36.59000015258789
2022-10-04,37.31999969482422
2022-10-05,37.040000915527344
2022-10-06,36.54999923706055
2022-10-07,36.810001373291016
2022-10-10,36.75
2022-10-11,36.20000076293945
2022-10-12,36.650001525878906
2022-10-13,37.349998474121094
2022-10-14,36.630001068115234
2022-10-17,37.209999084472656
2022-10-18,37.220001220703125
2022-10-19,37.189998626708984
2022-10-20,37.08000183105469
2022-10-21,37.5
2022-10-24,38.22999954223633
2022-10-25,38.83000183105469
2022-10-26,39.58000183105469
2022-10-27,39.369998931884766
2022-10-28,39.810001373291016
2022-10-31,39.619998931884766
2022-11-01,39.689998626708984
2022-11-02,37.4900016784668
2022-11-03,37.61000061035156
2022-11-04,38.43000030517578
2022-11-07,38.7599983215332
2022-11-08,38.97999954223633
2022-11-09,38.5099983215332
2022-11-10,38.70000076293945
2022-11-11,38.189998626708984
2022-11-14,38.310001373291016
2022-11-15,38.5
2022-11-16,38.88999938964844
2022-11-17,39.290000915527344
2022-11-18,39.54999923706055
2022-11-21,39.68000030517578
2022-11-22,39.97999954223633
2022-11-23,40.54999923706055
