Date,MRK
2022-02-28,76.58000183105469
2022-03-01,76.33999633789062
2022-03-02,76.66999816894531
2022-03-03,77.1500015258789
2022-03-04,77.83000183105469
2022-03-07,77.7300033569336
2022-03-08,76.94999694824219
2022-03-09,77.79000091552734
2022-03-10,77.88999938964844
2022-03-11,78.26000213623047
2022-03-14,77.77999877929688
2022-03-15,78.63999938964844
2022-03-16,78.12000274658203
2022-03-17,78.94000244140625
2022-03-18,79.11000061035156
2022-03-21,79.05999755859375
2022-03-22,79.30000305175781
2022-03-23,79.7300033569336
2022-03-24,80.41000366210938
2022-03-25,81.33999633789062
2022-03-28,81.20999908447266
2022-03-29,81.56999969482422
2022-03-30,82.4000015258789
2022-03-31,82.05000305175781
2022-04-01,83.5199966430664
2022-04-04,83.48999786376953
2022-04-05,83.72000122070312
2022-04-06,84.97000122070312
2022-04-07,86.80000305175781
2022-04-08,87.68000030517578
2022-04-11,86.62999725341797
2022-04-12,85.62999725341797
2022-04-13,86.12999725341797
2022-04-14,86.91000366210938
2022-04-18,86.06999969482422
2022-04-19,85.79000091552734
2022-04-20,86.45999908447266
2022-04-21,86.2300033569336
2022-04-22,84.58999633789062
2022-04-25,85.44000244140625
2022-04-26,84.4800033569336
2022-04-27,84.41000366210938
2022-04-28,88.58000183105469
2022-04-29,88.69000244140625
2022-05-02,87.6500015258789
2022-05-03,87.0999984741211
2022-05-04,88.5199966430664
2022-05-05,88.01000213623047
2022-05-06,88.38999938964844
2022-05-09,87.63999938964844
2022-05-10,87.80999755859375
2022-05-11,89.19000244140625
2022-05-12,90.83000183105469
2022-05-13,90.41000366210938
2022-05-16,92.31999969482422
2022-05-17,93.0
2022-05-18,92.0999984741211
2022-05-19,92.08999633789062
2022-05-20,93.55000305175781
2022-05-23,93.83000183105469
2022-05-24,94.63999938964844
2022-05-25,93.75
2022-05-26,92.30999755859375
2022-05-27,93.08000183105469
2022-05-31,92.02999877929688
2022-06-01,91.13999938964844
2022-06-02,90.0
2022-06-03,89.91000366210938
2022-06-06,89.83999633789062
2022-06-07,90.4800033569336
2022-06-08,89.4800033569336
2022-06-09,88.0
2022-06-10,87.18000030517578
2022-06-13,85.0
2022-06-14,84.5
2022-06-15,84.62999725341797
2022-06-16,84.88999938964844
2022-06-17,84.62000274658203
2022-06-21,88.02999877929688
2022-06-22,89.16000366210938
2022-06-23,92.0
2022-06-24,93.12999725341797
2022-06-27,94.41000366210938
