Date,APO
2022-02-28,65.26000213623047
2022-03-01,62.400001525878906
2022-03-02,64.93000030517578
2022-03-03,64.56999969482422
2022-03-04,63.47999954223633
2022-03-07,58.290000915527344
2022-03-08,60.02000045776367
2022-03-09,63.290000915527344
2022-03-10,62.06999969482422
2022-03-11,63.04999923706055
2022-03-14,59.40999984741211
2022-03-15,59.54999923706055
2022-03-16,62.279998779296875
2022-03-17,61.58000183105469
2022-03-18,62.58000183105469
2022-03-21,62.5
2022-03-22,64.68000030517578
2022-03-23,62.779998779296875
2022-03-24,63.88999938964844
2022-03-25,62.5
2022-03-28,63.209999084472656
2022-03-29,65.70999908447266
2022-03-30,63.040000915527344
2022-03-31,61.9900016784668
2022-04-01,62.33000183105469
2022-04-04,63.36000061035156
2022-04-05,61.130001068115234
2022-04-06,59.029998779296875
2022-04-07,57.66999816894531
2022-04-08,57.560001373291016
2022-04-11,56.869998931884766
2022-04-12,55.5099983215332
2022-04-13,57.75
2022-04-14,57.4900016784668
2022-04-18,56.7599983215332
2022-04-19,58.59000015258789
2022-04-20,59.15999984741211
2022-04-21,56.15999984741211
2022-04-22,53.93000030517578
2022-04-25,54.38999938964844
2022-04-26,51.150001525878906
2022-04-27,50.91999816894531
2022-04-28,52.310001373291016
2022-04-29,49.7599983215332
2022-05-02,51.91999816894531
2022-05-03,51.72999954223633
2022-05-04,53.65999984741211
2022-05-05,53.369998931884766
2022-05-06,52.900001525878906
2022-05-09,49.54999923706055
2022-05-10,50.439998626708984
2022-05-11,51.0099983215332
2022-05-12,51.56999969482422
2022-05-13,54.20000076293945
2022-05-16,53.5099983215332
2022-05-17,54.79999923706055
2022-05-18,54.34000015258789
2022-05-19,53.95000076293945
2022-05-20,54.47999954223633
2022-05-23,55.220001220703125
2022-05-24,53.58000183105469
2022-05-25,55.779998779296875
2022-05-26,58.11000061035156
2022-05-27,60.31999969482422
2022-05-31,57.63999938964844
2022-06-01,57.77000045776367
2022-06-02,58.529998779296875
2022-06-03,57.779998779296875
2022-06-06,59.16999816894531
2022-06-07,59.08000183105469
2022-06-08,57.31999969482422
2022-06-09,56.65999984741211
2022-06-10,54.45000076293945
2022-06-13,50.08000183105469
2022-06-14,49.36000061035156
2022-06-15,50.54999923706055
2022-06-16,46.779998779296875
2022-06-17,48.25
2022-06-21,49.849998474121094
2022-06-22,50.189998626708984
2022-06-23,49.939998626708984
2022-06-24,52.0
2022-06-27,52.380001068115234
2022-06-28,51.27000045776367
2022-06-29,49.68000030517578
2022-06-30,48.47999954223633
2022-07-01,49.2599983215332
2022-07-05,51.06999969482422
2022-07-06,50.2400016784668
2022-07-07,52.310001373291016
2022-07-08,51.560001373291016
2022-07-11,50.70000076293945
2022-07-12,50.709999084472656
2022-07-13,50.29999923706055
2022-07-14,48.66999816894531
2022-07-15,50.849998474121094
2022-07-18,51.29999923706055
2022-07-19,53.06999969482422
2022-07-20,54.189998626708984
2022-07-21,54.58000183105469
2022-07-22,53.939998626708984
2022-07-25,54.040000915527344
2022-07-26,53.54999923706055
2022-07-27,54.83000183105469
2022-07-28,56.5099983215332
2022-07-29,57.099998474121094
2022-08-01,57.119998931884766
2022-08-02,56.40999984741211
2022-08-03,57.22999954223633
2022-08-04,57.9900016784668
2022-08-05,57.529998779296875
2022-08-08,57.41999816894531
2022-08-09,57.900001525878906
