Date,IBN
2022-02-28,19.469999313354492
2022-03-01,18.5
2022-03-02,18.850000381469727
2022-03-03,18.229999542236328
2022-03-04,17.459999084472656
2022-03-07,16.389999389648438
2022-03-08,16.799999237060547
2022-03-09,17.899999618530273
2022-03-10,17.65999984741211
2022-03-11,17.610000610351562
2022-03-14,18.100000381469727
2022-03-15,18.350000381469727
2022-03-16,18.799999237060547
2022-03-17,18.850000381469727
2022-03-18,18.979999542236328
2022-03-21,18.670000076293945
2022-03-22,18.969999313354492
2022-03-23,18.110000610351562
2022-03-24,18.260000228881836
2022-03-25,18.190000534057617
2022-03-28,18.559999465942383
2022-03-29,18.899999618530273
2022-03-30,19.010000228881836
2022-03-31,18.940000534057617
2022-04-01,19.219999313354492
2022-04-04,19.719999313354492
2022-04-05,19.40999984741211
2022-04-06,19.479999542236328
2022-04-07,19.489999771118164
2022-04-08,19.8799991607666
2022-04-11,19.799999237060547
2022-04-12,19.700000762939453
2022-04-13,19.719999313354492
2022-04-14,19.690000534057617
2022-04-18,19.549999237060547
2022-04-19,19.950000762939453
2022-04-20,19.709999084472656
2022-04-21,19.639999389648438
2022-04-22,18.8700008392334
2022-04-25,19.43000030517578
2022-04-26,19.100000381469727
2022-04-27,19.1200008392334
2022-04-28,19.520000457763672
2022-04-29,19.040000915527344
2022-05-02,19.190000534057617
2022-05-03,19.3700008392334
2022-05-04,19.3799991607666
2022-05-05,18.850000381469727
2022-05-06,18.510000228881836
2022-05-09,17.979999542236328
2022-05-10,18.360000610351562
2022-05-11,18.18000030517578
2022-05-12,17.8799991607666
2022-05-13,17.670000076293945
2022-05-16,17.709999084472656
2022-05-17,18.469999313354492
2022-05-18,17.8700008392334
2022-05-19,17.809999465942383
2022-05-20,18.100000381469727
2022-05-23,18.450000762939453
2022-05-24,18.329999923706055
2022-05-25,18.610000610351562
2022-05-26,18.989999771118164
2022-05-27,19.360000610351562
2022-05-31,19.25
2022-06-01,19.350000381469727
2022-06-02,19.549999237060547
2022-06-03,19.06999969482422
2022-06-06,18.969999313354492
2022-06-07,18.979999542236328
2022-06-08,18.709999084472656
2022-06-09,18.450000762939453
2022-06-10,17.899999618530273
2022-06-13,17.219999313354492
2022-06-14,17.440000534057617
2022-06-15,17.760000228881836
2022-06-16,17.110000610351562
2022-06-17,17.40999984741211
2022-06-21,18.010000228881836
2022-06-22,17.6299991607666
2022-06-23,17.899999618530273
2022-06-24,18.3700008392334
