Date,STT
2022-02-28,85.33000183105469
2022-03-01,80.88999938964844
2022-03-02,83.94000244140625
2022-03-03,83.94000244140625
2022-03-04,80.51000213623047
2022-03-07,78.16999816894531
2022-03-08,79.36000061035156
2022-03-09,83.58000183105469
2022-03-10,82.91999816894531
2022-03-11,82.08999633789062
2022-03-14,83.3499984741211
2022-03-15,83.97000122070312
2022-03-16,87.44999694824219
2022-03-17,88.05000305175781
2022-03-18,88.93000030517578
2022-03-21,88.36000061035156
2022-03-22,90.33000183105469
2022-03-23,87.4800033569336
2022-03-24,89.01000213623047
2022-03-25,90.52999877929688
2022-03-28,90.11000061035156
2022-03-29,91.97000122070312
2022-03-30,92.11000061035156
2022-03-31,87.12000274658203
2022-04-01,85.80999755859375
2022-04-04,85.83999633789062
2022-04-05,85.30999755859375
2022-04-06,83.69999694824219
2022-04-07,83.95999908447266
2022-04-08,84.16999816894531
2022-04-11,82.72000122070312
2022-04-12,82.25
2022-04-13,82.8499984741211
2022-04-14,75.80999755859375
2022-04-18,74.37999725341797
2022-04-19,74.91000366210938
2022-04-20,75.91000366210938
2022-04-21,74.58000183105469
2022-04-22,70.87000274658203
2022-04-25,70.94999694824219
2022-04-26,67.7300033569336
2022-04-27,66.86000061035156
2022-04-28,68.83999633789062
2022-04-29,66.97000122070312
2022-05-02,68.58000183105469
2022-05-03,69.91000366210938
2022-05-04,72.76000213623047
2022-05-05,71.22000122070312
2022-05-06,70.12999725341797
2022-05-09,69.25
2022-05-10,67.70999908447266
2022-05-11,66.30999755859375
2022-05-12,67.62000274658203
2022-05-13,69.20999908447266
2022-05-16,68.30999755859375
2022-05-17,69.66000366210938
2022-05-18,66.97000122070312
2022-05-19,65.95999908447266
2022-05-20,67.47000122070312
2022-05-23,69.7300033569336
2022-05-24,68.66999816894531
2022-05-25,69.30000305175781
2022-05-26,70.98999786376953
2022-05-27,73.04000091552734
2022-05-31,72.48999786376953
2022-06-01,69.94999694824219
2022-06-02,73.12999725341797
2022-06-03,71.30000305175781
2022-06-06,71.41000366210938
2022-06-07,73.01000213623047
2022-06-08,69.04000091552734
2022-06-09,68.13999938964844
2022-06-10,65.2300033569336
2022-06-13,63.06999969482422
2022-06-14,62.18000030517578
2022-06-15,63.939998626708984
2022-06-16,62.33000183105469
2022-06-17,61.75
2022-06-21,63.79999923706055
2022-06-22,63.33000183105469
2022-06-23,62.88999938964844
2022-06-24,66.2699966430664
2022-06-27,65.20999908447266
2022-06-28,64.48999786376953
2022-06-29,64.08000183105469
2022-06-30,61.650001525878906
2022-07-01,63.380001068115234
2022-07-05,63.06999969482422
2022-07-06,62.27000045776367
2022-07-07,63.70000076293945
2022-07-08,63.029998779296875
2022-07-11,62.70000076293945
2022-07-12,62.36000061035156
2022-07-13,60.939998626708984
2022-07-14,59.84000015258789
2022-07-15,65.66999816894531
2022-07-18,64.95999908447266
2022-07-19,67.33000183105469
2022-07-20,66.97000122070312
2022-07-21,67.81999969482422
