Date,GPN
2022-02-28,133.3800048828125
2022-03-01,128.9199981689453
2022-03-02,135.82000732421875
2022-03-03,130.47999572753906
2022-03-04,128.02999877929688
2022-03-07,122.6500015258789
2022-03-08,123.20999908447266
2022-03-09,128.10000610351562
2022-03-10,127.12000274658203
2022-03-11,126.98999786376953
2022-03-14,127.08999633789062
2022-03-15,128.5
2022-03-16,133.5500030517578
2022-03-17,133.42999267578125
2022-03-18,135.0
2022-03-21,134.39999389648438
2022-03-22,136.9499969482422
2022-03-23,134.24000549316406
2022-03-24,134.92999267578125
2022-03-25,136.19000244140625
2022-03-28,135.50999450683594
2022-03-29,140.38999938964844
2022-03-30,137.52000427246094
2022-03-31,136.83999633789062
2022-04-01,139.77999877929688
2022-04-04,140.5
2022-04-05,139.38999938964844
2022-04-06,138.89999389648438
2022-04-07,134.61000061035156
2022-04-08,134.91000366210938
2022-04-11,136.2100067138672
2022-04-12,135.07000732421875
2022-04-13,138.05999755859375
2022-04-14,139.9499969482422
2022-04-18,140.2100067138672
2022-04-19,144.60000610351562
2022-04-20,143.50999450683594
2022-04-21,142.0
2022-04-22,134.44000244140625
2022-04-25,135.72999572753906
2022-04-26,131.0500030517578
2022-04-27,136.17999267578125
2022-04-28,143.88999938964844
2022-04-29,136.97999572753906
2022-05-02,124.36000061035156
2022-05-03,128.07000732421875
2022-05-04,133.67999267578125
2022-05-05,125.88999938964844
2022-05-06,121.0
2022-05-09,118.37999725341797
2022-05-10,118.93000030517578
2022-05-11,117.23999786376953
2022-05-12,117.81999969482422
2022-05-13,122.19999694824219
2022-05-16,119.91999816894531
2022-05-17,123.98999786376953
2022-05-18,119.66999816894531
2022-05-19,120.47000122070312
2022-05-20,122.0999984741211
2022-05-23,125.0
2022-05-24,122.86000061035156
2022-05-25,125.48999786376953
2022-05-26,128.64999389648438
2022-05-27,132.25
2022-05-31,131.0399932861328
2022-06-01,127.51000213623047
2022-06-02,131.5500030517578
2022-06-03,129.67999267578125
2022-06-06,129.1699981689453
2022-06-07,128.8800048828125
2022-06-08,127.7300033569336
2022-06-09,122.08999633789062
2022-06-10,117.44000244140625
2022-06-13,110.1500015258789
2022-06-14,112.1500015258789
2022-06-15,112.8499984741211
2022-06-16,106.9800033569336
2022-06-17,110.25
2022-06-21,111.5199966430664
2022-06-22,111.30000305175781
2022-06-23,112.9000015258789
2022-06-24,118.86000061035156
2022-06-27,117.0199966430664
2022-06-28,113.3499984741211
2022-06-29,112.7699966430664
2022-06-30,110.63999938964844
2022-07-01,110.93000030517578
2022-07-05,111.83000183105469
