Date,CRM
2022-02-28,210.52999877929688
2022-03-01,208.88999938964844
2022-03-02,210.38999938964844
2022-03-03,204.75
2022-03-04,203.00999450683594
2022-03-07,196.22999572753906
2022-03-08,192.0800018310547
2022-03-09,203.16000366210938
2022-03-10,200.14999389648438
2022-03-11,197.89999389648438
2022-03-14,193.1199951171875
2022-03-15,196.13999938964844
2022-03-16,205.57000732421875
2022-03-17,210.41000366210938
2022-03-18,218.8000030517578
2022-03-21,213.72000122070312
2022-03-22,218.2100067138672
2022-03-23,211.11000061035156
2022-03-24,213.97999572753906
2022-03-25,211.02999877929688
2022-03-28,215.27999877929688
2022-03-29,221.2899932861328
2022-03-30,214.94000244140625
2022-03-31,212.32000732421875
2022-04-01,212.25
2022-04-04,218.85000610351562
2022-04-05,210.13999938964844
2022-04-06,200.82000732421875
2022-04-07,200.16000366210938
2022-04-08,197.1699981689453
2022-04-11,195.4499969482422
2022-04-12,194.80999755859375
2022-04-13,195.72000122070312
2022-04-14,189.41000366210938
2022-04-18,187.00999450683594
2022-04-19,191.38999938964844
2022-04-20,186.22999572753906
2022-04-21,177.22999572753906
2022-04-22,171.42999267578125
2022-04-25,174.57000732421875
2022-04-26,170.0800018310547
2022-04-27,174.67999267578125
2022-04-28,185.74000549316406
2022-04-29,175.94000244140625
2022-05-02,177.57000732421875
2022-05-03,178.36000061035156
2022-05-04,185.47999572753906
2022-05-05,172.3000030517578
2022-05-06,169.6999969482422
2022-05-09,163.60000610351562
2022-05-10,167.14999389648438
2022-05-11,161.27000427246094
2022-05-12,160.4199981689453
2022-05-13,166.91000366210938
2022-05-16,164.1199951171875
2022-05-17,163.72999572753906
2022-05-18,157.3300018310547
2022-05-19,155.60000610351562
2022-05-20,159.64999389648438
2022-05-23,160.32000732421875
2022-05-24,156.92999267578125
2022-05-25,159.64999389648438
2022-05-26,162.4600067138672
2022-05-27,165.10000610351562
2022-05-31,160.24000549316406
2022-06-01,176.07000732421875
2022-06-02,188.39999389648438
2022-06-03,184.91000366210938
2022-06-06,182.8699951171875
2022-06-07,187.14999389648438
2022-06-08,189.19000244140625
2022-06-09,187.11000061035156
2022-06-10,178.4499969482422
2022-06-13,166.02999877929688
2022-06-14,164.4499969482422
2022-06-15,168.5500030517578
2022-06-16,159.85000610351562
