Date,AMCR
2022-02-28,11.630000114440918
2022-03-01,11.260000228881836
2022-03-02,11.420000076293945
2022-03-03,11.350000381469727
2022-03-04,11.289999961853027
2022-03-07,10.789999961853027
2022-03-08,10.9399995803833
2022-03-09,11.09000015258789
2022-03-10,10.899999618530273
2022-03-11,10.899999618530273
2022-03-14,11.289999961853027
2022-03-15,11.239999771118164
2022-03-16,11.460000038146973
2022-03-17,11.609999656677246
2022-03-18,11.670000076293945
2022-03-21,11.460000038146973
2022-03-22,11.449999809265137
2022-03-23,11.220000267028809
2022-03-24,11.279999732971191
2022-03-25,11.34000015258789
2022-03-28,11.350000381469727
2022-03-29,11.569999694824219
2022-03-30,11.529999732971191
2022-03-31,11.329999923706055
2022-04-01,11.539999961853027
2022-04-04,11.479999542236328
2022-04-05,11.479999542236328
2022-04-06,11.5
2022-04-07,11.529999732971191
2022-04-08,11.720000267028809
2022-04-11,11.729999542236328
2022-04-12,11.65999984741211
2022-04-13,11.699999809265137
2022-04-14,11.670000076293945
2022-04-18,11.529999732971191
2022-04-19,11.760000228881836
2022-04-20,12.010000228881836
2022-04-21,11.930000305175781
2022-04-22,11.579999923706055
2022-04-25,11.649999618530273
2022-04-26,11.609999656677246
2022-04-27,12.020000457763672
2022-04-28,12.140000343322754
2022-04-29,11.859999656677246
2022-05-02,11.699999809265137
2022-05-03,11.970000267028809
2022-05-04,13.119999885559082
2022-05-05,12.640000343322754
2022-05-06,12.8100004196167
2022-05-09,12.609999656677246
2022-05-10,12.5600004196167
2022-05-11,12.510000228881836
2022-05-12,12.569999694824219
2022-05-13,12.770000457763672
2022-05-16,12.9399995803833
2022-05-17,13.329999923706055
2022-05-18,12.729999542236328
2022-05-19,12.960000038146973
2022-05-20,12.930000305175781
2022-05-23,13.050000190734863
2022-05-24,12.960000038146973
2022-05-25,12.970000267028809
2022-05-26,13.100000381469727
2022-05-27,13.3100004196167
2022-05-31,13.100000381469727
2022-06-01,13.1899995803833
2022-06-02,13.449999809265137
2022-06-03,13.390000343322754
2022-06-06,13.489999771118164
2022-06-07,13.479999542236328
2022-06-08,13.350000381469727
2022-06-09,13.170000076293945
2022-06-10,12.760000228881836
2022-06-13,12.289999961853027
2022-06-14,12.09000015258789
2022-06-15,12.100000381469727
2022-06-16,11.710000038146973
2022-06-17,11.720000267028809
2022-06-21,11.920000076293945
2022-06-22,11.859999656677246
2022-06-23,11.9399995803833
2022-06-24,12.40999984741211
