Date,PKG
2022-02-28,147.19000244140625
2022-03-01,143.1199951171875
2022-03-02,147.27999877929688
2022-03-03,148.64999389648438
2022-03-04,149.61000061035156
2022-03-07,145.1699981689453
2022-03-08,140.8000030517578
2022-03-09,147.64999389648438
2022-03-10,149.00999450683594
2022-03-11,149.75
2022-03-14,150.92999267578125
2022-03-15,152.35000610351562
2022-03-16,155.33999633789062
2022-03-17,156.25999450683594
2022-03-18,156.47000122070312
2022-03-21,156.3300018310547
2022-03-22,153.4600067138672
2022-03-23,152.82000732421875
2022-03-24,152.9600067138672
2022-03-25,156.1300048828125
2022-03-28,155.17999267578125
2022-03-29,156.38999938964844
2022-03-30,156.8699951171875
2022-03-31,156.11000061035156
2022-04-01,155.75999450683594
2022-04-04,155.16000366210938
2022-04-05,154.0800018310547
2022-04-06,152.4499969482422
2022-04-07,151.3000030517578
2022-04-08,153.33999633789062
2022-04-11,154.91000366210938
2022-04-12,156.97000122070312
2022-04-13,159.58999633789062
2022-04-14,163.02000427246094
2022-04-18,160.7899932861328
2022-04-19,163.94000244140625
2022-04-20,166.97000122070312
2022-04-21,166.02999877929688
2022-04-22,161.17999267578125
2022-04-25,162.2899932861328
2022-04-26,159.44000244140625
2022-04-27,161.64999389648438
2022-04-28,162.85000610351562
2022-04-29,161.1699981689453
2022-05-02,160.07000732421875
2022-05-03,161.69000244140625
2022-05-04,165.61000061035156
2022-05-05,163.0500030517578
2022-05-06,162.47000122070312
2022-05-09,160.77999877929688
2022-05-10,160.22000122070312
2022-05-11,158.8300018310547
2022-05-12,156.50999450683594
2022-05-13,155.39999389648438
2022-05-16,155.5399932861328
2022-05-17,158.74000549316406
2022-05-18,151.02000427246094
2022-05-19,150.49000549316406
2022-05-20,149.05999755859375
2022-05-23,152.94000244140625
2022-05-24,151.72000122070312
2022-05-25,153.33999633789062
2022-05-26,156.41000366210938
2022-05-27,159.89999389648438
2022-05-31,157.27999877929688
2022-06-01,157.47000122070312
2022-06-02,159.69000244140625
2022-06-03,159.1199951171875
2022-06-06,160.83999633789062
2022-06-07,162.3000030517578
2022-06-08,159.6199951171875
2022-06-09,156.16000366210938
2022-06-10,151.5
2022-06-13,143.6699981689453
2022-06-14,147.22999572753906
2022-06-15,147.22999572753906
2022-06-16,141.4499969482422
2022-06-17,139.67999267578125
2022-06-21,139.50999450683594
2022-06-22,136.60000610351562
2022-06-23,135.8000030517578
2022-06-24,140.60000610351562
2022-06-27,141.69000244140625
2022-06-28,138.9499969482422
2022-06-29,138.9199981689453
2022-06-30,137.5
2022-07-01,138.75
2022-07-05,137.16000366210938
2022-07-06,138.47999572753906
2022-07-07,141.58999633789062
2022-07-08,139.80999755859375
2022-07-11,137.8300018310547
2022-07-12,138.1300048828125
2022-07-13,137.0
2022-07-14,135.44000244140625
2022-07-15,135.8000030517578
2022-07-18,134.2899932861328
2022-07-19,138.27999877929688
2022-07-20,139.02999877929688
2022-07-21,141.8699951171875
2022-07-22,141.60000610351562
2022-07-25,143.91000366210938
2022-07-26,136.92999267578125
2022-07-27,139.3300018310547
2022-07-28,140.16000366210938
2022-07-29,140.61000061035156
2022-08-01,138.83999633789062
2022-08-02,138.11000061035156
2022-08-03,139.14999389648438
2022-08-04,137.74000549316406
2022-08-05,135.22000122070312
2022-08-08,137.97000122070312
2022-08-09,138.94000244140625
2022-08-10,141.17999267578125
2022-08-11,142.05999755859375
2022-08-12,143.9199981689453
2022-08-15,143.32000732421875
2022-08-16,145.75999450683594
2022-08-17,144.49000549316406
2022-08-18,145.13999938964844
2022-08-19,143.1699981689453
2022-08-22,140.41000366210938
2022-08-23,141.1300048828125
2022-08-24,139.9600067138672
2022-08-25,143.55999755859375
2022-08-26,138.94000244140625
2022-08-29,137.8699951171875
2022-08-30,139.14999389648438
2022-08-31,136.9199981689453
2022-09-01,136.47999572753906
2022-09-02,136.11000061035156
2022-09-06,136.17999267578125
2022-09-07,139.1999969482422
2022-09-08,139.50999450683594
2022-09-09,139.5800018310547
2022-09-12,142.0800018310547
2022-09-13,137.77999877929688
2022-09-14,132.07000732421875
2022-09-15,132.67999267578125
2022-09-16,118.06999969482422
2022-09-19,124.0999984741211
2022-09-20,119.41000366210938
2022-09-21,118.0999984741211
2022-09-22,115.87999725341797
2022-09-23,113.97000122070312
2022-09-26,112.91999816894531
2022-09-27,113.29000091552734
2022-09-28,115.80999755859375
2022-09-29,114.22000122070312
2022-09-30,112.29000091552734
2022-10-03,115.0
2022-10-04,118.13999938964844
2022-10-05,117.38999938964844
2022-10-06,115.91999816894531
2022-10-07,113.70999908447266
2022-10-10,114.1500015258789
2022-10-11,114.41999816894531
2022-10-12,113.5199966430664
2022-10-13,115.79000091552734
2022-10-14,113.70999908447266
2022-10-17,115.94000244140625
2022-10-18,116.69999694824219
2022-10-19,114.4000015258789
2022-10-20,112.87000274658203
2022-10-21,116.94000244140625
2022-10-24,116.27999877929688
2022-10-25,115.93000030517578
2022-10-26,116.36000061035156
2022-10-27,119.25
2022-10-28,120.69999694824219
2022-10-31,120.20999908447266
2022-11-01,120.58999633789062
2022-11-02,118.54000091552734
2022-11-03,121.2300033569336
2022-11-04,124.5
2022-11-07,122.61000061035156
2022-11-08,121.61000061035156
2022-11-09,120.01000213623047
2022-11-10,125.08000183105469
2022-11-11,129.47000122070312
2022-11-14,129.75
2022-11-15,130.17999267578125
2022-11-16,129.8699951171875
2022-11-17,129.47999572753906
2022-11-18,129.0399932861328
2022-11-21,131.33999633789062
2022-11-22,133.32000732421875
2022-11-23,133.35000610351562
