Date,MCD
2022-02-28,244.77000427246094
2022-03-01,239.6300048828125
2022-03-02,240.94000244140625
2022-03-03,236.64999389648438
2022-03-04,235.80999755859375
2022-03-07,224.3300018310547
2022-03-08,222.7899932861328
2022-03-09,222.47000122070312
2022-03-10,222.0
2022-03-11,226.8699951171875
2022-03-14,226.17999267578125
2022-03-15,232.57000732421875
2022-03-16,238.13999938964844
2022-03-17,237.47000122070312
2022-03-18,238.9199981689453
2022-03-21,235.32000732421875
2022-03-22,238.1199951171875
2022-03-23,236.1199951171875
2022-03-24,240.25999450683594
2022-03-25,241.5800018310547
2022-03-28,242.94000244140625
2022-03-29,248.1699981689453
2022-03-30,249.02999877929688
2022-03-31,247.27999877929688
2022-04-01,249.25
2022-04-04,246.8300018310547
2022-04-05,248.50999450683594
2022-04-06,251.4600067138672
2022-04-07,254.36000061035156
2022-04-08,251.4600067138672
2022-04-11,250.4499969482422
2022-04-12,249.1699981689453
2022-04-13,251.3300018310547
2022-04-14,250.50999450683594
2022-04-18,251.05999755859375
2022-04-19,255.39999389648438
2022-04-20,255.85000610351562
2022-04-21,255.25
2022-04-22,250.1699981689453
2022-04-25,252.8800048828125
2022-04-26,248.5800018310547
2022-04-27,247.13999938964844
2022-04-28,254.19000244140625
2022-04-29,249.16000366210938
2022-05-02,246.63999938964844
2022-05-03,245.8699951171875
2022-05-04,254.32000732421875
2022-05-05,248.9199981689453
2022-05-06,250.77999877929688
2022-05-09,247.49000549316406
2022-05-10,245.67999267578125
2022-05-11,244.42999267578125
2022-05-12,244.19000244140625
2022-05-13,245.0399932861328
2022-05-16,244.0399932861328
2022-05-17,241.6300048828125
2022-05-18,231.0500030517578
2022-05-19,229.0
2022-05-20,233.91000366210938
2022-05-23,238.0
2022-05-24,244.52000427246094
2022-05-25,244.00999450683594
2022-05-26,248.08999633789062
2022-05-27,251.8699951171875
2022-05-31,252.2100067138672
2022-06-01,249.27999877929688
2022-06-02,250.3800048828125
2022-06-03,248.36000061035156
2022-06-06,248.07000732421875
2022-06-07,248.94000244140625
2022-06-08,245.61000061035156
2022-06-09,242.16000366210938
2022-06-10,237.3800048828125
2022-06-13,238.47000122070312
2022-06-14,238.75999450683594
2022-06-15,238.89999389648438
2022-06-16,235.19000244140625
2022-06-17,234.3800048828125
2022-06-21,239.58999633789062
2022-06-22,243.05999755859375
2022-06-23,243.5800018310547
2022-06-24,247.89999389648438
2022-06-27,247.02999877929688
2022-06-28,242.8300018310547
2022-06-29,247.74000549316406
2022-06-30,246.8800048828125
2022-07-01,252.9600067138672
2022-07-05,252.2899932861328
2022-07-06,251.4600067138672
2022-07-07,252.94000244140625
2022-07-08,253.24000549316406
2022-07-11,253.27999877929688
2022-07-12,251.47999572753906
2022-07-13,252.6699981689453
2022-07-14,252.60000610351562
2022-07-15,255.00999450683594
2022-07-18,252.4199981689453
2022-07-19,256.5
2022-07-20,254.5800018310547
2022-07-21,253.47000122070312
2022-07-22,253.99000549316406
2022-07-25,250.3800048828125
2022-07-26,257.0899963378906
2022-07-27,258.8900146484375
2022-07-28,263.4599914550781
2022-07-29,263.3699951171875
2022-08-01,264.2300109863281
2022-08-02,261.04998779296875
2022-08-03,262.0899963378906
2022-08-04,260.6400146484375
2022-08-05,259.2300109863281
2022-08-08,256.79998779296875
2022-08-09,260.05999755859375
2022-08-10,261.3599853515625
2022-08-11,259.2799987792969
2022-08-12,262.17999267578125
2022-08-15,265.44000244140625
2022-08-16,266.2900085449219
2022-08-17,266.82000732421875
2022-08-18,266.5799865722656
2022-08-19,266.5400085449219
2022-08-22,262.95001220703125
2022-08-23,260.5400085449219
2022-08-24,260.8599853515625
2022-08-25,262.55999755859375
2022-08-26,256.95001220703125
2022-08-29,255.66000366210938
2022-08-30,253.49000549316406
2022-08-31,252.27999877929688
2022-09-01,256.4700012207031
2022-09-02,254.50999450683594
2022-09-06,254.38999938964844
2022-09-07,258.4200134277344
2022-09-08,260.0799865722656
2022-09-09,259.5199890136719
2022-09-12,260.3699951171875
2022-09-13,254.3300018310547
2022-09-14,255.72000122070312
2022-09-15,253.47000122070312
2022-09-16,254.91000366210938
2022-09-19,257.010009765625
2022-09-20,255.39999389648438
2022-09-21,251.0800018310547
2022-09-22,247.94000244140625
2022-09-23,245.9499969482422
2022-09-26,243.75999450683594
2022-09-27,236.6999969482422
2022-09-28,236.94000244140625
2022-09-29,234.39999389648438
2022-09-30,230.74000549316406
2022-10-03,235.33999633789062
2022-10-04,238.5
2022-10-05,239.08999633789062
2022-10-06,234.75
2022-10-07,233.19000244140625
2022-10-10,234.9499969482422
2022-10-11,237.0500030517578
2022-10-12,237.05999755859375
2022-10-13,246.75
2022-10-14,243.16000366210938
2022-10-17,246.47999572753906
2022-10-18,249.19000244140625
2022-10-19,250.75
2022-10-20,249.77000427246094
2022-10-21,254.5500030517578
2022-10-24,255.32000732421875
2022-10-25,255.72999572753906
2022-10-26,256.6099853515625
2022-10-27,265.1099853515625
2022-10-28,274.5199890136719
2022-10-31,272.6600036621094
2022-11-01,272.95001220703125
2022-11-02,270.3699951171875
2022-11-03,272.95001220703125
2022-11-04,274.6199951171875
2022-11-07,276.4100036621094
2022-11-08,278.3999938964844
2022-11-09,277.7900085449219
2022-11-10,275.8800048828125
2022-11-11,271.3900146484375
2022-11-14,272.2699890136719
2022-11-15,267.8399963378906
2022-11-16,272.510009765625
2022-11-17,273.3599853515625
2022-11-18,273.3699951171875
2022-11-21,274.5199890136719
2022-11-22,274.760009765625
2022-11-23,273.2699890136719
2022-11-25,275.0
2022-11-28,272.8800048828125
2022-11-29,271.4100036621094
2022-11-30,272.7900085449219
2022-12-01,273.3999938964844
2022-12-02,273.3999938964844
2022-12-05,271.5899963378906
2022-12-06,271.7699890136719
2022-12-07,270.3399963378906
2022-12-08,273.3900146484375
