Date,WSO
2022-02-28,273.05999755859375
2022-03-01,273.260009765625
2022-03-02,279.0799865722656
2022-03-03,279.739990234375
2022-03-04,283.8800048828125
2022-03-07,284.30999755859375
2022-03-08,284.4100036621094
2022-03-09,286.4800109863281
2022-03-10,286.260009765625
2022-03-11,284.4100036621094
2022-03-14,288.3599853515625
2022-03-15,293.19000244140625
2022-03-16,293.8500061035156
2022-03-17,302.0
2022-03-18,308.80999755859375
2022-03-21,303.55999755859375
2022-03-22,301.1000061035156
2022-03-23,300.2699890136719
2022-03-24,297.6600036621094
2022-03-25,298.20001220703125
2022-03-28,303.7099914550781
2022-03-29,304.92999267578125
2022-03-30,308.17999267578125
2022-03-31,304.6400146484375
2022-04-01,304.20001220703125
2022-04-04,305.5199890136719
2022-04-05,302.42999267578125
2022-04-06,292.8599853515625
2022-04-07,297.4700012207031
2022-04-08,300.3599853515625
2022-04-11,291.19000244140625
2022-04-12,289.0899963378906
2022-04-13,294.7300109863281
2022-04-14,288.3900146484375
2022-04-18,279.55999755859375
2022-04-19,285.739990234375
2022-04-20,286.5799865722656
2022-04-21,299.3399963378906
2022-04-22,290.9800109863281
2022-04-25,290.7099914550781
2022-04-26,284.69000244140625
2022-04-27,281.3399963378906
2022-04-28,279.5400085449219
2022-04-29,266.7799987792969
2022-05-02,266.3900146484375
2022-05-03,264.2799987792969
2022-05-04,273.8699951171875
2022-05-05,260.239990234375
2022-05-06,256.67999267578125
2022-05-09,254.77000427246094
2022-05-10,255.22999572753906
2022-05-11,249.41000366210938
2022-05-12,255.60000610351562
2022-05-13,258.1300048828125
2022-05-16,258.5400085449219
2022-05-17,264.4100036621094
2022-05-18,247.64999389648438
2022-05-19,247.25999450683594
2022-05-20,246.67999267578125
2022-05-23,247.77999877929688
2022-05-24,244.0500030517578
2022-05-25,244.00999450683594
2022-05-26,249.6300048828125
2022-05-27,255.4499969482422
2022-05-31,255.6300048828125
2022-06-01,254.42999267578125
2022-06-02,263.1099853515625
2022-06-03,256.1499938964844
2022-06-06,260.2799987792969
2022-06-07,261.1700134277344
2022-06-08,255.0
2022-06-09,257.0299987792969
2022-06-10,253.97999572753906
2022-06-13,252.1999969482422
2022-06-14,247.97000122070312
2022-06-15,245.02000427246094
2022-06-16,228.10000610351562
2022-06-17,227.13999938964844
2022-06-21,230.60000610351562
2022-06-22,226.94000244140625
2022-06-23,231.9199981689453
2022-06-24,240.3000030517578
2022-06-27,243.10000610351562
2022-06-28,238.39999389648438
2022-06-29,237.97999572753906
2022-06-30,238.82000732421875
2022-07-01,240.97999572753906
2022-07-05,244.64999389648438
2022-07-06,246.97000122070312
2022-07-07,248.05999755859375
2022-07-08,248.5500030517578
2022-07-11,252.32000732421875
2022-07-12,249.5399932861328
2022-07-13,250.05999755859375
2022-07-14,249.25
2022-07-15,253.69000244140625
2022-07-18,247.7899932861328
2022-07-19,257.0899963378906
2022-07-20,260.5899963378906
2022-07-21,257.6099853515625
2022-07-22,254.25
2022-07-25,252.9600067138672
2022-07-26,244.25
2022-07-27,254.75
2022-07-28,263.70001220703125
2022-07-29,273.95001220703125
2022-08-01,278.82000732421875
2022-08-02,273.2200012207031
2022-08-03,276.4599914550781
2022-08-04,278.1400146484375
2022-08-05,282.04998779296875
2022-08-08,285.9100036621094
2022-08-09,281.04998779296875
2022-08-10,292.0799865722656
2022-08-11,292.92999267578125
2022-08-12,302.8999938964844
2022-08-15,305.29998779296875
2022-08-16,302.4100036621094
2022-08-17,304.3900146484375
2022-08-18,305.4800109863281
2022-08-19,294.6199951171875
2022-08-22,289.3399963378906
2022-08-23,284.8299865722656
2022-08-24,287.3900146484375
2022-08-25,291.7200012207031
2022-08-26,284.5
2022-08-29,280.5899963378906
2022-08-30,276.94000244140625
2022-08-31,272.0299987792969
2022-09-01,273.989990234375
2022-09-02,272.0
2022-09-06,276.8299865722656
2022-09-07,284.510009765625
2022-09-08,285.6000061035156
2022-09-09,285.989990234375
2022-09-12,286.8299865722656
2022-09-13,276.07000732421875
2022-09-14,274.67999267578125
2022-09-15,272.239990234375
