Date,NEM
2022-02-28,66.19999694824219
2022-03-01,69.01000213623047
2022-03-02,69.79000091552734
2022-03-03,70.68000030517578
2022-03-04,74.27999877929688
2022-03-07,77.8499984741211
2022-03-08,77.61000061035156
2022-03-09,75.97000122070312
2022-03-10,77.27999877929688
2022-03-11,76.88999938964844
2022-03-14,73.73999786376953
2022-03-15,73.37000274658203
2022-03-16,72.61000061035156
2022-03-17,73.30999755859375
2022-03-18,73.95999908447266
2022-03-21,76.30000305175781
2022-03-22,76.02999877929688
2022-03-23,78.91000366210938
2022-03-24,78.2300033569336
2022-03-25,78.94999694824219
2022-03-28,78.13999938964844
2022-03-29,78.55000305175781
2022-03-30,79.95999908447266
2022-03-31,79.44999694824219
2022-04-01,82.77999877929688
2022-04-04,81.25
2022-04-05,79.86000061035156
2022-04-06,79.54000091552734
2022-04-07,81.02999877929688
2022-04-08,82.12000274658203
2022-04-11,81.33999633789062
2022-04-12,82.5
2022-04-13,84.30000305175781
2022-04-14,84.7699966430664
2022-04-18,85.41999816894531
2022-04-19,82.86000061035156
2022-04-20,82.58999633789062
2022-04-21,77.05999755859375
2022-04-22,74.5199966430664
2022-04-25,72.61000061035156
2022-04-26,72.12999725341797
2022-04-27,72.12999725341797
2022-04-28,73.27999877929688
2022-04-29,72.8499984741211
2022-05-02,72.30999755859375
2022-05-03,72.23999786376953
2022-05-04,73.38999938964844
2022-05-05,72.33999633789062
2022-05-06,72.87000274658203
2022-05-09,68.91999816894531
2022-05-10,68.2699966430664
2022-05-11,68.41999816894531
2022-05-12,65.3499984741211
2022-05-13,65.25
2022-05-16,65.44999694824219
2022-05-17,65.5
2022-05-18,63.880001068115234
2022-05-19,66.11000061035156
2022-05-20,67.19000244140625
2022-05-23,67.43000030517578
2022-05-24,69.0199966430664
2022-05-25,69.54000091552734
2022-05-26,68.70999908447266
2022-05-27,68.70999908447266
2022-05-31,67.8499984741211
2022-06-01,67.2699966430664
2022-06-02,68.79000091552734
2022-06-03,67.81999969482422
