Date,ACN
2022-02-28,316.0199890136719
2022-03-01,311.3500061035156
2022-03-02,318.3299865722656
2022-03-03,318.95001220703125
2022-03-04,314.1600036621094
2022-03-07,305.0199890136719
2022-03-08,301.6199951171875
2022-03-09,309.4200134277344
2022-03-10,309.5199890136719
2022-03-11,311.5799865722656
2022-03-14,307.67999267578125
2022-03-15,316.2300109863281
2022-03-16,324.9100036621094
2022-03-17,319.5
2022-03-18,323.95001220703125
2022-03-21,324.5
2022-03-22,327.4700012207031
2022-03-23,320.5
2022-03-24,325.2900085449219
2022-03-25,327.7099914550781
2022-03-28,330.739990234375
2022-03-29,340.69000244140625
2022-03-30,338.4599914550781
2022-03-31,337.2300109863281
2022-04-01,340.6400146484375
2022-04-04,344.4700012207031
2022-04-05,342.82000732421875
2022-04-06,340.260009765625
2022-04-07,341.7699890136719
2022-04-08,338.9200134277344
2022-04-11,327.2699890136719
2022-04-12,326.7300109863281
2022-04-13,325.5899963378906
2022-04-14,319.4700012207031
2022-04-18,313.6000061035156
2022-04-19,320.57000732421875
2022-04-20,323.6700134277344
2022-04-21,322.30999755859375
2022-04-22,310.79998779296875
2022-04-25,316.82000732421875
2022-04-26,303.1000061035156
2022-04-27,303.1000061035156
2022-04-28,313.8399963378906
2022-04-29,300.3599853515625
2022-05-02,304.6000061035156
2022-05-03,304.82000732421875
2022-05-04,314.8599853515625
2022-05-05,298.70001220703125
2022-05-06,295.739990234375
2022-05-09,287.489990234375
2022-05-10,287.5899963378906
2022-05-11,280.94000244140625
2022-05-12,281.2099914550781
2022-05-13,286.7699890136719
2022-05-16,286.1700134277344
2022-05-17,291.07000732421875
2022-05-18,274.1600036621094
2022-05-19,273.6099853515625
2022-05-20,276.6499938964844
2022-05-23,283.3900146484375
2022-05-24,279.30999755859375
2022-05-25,279.6400146484375
2022-05-26,291.54998779296875
2022-05-27,304.1499938964844
2022-05-31,298.4599914550781
2022-06-01,298.6499938964844
2022-06-02,306.6199951171875
2022-06-03,304.95001220703125
2022-06-06,304.7300109863281
2022-06-07,306.5299987792969
2022-06-08,302.6400146484375
2022-06-09,295.42999267578125
2022-06-10,286.010009765625
2022-06-13,276.5
2022-06-14,275.1199951171875
2022-06-15,281.19000244140625
2022-06-16,270.8999938964844
2022-06-17,275.3800048828125
2022-06-21,282.7300109863281
2022-06-22,286.3999938964844
2022-06-23,285.8299865722656
2022-06-24,299.3699951171875
2022-06-27,292.6199951171875
2022-06-28,283.79998779296875
2022-06-29,279.80999755859375
2022-06-30,277.6499938964844
2022-07-01,280.6499938964844
2022-07-05,275.1700134277344
2022-07-06,275.94000244140625
2022-07-07,279.3999938964844
2022-07-08,279.07000732421875
2022-07-11,274.8699951171875
2022-07-12,273.6700134277344
2022-07-13,272.1700134277344
2022-07-14,268.6700134277344
2022-07-15,271.5199890136719
2022-07-18,268.6499938964844
2022-07-19,280.0400085449219
2022-07-20,281.6600036621094
2022-07-21,288.010009765625
2022-07-22,288.010009765625
2022-07-25,289.2900085449219
2022-07-26,285.17999267578125
2022-07-27,297.5299987792969
2022-07-28,303.67999267578125
2022-07-29,306.260009765625
2022-08-01,304.739990234375
2022-08-02,302.4800109863281
2022-08-03,308.1700134277344
2022-08-04,310.6099853515625
2022-08-05,309.3500061035156
2022-08-08,310.3299865722656
2022-08-09,309.7900085449219
2022-08-10,316.4800109863281
2022-08-11,314.4200134277344
2022-08-12,320.44000244140625
2022-08-15,320.3299865722656
2022-08-16,320.7799987792969
2022-08-17,318.45001220703125
2022-08-18,319.4599914550781
2022-08-19,315.2900085449219
2022-08-22,310.0
2022-08-23,306.70001220703125
2022-08-24,306.260009765625
2022-08-25,309.7699890136719
2022-08-26,298.1300048828125
2022-08-29,295.1400146484375
2022-08-30,292.5
2022-08-31,288.4599914550781
2022-09-01,288.7900085449219
2022-09-02,284.07000732421875
2022-09-06,283.4599914550781
2022-09-07,286.760009765625
2022-09-08,287.9599914550781
2022-09-09,290.54998779296875
2022-09-12,295.260009765625
2022-09-13,281.5199890136719
2022-09-14,278.5299987792969
2022-09-15,273.8599853515625
2022-09-16,272.67999267578125
2022-09-19,274.9800109863281
2022-09-20,270.239990234375
2022-09-21,265.4200134277344
2022-09-22,262.32000732421875
2022-09-23,259.9800109863281
2022-09-26,257.5400085449219
2022-09-27,256.3399963378906
2022-09-28,261.92999267578125
2022-09-29,258.2699890136719
2022-09-30,257.29998779296875
2022-10-03,264.8900146484375
2022-10-04,274.30999755859375
2022-10-05,274.3399963378906
2022-10-06,269.4700012207031
2022-10-07,259.7099914550781
2022-10-10,257.8500061035156
2022-10-11,252.97999572753906
2022-10-12,250.07000732421875
2022-10-13,257.4599914550781
2022-10-14,252.72000122070312
2022-10-17,262.2200012207031
2022-10-18,264.04998779296875
2022-10-19,264.05999755859375
2022-10-20,261.7799987792969
2022-10-21,269.57000732421875
2022-10-24,275.30999755859375
2022-10-25,280.6099853515625
2022-10-26,279.8699951171875
2022-10-27,278.8399963378906
2022-10-28,287.7799987792969
2022-10-31,283.8999938964844
2022-11-01,281.4700012207031
2022-11-02,272.45001220703125
2022-11-03,256.8800048828125
2022-11-04,261.1600036621094
2022-11-07,269.07000732421875
2022-11-08,269.0299987792969
2022-11-09,266.44000244140625
2022-11-10,287.0199890136719
2022-11-11,290.0899963378906
2022-11-14,288.9100036621094
2022-11-15,292.6499938964844
2022-11-16,291.510009765625
2022-11-17,287.1400146484375
