Date,HUBS
2022-02-28,525.0
2022-03-01,533.0
2022-03-02,534.0
2022-03-03,499.5899963378906
2022-03-04,459.0299987792969
2022-03-07,412.70001220703125
2022-03-08,414.7099914550781
2022-03-09,443.1600036621094
2022-03-10,436.989990234375
2022-03-11,414.9599914550781
2022-03-14,385.6700134277344
2022-03-15,403.4700012207031
2022-03-16,448.1600036621094
2022-03-17,467.3399963378906
2022-03-18,491.7300109863281
2022-03-21,466.8699951171875
2022-03-22,481.8500061035156
2022-03-23,463.9599914550781
2022-03-24,474.510009765625
2022-03-25,463.8500061035156
2022-03-28,492.2699890136719
2022-03-29,520.5999755859375
2022-03-30,505.5199890136719
2022-03-31,474.94000244140625
2022-04-01,490.92999267578125
2022-04-04,504.20001220703125
2022-04-05,475.17999267578125
2022-04-06,452.0
2022-04-07,454.8900146484375
2022-04-08,438.0400085449219
2022-04-11,454.55999755859375
2022-04-12,443.9100036621094
2022-04-13,465.260009765625
2022-04-14,445.4700012207031
2022-04-18,433.3599853515625
2022-04-19,454.95001220703125
2022-04-20,426.1300048828125
2022-04-21,404.2799987792969
2022-04-22,396.2799987792969
2022-04-25,401.29998779296875
2022-04-26,373.92999267578125
2022-04-27,369.010009765625
2022-04-28,398.4800109863281
2022-04-29,379.42999267578125
2022-05-02,390.7099914550781
2022-05-03,370.5
2022-05-04,392.2099914550781
2022-05-05,341.2099914550781
2022-05-06,356.3800048828125
2022-05-09,332.9100036621094
2022-05-10,325.1600036621094
2022-05-11,310.0
2022-05-12,309.7300109863281
2022-05-13,355.8699951171875
2022-05-16,336.67999267578125
2022-05-17,337.2799987792969
2022-05-18,313.9200134277344
2022-05-19,339.1400146484375
2022-05-20,333.5400085449219
2022-05-23,337.8599853515625
2022-05-24,307.95001220703125
2022-05-25,327.4100036621094
2022-05-26,335.1199951171875
2022-05-27,352.44000244140625
2022-05-31,337.69000244140625
2022-06-01,345.3500061035156
2022-06-02,373.1700134277344
2022-06-03,354.1099853515625
2022-06-06,355.6000061035156
2022-06-07,370.2900085449219
2022-06-08,360.3399963378906
2022-06-09,353.30999755859375
2022-06-10,325.6000061035156
2022-06-13,294.7099914550781
2022-06-14,295.8500061035156
2022-06-15,307.5400085449219
2022-06-16,281.80999755859375
2022-06-17,292.739990234375
2022-06-21,299.1700134277344
2022-06-22,303.9200134277344
2022-06-23,328.489990234375
2022-06-24,343.7099914550781
2022-06-27,333.3299865722656
2022-06-28,307.8800048828125
2022-06-29,310.3699951171875
2022-06-30,300.6499938964844
2022-07-01,313.6499938964844
2022-07-05,329.4599914550781
2022-07-06,320.1099853515625
2022-07-07,316.2699890136719
2022-07-08,305.79998779296875
2022-07-11,292.32000732421875
2022-07-12,273.3399963378906
2022-07-13,270.0299987792969
2022-07-14,263.9700012207031
2022-07-15,273.7099914550781
2022-07-18,274.7900085449219
2022-07-19,283.6300048828125
2022-07-20,309.2900085449219
2022-07-21,318.8699951171875
2022-07-22,300.5
2022-07-25,290.9599914550781
2022-07-26,272.260009765625
2022-07-27,295.8800048828125
2022-07-28,300.7300109863281
2022-07-29,308.0
2022-08-01,313.8299865722656
2022-08-02,328.3299865722656
2022-08-03,350.17999267578125
2022-08-04,355.4599914550781
2022-08-05,372.989990234375
2022-08-08,385.2200012207031
2022-08-09,364.7099914550781
2022-08-10,407.07000732421875
2022-08-11,384.0899963378906
2022-08-12,387.5899963378906
2022-08-15,388.5400085449219
2022-08-16,379.1600036621094
2022-08-17,365.45001220703125
2022-08-18,363.2200012207031
2022-08-19,351.5799865722656
2022-08-22,343.45001220703125
2022-08-23,342.0400085449219
2022-08-24,349.7300109863281
2022-08-25,351.9700012207031
2022-08-26,335.3299865722656
2022-08-29,333.2300109863281
2022-08-30,338.6600036621094
2022-08-31,337.0400085449219
2022-09-01,310.010009765625
2022-09-02,315.3599853515625
2022-09-06,311.1199951171875
2022-09-07,292.29998779296875
2022-09-08,303.55999755859375
2022-09-09,332.5
2022-09-12,333.1000061035156
2022-09-13,305.6400146484375
2022-09-14,305.4100036621094
2022-09-15,302.8399963378906
2022-09-16,291.57000732421875
2022-09-19,289.989990234375
2022-09-20,284.0899963378906
2022-09-21,283.2900085449219
2022-09-22,273.30999755859375
2022-09-23,272.80999755859375
2022-09-26,272.6199951171875
2022-09-27,275.7900085449219
2022-09-28,283.989990234375
2022-09-29,274.3500061035156
2022-09-30,270.1199951171875
2022-10-03,284.5299987792969
2022-10-04,298.7300109863281
2022-10-05,296.7099914550781
2022-10-06,294.70001220703125
2022-10-07,282.4599914550781
2022-10-10,273.44000244140625
2022-10-11,261.1600036621094
2022-10-12,265.7099914550781
2022-10-13,265.6400146484375
2022-10-14,256.0899963378906
2022-10-17,270.75
2022-10-18,276.0
2022-10-19,263.57000732421875
2022-10-20,265.0
2022-10-21,265.4700012207031
2022-10-24,265.010009765625
2022-10-25,290.5799865722656
2022-10-26,273.3500061035156
2022-10-27,280.1400146484375
2022-10-28,289.989990234375
2022-10-31,296.55999755859375
2022-11-01,290.17999267578125
2022-11-02,263.5799865722656
2022-11-03,278.55999755859375
2022-11-04,265.69000244140625
2022-11-07,260.32000732421875
2022-11-08,274.3699951171875
2022-11-09,259.3599853515625
2022-11-10,303.3500061035156
2022-11-11,306.0899963378906
2022-11-14,292.9599914550781
2022-11-15,308.0199890136719
2022-11-16,295.1099853515625
2022-11-17,278.1700134277344
2022-11-18,272.6000061035156
2022-11-21,263.8399963378906
2022-11-22,272.5799865722656
2022-11-23,289.29998779296875
2022-11-25,290.17999267578125
2022-11-28,288.7200012207031
